index,topic,prompt
268,Bowling,"Context: Returning to the United States in April 1919, Smith's assignments in the next four years included duty at Norfolk, Virginia, study at the Naval War College, Newport, Rhode Island, and service in Washington, D.C., with the War Plans Section of the Office of Naval Operations. There, he was the first Marine officer to serve on the Joint Army-Navy Planning Committee. Leaving W Question: What did he do in Washington? Answer: None. Question: What did Holland SMith do post World War I? Answer: Returning to the United States in April 1919, Smith's assignments in the next four years included duty at Norfolk, Virginia, Question: What rank did he hold while he was in Norfolk? Answer: first Marine officer to serve on the Joint Army-Navy Planning Committee. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: While professional ten-pin bowling tournaments are held in numerous countries, the sport is commonly played as a hobby by millions of people around the world. Conversation:  Wizard: I have bowled 2 perfect games in bowling. its is one of my favorite sports in which a player rolls or throws a bowling ball towards a target.   Apprentice: I've seen bowling but never tried it. It looks complicated. Can you tell me more about it?  Wizard: Tenpin bowling which is the most common game of bowling is when you roll a bowling ball down a wood structure or synthetic land swords ten pins positioned at the end of the lane.   Apprentice: Are you supposed to hit them all at once? That would be quite difficult to do."
269,John Grisham,"Context: Palko signed with The High & Mighty's Eastern Conference Records, releasing his debut album, Movies for the Blind, on August Question: what were some of the songs from that album? Answer: None. Question: What is the Eastern Conference? Answer: Palko signed with The High & Mighty's Eastern Conference Records, releasing his debut album, Question: What was the name of his first album? Answer: Movies for the Blind, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: He practiced criminal law for about a decade and served in the House of Representatives in Mississippi from January 1984 to September 1990. Conversation:  Apprentice: Tell me about John grisham  Wizard: Where do I begin. He is a bestselling writer, attorney and politician. He's best known for is great legal thrillers.  Apprentice: Tell me about some of his thrillers"
270,Hunting,"Context: Thompson has heavily criticized a number of video games and campaigned against their producers and distributors. His basic argument is that violent video games have repeatedly been used by teenagers as ""murder simulators"" to rehearse violent plans. He has po Question: Was the case won? Answer: None. Question: What was Thompsons view on video games? Answer: Thompson has heavily criticized a number of video games and campaigned against their producers and distributors. Question: Are there any other interesting aspects about this article? Answer: His basic argument is that violent video games have repeatedly been used by teenagers as ""murder simulators"" to rehearse violent plans. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: However, excessive hunting has also heavily contributed to the endangerment, extirpation and extinction of many animals. Conversation:  Wizard: I love to hunt for my own food! it is the practice of killing or trapping animals and the pursuit  Apprentice: That is tough for me without a gun, but it seems like it would be thrilling!  Wizard: yes hunting wildlife or feral animals is most commonly done by humans for food and can involve guns  Apprentice: It is hard to do it without one, that is for sure, try to use a stick one day!"
271,Blog,"Context: On September 13, 2013, Bloomberg announced that he would not endorse any of then current candidates to succeed him. On his radio show, he stated, ""I don't want to do anything that complicates it for the next mayor. And that' Question: Why did he praise them? Answer: None. Question: What endorsements did he get? Answer: On September 13, 2013, Bloomberg announced that he would not endorse any of then current candidates to succeed him. Question: Why wouldn't he endorse them? Answer: On his radio show, he stated, ""I don't want to do anything that complicates it for the next mayor. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The emergence and growth of blogs in the late 1990s coincided with the advent of web publishing tools that facilitated the posting of content by non-technical users who did not have much experience with HTML or computer programming. Conversation:  Wizard: I started a blog on the World Wide Web to inform people of my life and day to day activities. It's something like a diary.  Apprentice: Really? That's pretty interesting. I've never had a diary or a blog. What do you like to write about?  Wizard: Blogs usually cover a single subject, but mine covers a variety of topics like food and travel experiences.  Apprentice: Fun! Do you write in it every day? It is about health food or just cooking or nutrition? "
272,Accounting,"Context: In January and February 1997, Price played several shows alongside another accomplished Australian singer/songwriter, Jack Jones. The shows were a huge success with the pair performing their best hits together and alone, proving yet again their abilities as live performers.  For the majority of the year, Price spent his time in Los Angeles and Nashville writing material for his next album.  Some of  Question: Did he have any other albums? Answer: None. Question: What did he do in this time period? Answer: In January and February 1997, Price played several shows alongside another accomplished Australian singer/songwriter, Jack Jones. Question: Did he have any albums? Answer: For the majority of the year, Price spent his time in Los Angeles and Nashville writing material for his next album. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The documents, some dating back to the 1970s, were created by, and taken from, Panamanian law firm and corporate service provider Mossack Fonseca, and were leaked in 2015 by an anonymous source. Conversation:  Wizard: Accountancy is the measurement, processing, and communication of financial data about economic entities such as businesses and corporations  Apprentice: I see, I am studying to be an accountant. Do you have any tips?  Wizard: No I have no tips. The Panama Papers are 11.5 million leaked documents that contained financial and attorney–client information for more than 214,488 offshore entities.  Apprentice:  The Panama Papers caused major scandal worldwide, didnt it?"
273,Hot dog,"Context: Stig Anderson still thought Gardestad had some international potential, and he and his brother Kenneth travelled to Hollywood in late 1977 to record Gardestad's first English-language album Blue Virgin Isles. The west  Question: What did he after he left the scene Answer: None. Question: Where did he work internationally? Answer: he and his brother Kenneth travelled to Hollywood in late 1977 Question: What did they do in hollywood Answer: record Gardestad's first English-language album Blue Virgin Isles. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: ""Grilled Cheesus"" is the third episode of the second season of the American television series ""Glee"", and the twenty-fifth episode overall. Conversation:  Wizard: I love a good hotdog! It's a delicious sausage sandwich.  Apprentice: Add a little mustard to it and a coke and that's a fine meal.  Wizard: Absolutely! Need to get me some homemade mustard plants.  Apprentice: LOL! What other quick meals do you like? For example grilled cheese with chips?"
274,Accounting,"Context: Concurrently with Chicago's existing career, lead vocalist Peter Cetera had begun a solo career. He propos Question: Did Cetera's departure cause any issues within the band? Answer: None. Question: What year did Peter Cetera leave Chicago? Answer: Cetera ultimately left Chicago in the summer of 1985. Question: What led to Cetera's departure? Answer: Concurrently with Chicago's existing career, lead vocalist Peter Cetera had begun a solo career. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Apprentice: Hey there, I'm an accountant at a local tax service. Do you know much about accounting?  Wizard: I know that Liberty Tax services is the 3rd largest tax company in the united states.  Apprentice: Yes, there are many tax firms in the United States. Accountants take on the task of the measurement, disclosure or provision of assurance about financial information that helps others make financial decisions."
275,American football,"Context: Nixon used the improving international environment to address the topic of nuclear peace. Following the announcement of his visit to China, the Nixon administration concluded negotiations for him to visit the Soviet Union. The President and First Lady arrived in Moscow on May 22, 1972 and met w Question: Did the soviet leader ever come to America? Answer: None. Question: How is NIxon associated with the Soviet Union? Answer: Nixon used the improving international environment to address the topic of nuclear peace. Question: Did he travel to the Soviet Union? Answer: The President and First Lady arrived in Moscow on May 22, 1972 Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: During a play, each team should have no more than 11 players on the field, and each of them has specific tasks assigned for that specific play. Conversation:  Wizard: I always prefer watching the offense play during football games.   Apprentice: I don't watch much football. What does the offense do?  Wizard: They attempt to take the ball to the touchdown but running or throwing it.   Apprentice: Sounds interesting. How many players are on the offense?"
276,Green,"Context: In the show's third act, the host conducts an interview with a celebrity guest. Guests come from a wide range of cultural sources, and include actors, musicians, authors, athletes, pundits, policy experts and political figures. During St Question: what have critics said about the show? Answer: None. Question: Who are interviewed on the show? Answer: the host conducts an interview with a celebrity guest. Question: Who are some of the guests that they have received? Answer: Guests come from a wide range of cultural sources, and include actors, musicians, authors, athletes, pundits, policy experts and political figures. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage. Conversation:  Apprentice: Green is such a nice color.  Wizard: It is between blue and yellow on the visible spectrum and comes in many shades.  Apprentice: Makes sense since both those colors make green."
277,Genghis Khan,"Context: Jordan was born on July 8, 1908, in Brinkley, Arkansas, where his father, James Aaron Jordan, was a music teacher and bandleader for the Brinkley Brass Band and for the Rabbit Foot Minstrels. His mother, Adell, died when Louis was young.  Jordan studied music under his father, starting out on the clarinet. In his yo Question: Did he receive any notable recognition for his music? Answer: None. Question: What was significant about his early life? Answer: his father, James Aaron Jordan, was a music teacher and bandleader for the Brinkley Brass Band and for the Rabbit Foot Minstrels. Question: Was he musical as a child? Answer: Jordan studied music under his father, starting out on the clarinet. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Before Genghis Khan died he assigned Ögedei Khan as his successor. Conversation:  Wizard: I am currectly studying and many of my courses are about history!  Apprentice: I love history, but haven't taken a history class in a while! What parts of history are you studying?  Wizard: We are studying at the moment the life of genghis khan! he was the great founder of the mongol empire, one of the largest empire in history after his death  Apprentice: I don't know much about Genghis Khan. I didn't know he had the largest empire in history! What was he like?"
278,Elvis Presley,"Context: The modern English noun Greek (Old English Grecas or Crecas) is derived from the Latin Graeci, which in turn originates from Ancient Greek Graikos (Graikos). It seems that the word is related with the Greek word geron geron, ""old man"" (from the PIE base *gerh2-, ""to grow old"") via Proto Question: Was there any support for Busolt's claim? Answer: None. Question: What is something interesting you can tell me about the Greeks? Answer: The modern English noun Greek (Old English Grecas or Crecas) is derived from the Latin Graeci, Question: What does Graeci mean? Answer: ). It seems that the word is related with the Greek word geron geron, ""old man"" (from the PIE base *gerh2-, ""to grow old"") Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Wizard: I like to listen to Elvis Presley!  Apprentice: I agree but I haven't listen to him in a long time  Wizard: He led an era as the ""King of Rock and Roll"".  Apprentice: yep the King of Rock, You know some of his movies were cheesy but I do enjoy watching them"
279,American football,"Context: On June 28, 2013, the day of the NBA draft, the Boston Celtics and the Brooklyn Nets reached a Question: when did he leave the nets? Answer: None. Question: What happened in 2013? Answer: On June 28, 2013, the day of the NBA draft, the Boston Celtics and the Brooklyn Nets reached a deal to trade Garnett, Question: where did garnett end up? Answer: Nets Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: On 20 July 1969, an estimated 530 million people watched the live global broadcast of the first ever humans walk on the surface of the moon (this constituted around 14% of total population of the world at the time), despite the fact that the first moonwalk took place in the middle of the night in Europe (at 02:56 in Ireland, Portugal and the United Kingdom and 03:56 in France, Germany, Italy, the Netherlands and Spain) and it was not broadcast in the Eastern Bloc except Socialist Republic of Romania and Polish People's Republic. Conversation:  Wizard: I love to watch American football, though we just call it football here.  What about you?  Apprentice: We just call it football here too. I'm not a huge sports fan, but I will watch the Super Bowl once in a while.  Wizard: The Super Bowl is great and a lot of people watch it for the commercials.  It is quite a phenomenon now they are called Super Bowl ads.  Apprentice: That's my favorite part of watching the Super Bowl actually. That, and the food."
280,American football,"Context: Caesar's television career began with an appearance on Milton Berle's Texaco Star Theater in the fall of 1948. In early  Question: was it successful? Answer: None. Question: how was sid involved with television? Answer: Caesar's television career began with an appearance on Milton Berle's Texaco Star Theater in the fall of Question: when did he start that? Answer: fall of 1948. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: College football is American football played by teams of student athletes fielded by American universities, colleges, and military academies, or Canadian football played by teams of student athletes fielded by Canadian universities. Conversation:  Wizard: American football has evolved in th US, it originated from the sports association f football and rugby football.  Apprentice: I love football!  When did it originate?  Wizard: Well both rugby and football have their origin in a variety of types of football played in britain in the mid 1800s, english public school games were based on those games so i would say it started to form around 1850s ish and evolved until we got what we have today.  Apprentice: Wow!  I didn't realize it had roots in the UK!  Pro football started here in America though, right?"
281,Harry Potter,"Context: In 2006, the Goo Goo Dolls marked their 20th anniversary with their new album Let Love In, which included the studio recording of ""Give a Little Bit"" as well as other top 10 radio singles ""Better Days"", ""Stay with You"", and ""Let Love In"". With thei Question: What other songs were on Let Love In? Answer: None. Question: What happened on Let Love In? Answer: the Goo Goo Dolls marked their 20th anniversary with their new album Let Love In, Question: what songs were included on Let Love In? Answer: which included the studio recording of ""Give a Little Bit"" as well as other top 10 radio singles ""Better Days"", ""Stay with You"", and ""Let Love In"". Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide. Conversation:  Wizard: Did you read any of the Harry Potter novels. I am a fan of the movies myself.  Apprentice: i watched the movies  Wizard: I loved the actors in the movies although originally I was offended that J. K. Rowling would only use British actors.  Apprentice: oh wow I wasn't aware of that"
282,Motivation,"Context: On December 8, 2004, during the Devastation Across The Nation tour, Abbott was shot on-stage while performing with Damageplan at the Alrosa Villa in Columbus, Ohio. A crowd o Question: How did fans respond to his death? Answer: None. Question: When did he die? Answer: On December 8, 2004, Question: How did he die? Answer: during the Devastation Across The Nation tour, Abbott was shot on-stage while performing with Damageplan at the Alrosa Villa in Columbus, Ohio. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The ""wanting behavior"" associated with a rewarding stimulus can be increased by microinjections of dopamine and dopaminergic drugs in the dorsorostral nucleus accumbens and posterior ventral palladium. Conversation:  Wizard: I have trouble getting motivated at times, a reason for actions  Apprentice: Do you know why you are having trouble getting motivated? Are you suffering from any mental illness?  Wizard: No and motivation is a what causes a person to want to repeat a behavior like going to work  Apprentice: Do you know anything about the psychological reasons for motivation?"
283,Green,"Context: On 22 June 2011, the Chinese authorities released Ai from jail after almost three months' detention on charges of tax evasion. Beijing Fa Ke Cultural Development Ltd. (Chinese: Bei Jing Fa Ke Wen Hua Gong Si ), a company Ai controlled, had allegedly evaded taxes and intentionally destroyed accounting documents. State med Question: what did he speak about? Answer: None. Question: what is release referring to? Answer: On 22 June 2011, the Chinese authorities released Ai from jail after almost three months' detention on charges of tax evasion. Question: what evidence did they have? Answer: had allegedly evaded taxes and intentionally destroyed accounting documents. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Several minerals have a green color, including the emerald, which is colored green by its chromium content. Conversation:  Apprentice: Do you like the color green?  Wizard: You mean the color between blue and yellow, yes! Love it!  Apprentice: I also like blue due to it being the color of the sky."
284,American football,"Context: The drawn series as India toured Australia in 2003-04 saw Tendulkar making his mark in the last Test of the series, with 241 not out from 436 ball by 33 four at strike rate of 55.27 in Sydney, putting India in a virtually unbeatable position. He spend  Question: Did they win any trophies while in Australia Answer: None. Question: Did he tour Aurstralia with a team? Answer: The drawn series as India toured Australia Question: How many games did they win on their Australia tour Answer: with 241 not out from 436 ball by 33 four at strike rate of 55.27 in Sydney, putting India in a virtually unbeatable position. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Apprentice: Do you like football?  Wizard: I like soccer which is commonly called football in Europe.  Apprentice: Sorry I meant American football"
285,Green,"Context: Initially, the Chess brothers would not allow Muddy Waters to use his working band in the recording studio; instead,  Question: What changed their mind? Answer: None. Question: What brought them into commercial success? Answer: by September 1953 he was recording with one of the most acclaimed blues groups in history: Question: What did he do in 1948? Answer: Initially, the Chess brothers would not allow Muddy Waters to use his working band in the recording studio; Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Pink is a pale red color that is named after a flower of the same name. Conversation:  Apprentice: I just finished painting my room, gren is the color! i just love it, do you like the color green?  Wizard: I like some shades of light green.  Apprentice: Im sure about it! in psychology symbolizes renewal and growth, so is a deep color!"
286,Ireland,"Context: On January 21, 2004, Bruce appeared alongside Utsler on an episode of the weekly NWA Total Nonstop Action PPV. The duo were shown partying in the crowd alongside the Juggalos in attendance. In the ma Question: Was there any other promotions? Answer: None. Question: What is Total Nonstop Action Wrestling? Answer: On January 21, 2004, Bruce appeared alongside Utsler on an episode of the weekly NWA Total Nonstop Action PPV. Question: What did he do? Answer: The duo were shown partying in the crowd alongside the Juggalos in attendance. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature. Conversation:  Apprentice: Have you ever been to Ireland  Wizard: No, I haven't been there - I understand that Ireland is an island in the North Atlantic.  Apprentice: I didn't realize that Ireland was Island"
287,Cheerleading,"Context: The Black Seminole culture that took shape after 1800 was a dynamic mixture of African, Native American, Spanish, and slave traditions. Adopting certain practices of the Native Americans, maroons wore Seminole clothing and ate the same foodstuffs prepared the same way: they gath Question: What was the flour used for? Answer: None. Question: What was the culture like? Answer: was a dynamic mixture of African, Native American, Spanish, and slave traditions. Question: What were some of their rituals? Answer: maroons wore Seminole clothing and ate the same foodstuffs prepared the same way: Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Cheer Athletics, located in Plano, TX (near Dallas, TX), Austin, TX, Frisco, TX and Charlotte, NC and Columbus, OH is one of the largest all-star cheerleading program in the United States, with over thousands of athletes competing on 80+ teams. Conversation:  Apprentice: Be aggressive! Be Be aggressive! That's my favorite cheer!  Wizard: Haha! That is pretty cool. I think I would be good at chanting slogans, but not the intense physical activity!  Apprentice: I've been cheering for the last 5 years, the stunts are my favorite part of cheer."
288,Hot dog,"Context: McCartney first used drugs in the Beatles' Hamburg days, when they often used Preludin to maintain their energy while performing for long periods. Bob Dylan Question: How did he respond? Answer: None. Question: Did Paul McCartney do drugs? Answer: McCartney first used drugs in the Beatles' Hamburg days, Question: What kind of drugs did he take? Answer: they often used Preludin to maintain their energy while performing for long periods. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Hot dog variants include the corn dog and pig in a blanket. Conversation:  Apprentice: I absolutely love hot dogs.  Wizard: Mmmm, me too! Do you like them grilled or steamed?  Apprentice: I loved them grilled. They are best for a picnic."
289,Green,"Context: Anthony played and started in 80 games during the 2005-06 season. He averaged 26.5 ppg (8th, NBA), 2.7 apg, 4.9 rpg and 1.1 spg. His eighth-place finish in NBA scoring was the highest finish by a Denver player since the 1990-91 season, when Nugg Question: What did he accomplish after the extension? Answer: None. Question: What happened in 2005? Answer: Anthony played and started in 80 games during the 2005-06 season. He averaged 26.5 ppg (8th, NBA), 2.7 apg, 4.9 rpg and 1.1 spg. Question: Who did he play for? Answer: His eighth-place finish in NBA scoring was the highest finish by a Denver player since the 1990-91 season, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Green is common in nature, especially in plants. Conversation:  Apprentice: my favorite color is green  Wizard: That is the color between blue and yellow.  Apprentice: if I recall it is a secondary color since it is made up of two primary colors"
290,Japanese language,"Context: In 1994, musicians Question: What did they do after this? Answer: None. Question: How did The Aquabats originate? Answer: musicians Christian Jacobs, Chad Larson and former member Boyd Terry formed The Aquabats in Question: When did they form? Answer: In 1994, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: According to 2000 federal census data, it served a resident population of 5,759. Conversation:  Wizard: Lately I have been teaching myself Japanese words as preparation for moving to Tokyo.  Apprentice: Why are you moving there?  Wizard: Mostly for a new job that will require me to know the basics of grammatical function of words.   Apprentice: That is interesting, what is your job title?"
291,Bowling,"Context: In 2004, Pitbull released his debut album M.I.A.M.I., with the lead single being ""Culo"" produced by Lil Jon and the Diaz Brothers. It peaked at No. 32 on the Billboard Hot 100 chart and No. 11 on the Hot Rap Tracks chart. Other singles included ""Dammit Man"", ""Back Up"", ""Toma"", and ""That's Nasty"" (both featuring Lil Jon). He joined the Anger Management Tour, the 2000 hip-hop concert tour headlined by Eminem and 50 Cent. Pitbull a Question: did he win any awards? Answer: None. Question: who was pit bull? Answer: Pitbull released his debut album M.I.A.M.I., with the lead single being ""Culo"" produced by Lil Jon and the Diaz Brothers. Question: who did he work with? Answer: ). He joined the Anger Management Tour, the 2000 hip-hop concert tour headlined by Eminem and 50 Cent. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The objective is to score the highest pinfall by knocking down as many pins as possible. Conversation:  Wizard: I like bowling as a leisure activity.  Apprentice: Me too. I play in a recreational league with my friends.  Wizard: That's really cool. I know some people play it as a sport as well, I personally like it just in my free time.  Apprentice: I'm not good enough to play competitively. I also play with my kids. They need the bumpers."
292,Drama school,"Context: In 1993, Gladiator formed the first villainous faction in FMW called Team Canada with Ricky Fuji, Big Titan, Horace Boulder, Dr. Luther and Dr. Hannibal after The Question: how many years did Team Canada last? Answer: None. Question: how did he join Team Canada? Answer: Gladiator formed the first villainous faction in FMW called Team Canada Question: How many people are on the team? Answer: Ricky Fuji, Big Titan, Horace Boulder, Dr. Luther and Dr. Hannibal Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Yes are an English rock band formed in London in 1968 by singer Jon Anderson, bassist Chris Squire, guitarist Peter Banks, keyboardist Tony Kaye, and drummer Bill Bruford. Conversation:  Wizard: I like to became a famous actress. So I interested to join in drama school  Apprentice: Its q great question your part,You want to be the likes of.......actress  In the Hollywood  Wizard: Yes but not in hollywood . need to be part in dramsa. .If drama school is part of degree   Apprentice: Can one really be famous with just drama ? "
293,"On-again, off-again relationship","Context: On 22 July 2006, McPartlin married his longtime girlfriend and make-up artist Lisa Armstrong at Cliveden, a country house hotel in Buckinghamshire. The pair remained married for 11 years, before eventually announcing their divorce on 15 January 2018.  McPartli Question: what was the highlight of these eleven years of marriage? Answer: None. Question: what is the best part of his personal life? Answer: McPartlin married his longtime girlfriend and make-up artist Lisa Armstrong at Cliveden, Question: was this marriage successful? Answer: The pair remained married for 11 years, before eventually announcing their divorce on 15 January 2018. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Apprentice: My boyfriend just broke up with me for like the tenth time.  Wizard: He may come back for comfort later on down the line.  Apprentice: I don't know if I trust him anymore, but I still love him."
294,Elvis Presley,"Context: Nathan Christopher Charles Summers is the son of Scott Summers (aka Cyclops), and Madeline Pryor (who was later revealed to be a clone of Jean Grey). Writer Chris Claremont, who had w Question: was it successful? Answer: None. Question: When was the creation? Answer: Flight #1 (December 1985). Question: who created it? Answer: Writer Chris Claremont, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Accompanied by guitarist Scotty Moore and bassist Bill Black, Presley was a pioneer of rockabilly, an uptempo, backbeat-driven fusion of country music and rhythm and blues. Conversation:  Apprentice: Elvis is such an icon in the music world.  Wizard: I just love him too!! He was born in January just like me  Apprentice: He resembles confidence in many ways"
295,Motivation,"Context: In May 1999, Lee Ryan and Antony Costa met at the ages of 15 and 17, respectively, when auditioning for a boy band on ITV's This Morning, with Simon Cowell putting the group together. Ryan made Question: What happened on the show? Answer: None. Question: When did the band form? Answer: In May 1999, Lee Ryan and Antony Costa met at the ages of 15 and 17, Question: What happened after they met? Answer: respectively, when auditioning for a boy band on ITV's This Morning, with Simon Cowell putting the group together. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"". Conversation:  Apprentice: I have a hard time being motivated and focused some times.  Wizard: It's an important skill to have. It is the reason we have desires, needs, and actions.  Apprentice: Yeah that makes sense. Do you know of any stragies to help me focus?"
296,Green,"Context: At the beginning of the 18th century, more organized violence than in previous decades occurred between the Native Americans involved in the deerskin trade and white settlers, most famo Question: Were any other furs besides deer fur important during this time? Answer: None. Question: What was the most most profitable fur at the beginning of the 18th century? Answer: deerskin Question: What impact did that have on the US? Answer: more organized violence than in previous decades occurred between the Native Americans involved in the deerskin trade and white settlers, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility. Conversation:  Wizard: My favorite color is green because its right between blue and yellow. What is yours?  Apprentice: I have a wide variety of colors, but find blue to be my favorite.  Wizard: Blue is good too. There is so much green to love because of chlorophyll in nature.   Apprentice: Well blue is the color of the sky and water and I feel like it is a calming color.  Green is great also!"
297,Green,"Context: On February 4 and 5, 1862, prior to the advance against Fort Henry, Union troops under the command of Brig. Gen. Ulysses S. Grant and a flotilla of Union ironclads and timberclad gunboats under the command of Flag Officer Andrew Hull Foote made their way toward the Confederate fort along the Tennessee River in western Tennessee. Wallace's brigade, which was attached to Brig. Gen. Charles F. Smith's division, was ordered to occupy Fort Heiman, an uncomp Question: What rank was Lew Wallace? Answer: None. Question: What happened at Fort Henry? Answer: On February 4 and 5, 1862, prior to the advance against Fort Henry, Union troops under the command of Brig. Gen. Ulysses S. Grant Question: What did Lew Wallace do at Fort Henry? Answer: Wallace's brigade, which was attached to Brig. Gen. Charles F. Smith's division, was ordered to occupy Fort Heiman, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: For this reason, the costume of the ""Mona Lisa"" by Leonardo da Vinci and the benches in the British House of Commons are green while those in the House of Lords are red. Conversation:  Apprentice: Out of all the colors, green is the only one my views changes back and forth to love and hate. What's your favorite color?  Wizard: My favorite color in pink. On the visible spectrum, the color green lays between blue an dyellow  Apprentice: Yellow is for sure a color I dislike, maybe that's why my view on green changes so much.  You know anything else on it?"
298,The Walking Dead (TV series),"Context: Unlike his more famous contemporary Bob Fosse, Bennett was not known for a particular choreographic style. Instead, Bennett's choreography was motivated by the form of the musical involved, or the distinct characters interpreted.  In Act 2 Question: What were some of the dinstinct characters? Answer: None. Question: Can you explain the Analysis? Answer: Bennett was not known for a particular choreographic style. Question: What were some strong points regarding his choreographic style? Answer: Bennett's choreography was motivated by the form of the musical involved, or the distinct characters interpreted. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Voiced by:  Sheriff Woody Pride is a 1950s old traditional pull string cowboy doll, and Andy's favorite toy. Conversation:  Apprentice: Hey. Are you caught up on the walking dead?  Wizard: Hey there! I am! A lot of it actually takes place around Atlanta Georgia?  Apprentice: Ya I actually used to only live like an hour from the set"
299,Bowling,"Context: Benny had been a minor vaudeville performer before becoming a national figure with The Jack Benny Program, a weekly radio show that ran from 1932 to 1948 on NBC and from 1949 to 1955 on CBS. It was am Question: Did he have a close relationship with Ted Weems? Answer: None. Question: What was something interesting Jack Benny did in this period? Answer: becoming a national figure with The Jack Benny Program, Question: What was the Jack Benny program? Answer: a weekly radio show that ran from 1932 to 1948 on NBC and from 1949 to 1955 on CBS. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In regions of the United Kingdom and Ireland the game remains a popular indoor place game. Conversation:  Wizard: Hey do you like bowling? The maximum score is 300, and I have bowled a 300 point game twice in my life!  Apprentice: i just recently went bowling on a date, and I think my score was closer to 80!! Are there any effective strategies to get better at bowling?  Wizard: It certainly depends on the type of bowling game you are playing. Some varieties include target bowling, ten-pin, nine-pin and duckpin. I think the best advice is to keep your arm straight.  Apprentice: Oh my, I didn't realize there were so many different types of bowling games. What is the most popular bowling game?"
300,Thierry Henry,"Context: Gene Roddenberry told Brent Spiner that over the course of the series, Data was to become ""more and more like a human until the end of the show, when he would be very close, but still not quite there. That was  Question: Was Data well-received? Answer: None. Question: how did Star Trek develop? Answer: Spiner felt that Data exhibited the Chaplinesque characteristics of a sad, tragic clown. Question: Did he use that clown as the basis for Star TreK? Answer: close, but still not quite there. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Under long-time mentor and coach Arsène Wenger, Henry became a prolific striker and Arsenal's all-time leading scorer with 228 goals in all competitions. Conversation:  Wizard: Gotten into football lately, and I've quickly become a fan of Thierry Henry, the retired French professional footballer. Watching highlights of him playing for Monaco, Juventus, Barcelona, even the New York Red Bulls... exciting.  Apprentice: Oh really? I've recently gotten into American football, but I think you're talking about soccer? Is that right?  Wizard: Yeah, association football. Sorry, I should have specified! He's someone that started way back in 1994. He had good form all the way throughout, and that led him to get an international call-up in 1998, leading him to get signed for the Serie A defending champions, Juventus.  Apprentice: Oh okay! I couldn't recall the name association football! Thierry Henry sounds like quite an amazing player! Is he still playing?"
301,Skiing,"Context: Cohan appeared in 1930 in a revival of his tribute to vaudeville and his father, The Song and Dance Man. In 1932, Cohan sta Question: where his children ever in the film industry? Answer: None. Question: When did his career take off? Answer: 1930 Question: did he ever star in any movies? Answer: The Song and Dance Man. In 1932, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The word ""ski"" is one of a handful of words Norway has exported to the international community. Conversation:  Apprentice: I love skiing how about you?  Wizard: I really like it too. It has been around long time. Almost five millennia.  Apprentice: Wow I had no idea people had been skiing for so long!"
