index,topic,prompt
159,Cardigan (sweater),"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: By contrast, a pullover does not open in front but must be ""pulled over"" the head to be worn. Conversation:  Wizard: I bet you must have a Cardigan, which is a  knitted garment (sweater) that has an open front.  Apprentice: Haha actually I do! I own a light grey one and a dark grey one. They have a row of buttons going down one side. How did you know?  Wizard: Sweet. does it  buttons? because I like the ones that have buttons  Apprentice: Yeah, a row down one side in the front. Nice polished wood. Can you guess the material my cardigans are made out of?"
160,Broken heart,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The concept is believed to be universal, with many cultures using the same words to describe both physical pain and the feelings associated with relationship loss. Conversation:  Wizard: I think I may have a broken heart intense emotional pain  Apprentice: Oh no! What caused it?  Wizard: A breakup and emotional pain  Apprentice: Do you have any physical symptoms?"
161,Kendrick Lamar,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In 1994, she was discovered by fellow rapper The Notorious B.I.G., who invited her to join his rap group Junior M.A.F.I.A. Conversation:  Wizard: I really enjoy listening to rap music, particularly Kendrick Lamar.  Apprentice: Interesting, I don not know much about rap music, can you tell me more?  Wizard: Rap evolved out of the hip hop genre which was developed in the 1970s in the Bronx.  Apprentice: I know a few rappers, Eminem, 50 cents, who is your favorite rapper besides, Kendrick Lamar?"
162,American football,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge:  Conversation:  Wizard: I love American Football!  I actually was a football player in college. Obviously the team with the most points at the end wins!  Apprentice: I don't enjoy sports too much, and it's difficult to enjoy American football these days with all of the political issues.  Wizard: That's true about the NFL.  College football is actually how American Football rules first gained popularity in the US  Apprentice: I didn't know that. Frankly, the only difference I'm aware of between the NFL and college football is that College players don't get paid."
163,The Walking Dead (TV series),"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The two walkers are subsequently revealed to be her zombified boyfriend and his best friend. Conversation:  Apprentice: Hello, I enjoy The Walking Dead. Do you?  Wizard: Hello! I love the walking dead. Did you also read the comics?  Apprentice: I have not, but my husband has. I have only watched the show."
164,Guns N' Roses,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Wizard: My favorite artist is Guns N' Roses. Do you know any of their songs?  Apprentice: I loved their songs back in the day. Especially Sweet child of mine.   Wizard: Yup! They are an American rock band from California. Personally, I also love Welcome to the Jungle :=)  Apprentice: That first album was the best selling debut album of any band I believe it sold about 30 million copies"
165,Ireland,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: There are twenty-six extant mammal species native to Ireland. Conversation:  Apprentice: I have always wanted to visit Ireland. I wonder what it is like.  Wizard: Ireland is comprised of relatively low-lying mountains surrounding a central plain, with several navigable rivers extending inland.  Apprentice: I always see so much greenery and land when I see pictures of it."
166,Elvis Presley,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States. Conversation:  Wizard: Elvis was such an amazing singer, but he also an incredible musician and actor.   Apprentice: Yes, The King. Did you know he sold more then 1 billion units in 20 years.  Wizard: I didn't know that! He was born in 1935 and died in 1977 though.  Apprentice: So sad that such a talent left so early. Do you happen to know what his first big seller was?"
167,Instagram,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A version for Android devices was released two years later, in April 2012, followed by a feature-limited website interface in November 2012, and apps for Windows 10 Mobile and Windows 10 in April 2016 and October 2016 respectively. Conversation:  Apprentice: Hey do you like taking pictures?  Wizard: I really like it! I especially like using Instagram. You know that internet based photo sharing application that allows everyone to share photos and videos publicly?  Apprentice: I do!  I enjoy Instagram as well, especially the filters you can overlay on your photography to add depth and shadow and highlights!"
168,Hot dog,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is a hot dog wrapped in mesquite-smoked bacon, cooked on a grill or on a griddle or comal, then topped with pinto beans, onions, tomatoes, mayonnaise, mustard and jalapeño salsa or sauce, and served on a bolillo roll, often with a side of fresh-roasted chili pepper. Conversation:  Apprentice: One of my favorite things to eat at the ball park is a hot dog. Do you like them as well?  Wizard: Meh. (Not to yuck your yum!) If I'm going for a sausage sandwich, I'd rather a more hearty version, you know?  Apprentice: I understand. I prefer kosher all-beef franks that are steamed. I love to add onions, mustard, and relish."
169,Bowling,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A strike is when all the pins are knocked down on the first roll, whereas a spare is when all the pins are knocked over on the second shot. Conversation:  Wizard: Have  you ever bowled?  It's where a player rolls a bowling ball down the lane toward the target, or pins.  Apprentice: No,  I've not.  Please tell me more about it  Wizard: Well, I'm pretty bad at it, but the main idea is that the target is to knock over pins at the end of the lane by throwing/rolling the ball.  Apprentice: Do you roll  the ball with a stick or hand? "
170,American football,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Rugby union, commonly known in most of the world as rugby, is a contact team sport which originated in England in the first half of the 19th century. Conversation:  Wizard: Hi there! Let's talk football, I mean American football,also known as gridiron football or simply gridiron.   Apprentice: Oh great  buddy. What special in american football. Can you please share with me  Wizard: A.F  which uses 11-player teams, is the form played in the United States and the best known form worldwide  Apprentice: Ok buddy. Now in 2018 world cup in which rank they are playing"
171,Broken heart,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The concept is cross-cultural, often cited with reference to a desired or lost lover, and dates back at least 3,000 years. Conversation:  Apprentice: I just got out of a relationship and, well, it hurts pretty bad.  Wizard: Sounds like you may have a broken heart, or intense emotional and sometimes physical stress or pain one feels at experiencing great longing. I'm so sorry.  Apprentice: Yeah, it's pretty bad. I thought things were going well, but I guess I was wrong. Have you ever gone through that? Any advice?"
172,Archery,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It shoots arrow-like projectiles called bolts or quarrels. Conversation:  Apprentice: I love Archery  Wizard: Interesting. I hear that you use a bow to propel arrows in the sport of archery.  Apprentice: Oh yes, it is very good for hunting"
173,Hunting,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Wizard: I love to go hunting, I usually hunt as a means of pest control.Because I have foxes who eat my chickens all the time.   Apprentice: I am actually not a fan of hunting. I eat animals, but I would feel bad about killing them.  Wizard: Well not all hunting is about killing you can usually just trap the animal, or track them with the intent of doing so. And then release them.   Apprentice: But isn't that really cruel? They have no idea what is happening and don't know that you won't hurt them."
174,Hunting,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species. Conversation:  Apprentice: I've always thought about trying hunting, but I've never gotten around to it.  Wizard: Me either. I would only be willing to try it for its most common purposes, food or removing dangerous predators.  Apprentice: Same here, though a lot of people seem to do it for recreation right?"
175,Bodybuilding supplement,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: He left Prussia in 1885 to avoid military service and traveled throughout Europe, becoming a circus athlete and adopting Eugen Sandow as his stage name. Conversation:  Wizard: I drink protein powder with nothing but water. Before powders athletes in Greece ate meat and drank wine.  Apprentice: Oh that's cool. Did they do anything else interesting?  Wizard: A lot of herbal concoctions were used to help with strength and stamina.  Apprentice: Were there any other herbal uses?"
176,Bee,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Bumblebee is a fictional character from the Transformers franchise. Conversation:  Apprentice: I'm allergic to bees so I have to carry an epi-pen with me everywhere.  Wizard: Theres a species of stingless bees, so they woul;d be safe for you; i'm not sure where to find them.  Apprentice: It would be nice if they were all stingless.  I know bees have a very good purpose, though, so I don't get too upset with them."
177,Hot dog,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The patty may be pan fried, barbecued, or flame broiled. Conversation:  Apprentice: I love a good hot dog! I especially love one that is loaded with chili and cheese. Do you enjoy hot dogs?  Wizard: I do, and I love it with mustard, and sauerkraut!  Apprentice: I am not a big fan of sauerkraut but I'm totally with you on the mustard! I would like to thank the individual who came up with idea! lol"
178,Motivation,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: According to Maehr and Meyer, ""Motivation is a word that is part of the popular culture as few other psychological concepts are."" Conversation:  Wizard: Have you ever had the lack of motivation? The lack of desire, needs, or actions?  Apprentice: Oh yes! There are times when I really need to get something done but just can't muster the enthusiasm.  Wizard: Motivation can also repeat itself. It is ones way to behavior. Its what causes the repeating of a certain behavior.  Apprentice: How do you mean? Do you have an example, as I really need motivating sometimes."
179,The Walking Dead (TV series),"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Rick Grimes is a fictional character and the protagonist in the comic book series ""The Walking Dead"" and the television series of the same name, portrayed by Andrew Lincoln. Conversation:  Apprentice: Do you like the tv show The Walking Dead? I forget what channel it's on.  Wizard: Ive never been a huge fan, but my boyfriend likes it. Its an american horror show on AMC  Apprentice: I like Sci Fi shows and this is more post apocalyptic zombies called walkers. It took me awhile to get into it."
180,Nickelback,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: ""Billboard"" ranks them the most successful rock group of the decade; their song ""How You Remind Me"" was listed as the best-selling rock song of the decade and the fourth best-selling of the decade. Conversation:  Apprentice: Full confession that's both embarrassing but makes for a great story: I met my wife at a Nickelback concert.  Wizard: I think that is really awesome! At first I didnt know this, but they are a Canadian band! From Alberta!  Apprentice: But they've also become a bit of a punchline! Not that it matters to me though -- it makes for a great story! Do you know them?"
181,Bowling,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Apprentice: I love bowling!  Do you enjoy the sport?  Wizard: Yes, of course  It is one of the major forms of throwing sports i play once a week  Apprentice: What are the other major throwing sports?"
182,Elvis Presley,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience. Conversation:  Wizard: Hi! Do you know Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer,   Apprentice: Yeah! I guess I always heard of him as ""Elvis Presley"". Do you like his music?  Wizard: Yeah! Regarded as one of the most significant cultural icons of the 20th century,.  Apprentice: Cool! Yeah I've heard a few of his songs but I don't know much about him. Do you know his most famous song was?"
183,Green,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage. Conversation:  Apprentice: This is interesting as my favorite color really is green!  Wizard: Green is the color between blue and the color yellow. I tis on the visible spectrum.  Apprentice: Yes, it is. I like all shades of green, but lean towards a green apple green."
184,List of national parks of the United States,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Yellowstone National Park is a national park located in the U.S. states of Wyoming, Montana, and Idaho. Conversation:  Apprentice: Hello! I love visiting national parks. You?  Wizard: Yes, me too! I also love Canadian National Parks, which are protected  Apprentice: Canada is fantastic! I wish I lived there instead of the U.S.. I wish we did a better job of protecting our parks."
185,Dog training,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A dog learns from interactions it has with its environment. Conversation:  Wizard: Well lets talk about our furry little friend the dog, and the history of dog training.  Apprentice: sounds good to me, talking about dogs is always an interesting topic  Wizard: First with history, training dogs goes all the way back to Roman times at least.  Apprentice: either for hunting or helping around the household?"
186,Nickelback,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The band achieved commercial success with the release of their 2000 album ""The State"" and then they achieved mainstream success with the release of their 2001 album ""Silver Side Up"". Conversation:  Wizard: Have you heard of the Canadian rock band Nickelback I actually met my wife at a concert lol.  Apprentice: I've heard of them but I am not too familiar with them.  What kind of music are they?  Wizard: They perform rock music they have a lead vocalist who is my favorite Chad and as guitarist and drummer of course.  Apprentice: Any songs that I may have heard?"
187,American football,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Wizard: Hi. I'm a big American football fan. Are you into football?   Apprentice: I'm a rugby fan, but I want to know more about American Football. What can you tell me?  Wizard: well the roots of American football can be traced back to rugby   Apprentice: Is that so? I would never have guessed, what with the whole forward passing thing."
188,Online shopping,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The Amazon Kindle is a series of e-readers designed and marketed by Amazon. Conversation:  Apprentice: I like to shop online, probably a bit too much.  Wizard: Lol me too! What's your favorite online store?  Apprentice: I love to shop on amazon. So you shop online a lot too? Where do you shop? "
189,Hot dog,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A follower of either the diet or the philosophy is known as a vegan ( ). Conversation:  Apprentice: I am disgusted by Hotdogs.  Wizard: I am too. No matter how you cook it, I won't eat it. Grill it or steam it or call it a frankfurter. Not going to eat it. I watched how they made them one time.  Apprentice: I had a friend who used to do inspections in hot dog manufacturing facilities and he said to never eat one.  What are they made of anyway?"
190,Elvis Presley,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: With a series of successful network television appearances and chart-topping records, he became the leading figure of the newly popular sound of rock and roll. Conversation:  Apprentice: Hi How are you doing?  Wizard: Good, I was was listening to music, Elvis, my favorite artist  Apprentice: I really love Elvis also"
191,Bee,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Bees are adapted for feeding on nectar and pollen, the former primarily as an energy source and the latter primarily for protein and other nutrients. Conversation:  Apprentice: When I was younger, I got stung by a bee on my hand and it swelled up.  Wizard:  there are 7 families of bees with 20.000 known speices  Apprentice: Oh wow, do you know what species is the most dangerous? "
192,Winter,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Human clothing, such as a hat or scarf, may be included. Conversation:  Apprentice: I love winter season becuase it is so beautiful when the snow covers the parks!  Wizard: Snowflakes are formed by the attraction of super-cooled water to a particle.  Apprentice: That is very informative! Another thing about snowflakes are that the pattern that they are formed in is always different from the next."
193,Goldendoodle,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The original purpose of the cross was to develop guide dogs suitable for visually impaired individuals with allergies. Conversation:  Wizard: A mix of breeding a Golden Retriever with a Poodle will give you the goldendoodle  Apprentice: those golden doodles are unique looking  Wizard: The name was coined in 1992.  Apprentice: so they only been around that long or they have been around longer and was finally made official in 1992?"
194,American football,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Points are primarily scored by advancing the ball into the opposing team's end zone for a touchdown or kicking the ball through the opponent's goalposts for a field goal. Conversation:  Apprentice: Do you like American football?  Wizard: I'm somewhat of a fan, but not as much as other football fans that I know over here in America.  Apprentice: How many American football teams are there?"
195,Skiing,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Early skiers used one long pole or spear. Conversation:  Wizard: Do you like skiing? It has a history of amost five millennia!  Apprentice: I really do, i live in a mountainous region, so its really popular here, i like cimbing too :D  Wizard: Do you like cross-country skiing? I know some people still use it as a means of transportation  Apprentice: I have heard of that, i think they use it as a transport method in Alaska and Siberia "
196,Harry Potter,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry. Conversation:  Apprentice: I love to read.  What about you? I am currently reading the harry potter collection.  Wizard: Harry Potter is a series of fantasy novels written by British author  Apprentice: Yes I got it bought for a present.  I am only on the first one, but I am loving it so far.  Which one do you think is the most popular?"
197,Green,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Emerald is a cyclosilicate. Conversation:  Apprentice: hello, when you get down to it , my favorite color is green  Wizard: many creatures have adapted to their green environments by making themselves green  Apprentice: i can see why, the color green is so prevalent in nature"
198,Motivation,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Activated ""seeking"" behavior, such as locomotor activity, is influenced by dopaminergic drugs, and microdialysis experiments reveal that dopamine is released during the anticipation of a reward. Conversation:  Apprentice: Some days I have the hardest time getting motivated  Wizard: Please stay motivated because it is the sole purpose for your desires and needs.   Apprentice: do you have any suggestions on how to stay motivated?"
199,Cheerleading,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It can be performed to motivate sports teams, entertain the audience, or for competition. Conversation:  Apprentice: Do you like cheerleading?  Wizard: yes, is an activity the cheerleader cheer for their team as a form of encouragement  Apprentice: I used to do cheerleading in middle school, have you ever participated in the sport?"
200,Cheerleading,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting. Conversation:  Apprentice: I was a cheerleader in high school. Were you ever a cheer leader?  Wizard: Yeah ! Remember back then,we do encourage our college basketball team to success.  Apprentice: I was a football cheerleader. What was the most interesting part about cheerleading to you?"
201,Neurosurgery,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: This was despite general recognition of frequent and serious side effects. Conversation:  Wizard: I watched a documentary about neurosurgery, ""brain surgery"", and it was very interesting. Do you have any insights?  Apprentice: I've always loved medical documentaries, but i haven't seen that one. I remember hearing that they did brain surgery in the stone age though!  Wizard: And it's amazing how it can help with areas that affect not only the brain, but spinal cord, peripheral nerves and extra-cranial cerebrovascular system, so amazing!  Apprentice: I always found it amazing how the body works. And they're still learning new things all the time."
202,Green,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy. Conversation:  Wizard: i love the color green, it is the color between blue and yellow on the visible spectrum  Apprentice: Green is actually my favorite color too and I have green eyes.  Wizard: oh i love green eyes .. the color green is evoked by light which has a dominant wavelength of rougly 495570nm  Apprentice: I heard once that green eyes were some sort of mutation too."
203,Winter,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In many regions, winter is associated with snow and freezing temperatures. Conversation:  Apprentice: Do you like winter? It is my favorite season  Wizard: I love winter because I live in south Florida! It is definitely our coldest season of the year!  Apprentice: That is interesitng, how cold does it end up getting there?"
204,Bowling,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Since its inception in 1965, this event has brought together champions from all over world so that players from small countries with few bowling facilities can meet the greats of the sport, all on equal terms and all in a spirit of friendly competition. Conversation:  Apprentice: I love bowling I used to do it for a year back in highschool, very fun.  Wizard: i have never been particularly good, i'm normally luck to hit 1 pin ha   Apprentice: Haha yea it can be difficult, its actually quite frustrating when you start doing bad. I wonder how long bowling has been a sport?"
205,Broken heart,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The concept is believed to be universal, with many cultures using the same words to describe both physical pain and the feelings associated with relationship loss. Conversation:  Apprentice: I had a broken heart from my previous relationship   Wizard: I've never really had the cross cultural concept of lost love. I've never had a girlfriend lol./  Apprentice: Why haven't had a girl friend? Even gays have someone they have feelings for."
206,Instagram,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Users can connect their Instagram account to other social media profiles, enabling them to share photos to those profiles as well. Conversation:  Apprentice: I don't have instagram. Should I get it?  Wizard: Do you like to take and share pictures with people? Instagram is an Internet-based photo sharing application and service that does just that and you can share it with your friends or with the entire world!  Apprentice: Instagram"
207,Hunting,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Hunting can also be a means of pest control. Conversation:  Wizard: I don't like the sport or act of hunting. I had thinking of animals being trapped and killed.  Apprentice: Yeah same for me i cant stand any time of hunting or animal cruelty  Wizard: Hunting wildlife is primarily done by humans for food and recreation. I don't think its acceptable to hunt for recreation at all.  Apprentice: I know i am totally on the same page i cannot believe it is allowed to have animals as trophies"
208,Harry Potter,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry. Conversation:  Apprentice: I really haven't read that much Harry Potter but I would like to try to. Have you?  Wizard: Yes I would actually. I started reading one of the books. It's about a young wizard at Hogwarts, right?  Apprentice: Yes I know that much, but how does he even become one? Is he born that way?"
209,Elvis Presley,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old. Conversation:  Apprentice: My mother is a huge fan of Elvis Presley! She even got to meet him once! Are you also a fan?  Wizard: I do too, he is Regarded as one of the most significant cultural icons of the 20th century.  Apprentice: I absolutely agree! He had so many great songs. I really liked ""Love Me Tender."" Do you have a favorite song?"
210,Hunting,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is also not considered hunting to pursue animals without intent to kill them, as in wildlife photography, birdwatching, or scientific research activities which involve tranquilizing or tagging of animals or birds. Conversation:  Wizard: Hi buddy, I like hunting it is a practice of trapping the animal  Apprentice: Nice my dad owns a trapping business in CT.  Wizard: I m talking about the hunting the animals. the species that are hunted are referred to a game  Apprentice: Yes I know I was just saying... So when you go hunting what do you hunt for? Deer? "
211,Cardigan (sweater),"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: By contrast, a pullover does not open in front but must be ""pulled over"" the head to be worn. Conversation:  Apprentice: I like cardigans  Wizard: A cardigan is a type of knitted sweater, with an open front. How many do you own?  Apprentice: I own three, I think cardigans are perfect for the fall"
212,Hunting,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Hunting can also be a means of pest control. Conversation:  Wizard: Hunting is the practice of tracking an killing animals most often for food, do you hunt?  Apprentice: No, I do not hunt. It is not for me. I am an animal lover and could not do that. Do you hunt?  Wizard: Some hunt for sport, food or predator control, I deer hunt for food  Apprentice: I had a coworker that also hunts for deer and stores the meat in the winter. I do not criticize anyone that does it, its just not for me. How frequently do you hunt?"
213,The Walking Dead (TV series),"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: ""The Walking Dead"" premiered in the United States on October 31, 2010, exclusively shown on cable television channel AMC and internationally on Fox International Channels. Conversation:  Wizard: I love post-apocalyptic horror television series such as The Walking Dead.  Apprentice: same its great!  Wizard: Andrew Lincoln plays the show's lead character, and he's my favorite character!  Apprentice: ik think glenn was mine"
214,Archery,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In modern times, it is mainly a competitive sport and recreational activity. Conversation:  Apprentice: I always wanted to learn how to do archery. What can you tell me about it?  Wizard: It is a cool sport actually!  You use the skill of using a bow to shoot arrows at targets (or people - - whichever)  Apprentice: I would think I would get in trouble shooting at people. Perhaps for self defense is OK."
215,Blog,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In the 2010s, ""multi-author blogs"" (MABs) have developed, with posts written by large numbers of authors and sometimes professionally edited. Conversation:  Wizard: Have you ever had your own blog or weblog? its for commenting and documenting your life or experiences for the whole web to see  Apprentice: No, but I have thought about starting one some time. It seems like they have become very popular these days.  Wizard: Yea, they are typically ordered in newest message first so their most recent post is always visible  Apprentice: That makes sense. I know many people subscribe to the RSS feed so they don't even have to visit the site."
216,Elvis Presley,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States. Conversation:  Apprentice: Ever since I saw Forest Gump a few weeks ago, I like to listen to Elvis Presley.    Wizard: Yeah, I love the King of Rock and Roll. Is he your favorite musical artist?  Apprentice: He is starting to be but I don't know much, why is he the King of Rock and Roll?"
217,Green,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is a neutral or achromatic color, meaning literally that it is a color ""without color."" Conversation:  Wizard: Green is my favorite color. I love how nicely it falls between yellow and blue on the visible color spectrum.  Apprentice: I love green as well. Do you like a particular shade of green?  Wizard: I love kelly green it's just one of the many shades of green named after a plant.  Apprentice: That is a great color. Where do you like to see green the most? On cars, clothing?"
218,Neurosurgery,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: These fellowships include pediatric neurosurgery, trauma/neurocritical care, functional and stereotactic surgery, surgical neuro-oncology, radiosurgery, neurovascular surgery, skull-base surgery, peripheral nerve and spine surgery. Conversation:  Wizard: I have trained for years to become a neurosurgeon.  Apprentice: I appreciate the work of neurosurgeon they save lives   Wizard: Functional neurosurgery has aided the mentally ill, and continues to improve the lives of those suffering with various mental disorders.  Apprentice: My girlfriend had epilepsy, a brain disease she survived because of people like you. That was why I wrote my earlier comment the way i did"
219,Nickelback,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The band achieved commercial success with the release of their 2000 album ""The State"" and then they achieved mainstream success with the release of their 2001 album ""Silver Side Up"". Conversation:  Wizard: I met my wife at a Nickleback concert. Do you know that Canadian rock band?  Apprentice: I've heard of them, but I didn't know they were Canadian. That's cool.  Wizard: They formed in 1995 in Hanna,Alberta, Canada.  Apprentice: How many members do they have?"
220,Skiing,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Early skiers used one long pole or spear. Conversation:  Apprentice: im planning a Skiing trip next winter  Wizard: Do you participate in competitive skiing?  Apprentice: no, i just do it for fun. anything i should know  in advanced for my Skiing trip?"
221,Bodybuilding supplement,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Sandow was born in Königsberg, Prussia (now Kaliningrad, Russia) on April 2, 1867 to a German father and a Russian mother. Conversation:  Apprentice: i wanna start drinking protein shakes  Wizard: Herbal protein shakes are the best if you want to increase strength and stamina. Athletes have been doing this since ancient times.  Apprentice: cool, tell me more plz"
222,Bowling,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Three consecutive strikes is a known as a ""turkey"". Conversation:  Apprentice: I really enjoy bowling. Its a great way to have fun and to get your mind off things. Do you like bowling?  Wizard: I do bowl for a leisure activity, it is fun to roll the ball toward the target.   Apprentice: Yes I agree. Its so peaceful to me also. Whats your favorite thing about bowling?"
223,Bowling,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Three consecutive strikes is a known as a ""turkey"". Conversation:  Wizard: Do you like bowling? I love throwing the ball at the targets.  Apprentice: I love bowling, I own my own bowling ball.  Wizard: Cool, do you hit the pins with this bowling ball?  Apprentice: Yes I do it is hard though because there's ten."
224,Hunting,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: However, excessive hunting has also heavily contributed to the endangerment, extirpation and extinction of many animals. Conversation:  Wizard: do you like hunting? killing or trapping animals ?  Apprentice: I did go hunting a couple of times. It was really fun.  Wizard: people usually hunt for food, recreation or to remove predators that are dangerous to humans  Apprentice: Yeah and a lot of people do it for sport alone. Some people would rather just not clean up the animal afterwards "
225,John Grisham,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Eight of his other novels have also been adapted into films: ""The Chamber"", ""The Client"", ""A Painted House"", ""The Pelican Brief"", ""The Rainmaker"", ""The Runaway Jury"", ""Skipping Christmas"", and ""A Time to Kill"". Conversation:  Apprentice: Did you know John Grisham is a popular author?  Wizard: Yes, his first bestseller ""The Firm"" sold more than 7 million copies!  Apprentice: I didnt know that didn't they make a movie about that book?"
226,Green,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is evoked by light which has a dominant wavelength of roughly 495570 nm. Conversation:  Apprentice: the land is green ,natures best  Wizard: Green is well known as the color of Ireland and Gaelic culture. It is also my favorite color!  Apprentice: why are plants green?"
227,Bowling,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is one of the major forms of throwing sports. Conversation:  Apprentice: I just started bowling recreationally but am not very good.  Do you bowl?  Wizard: I do bowl occassionally.  You really want to try to get as many pins knocked down as possible.  Apprentice: Yeah.  How do you get the ball to curve like the pros?"
228,Auto racing,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: There are now numerous different categories, each with different rules and regulations. Conversation:  Apprentice: Ive gotten into watching auto racing lately but I am just learning about it.  Wizard: car racing is a motor sport involving the racing of cars for competition  Apprentice: Are there different races in auto racing? "
229,Online shopping,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Online shopping malls are websites that enable a multi-vendor checkout system enabling retailers to sell in one portal and allow the consumer to check out with one single credit card transaction. Conversation:  Wizard: hi buddy I like online shopping. i visit favourite website and shop all the item in online  Apprentice: I do a lot of my shopping online  Wizard: Have you interetesed in black friday shopping  Apprentice: I usually don't. There's too much chaos. I will do the online sales"
