prompt,output
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The team with the most points at the end of a game wins. Conversation:  Wizard: American football has evolved in th US, it originated from the sports association f football and rugby football.  Apprentice: I love football!  When did it originate?  Wizard: Well both rugby and football have their origin in a variety of types of football played in britain in the mid 1800s, english public school games were based on those games so i would say it started to form around 1850s ish and evolved until we got what we have today.  Apprentice: Wow!  I didn't realize it had roots in the UK!  Pro football started here in America though, right?","<pad> Wizard: Yes, it started in the US.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: They have attracted a wide adult audience as well as younger readers, and are often considered cornerstones of modern young adult literature. Conversation:  Wizard: Did you read any of the Harry Potter novels. I am a fan of the movies myself.  Apprentice: i watched the movies  Wizard: I loved the actors in the movies although originally I was offended that J. K. Rowling would only use British actors.  Apprentice: oh wow I wasn't aware of that",<pad> Harry Potter and the Philosopher's Stone</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"". Conversation:  Wizard: I have trouble getting motivated at times, a reason for actions  Apprentice: Do you know why you are having trouble getting motivated? Are you suffering from any mental illness?  Wizard: No and motivation is a what causes a person to want to repeat a behavior like going to work  Apprentice: Do you know anything about the psychological reasons for motivation?","<pad> Wizard: No, I don't know. I'm not suffering from any mental illness"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy. Conversation:  Apprentice: Do you like the color green?  Wizard: You mean the color between blue and yellow, yes! Love it!  Apprentice: I also like blue due to it being the color of the sky.",<pad> Apprentice: I like blue because it is the color of the sky.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Points are primarily scored by advancing the ball into the opposing team's end zone for a touchdown or kicking the ball through the opponent's goalposts for a field goal. Conversation:  Apprentice: Do you like football?  Wizard: I like soccer which is commonly called football in Europe.  Apprentice: Sorry I meant American football",<pad> Wizard: I like soccer which is commonly called football in Europe.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy. Conversation:  Apprentice: I just finished painting my room, gren is the color! i just love it, do you like the color green?  Wizard: I like some shades of light green.  Apprentice: Im sure about it! in psychology symbolizes renewal and growth, so is a deep color!",<pad> Apprentice: I think green is a great color.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is the second largest island in the British Isles, after Great Britain. Conversation:  Apprentice: Have you ever been to Ireland  Wizard: No, I haven't been there - I understand that Ireland is an island in the North Atlantic.  Apprentice: I didn't realize that Ireland was Island","<pad> Wizard: Yes, it is. It is the second largest island in the British Isles,"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting. Conversation:  Apprentice: Be aggressive! Be Be aggressive! That's my favorite cheer!  Wizard: Haha! That is pretty cool. I think I would be good at chanting slogans, but not the intense physical activity!  Apprentice: I've been cheering for the last 5 years, the stunts are my favorite part of cheer.","<pad> Apprentice: I've been cheering for the last 5 years, the stunts are my"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Hot dog variants include the corn dog and pig in a blanket. Conversation:  Apprentice: I absolutely love hot dogs.  Wizard: Mmmm, me too! Do you like them grilled or steamed?  Apprentice: I loved them grilled. They are best for a picnic.",<pad> Apprentice: I love hot dogs. They are best for a picnic.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy. Conversation:  Apprentice: my favorite color is green  Wizard: That is the color between blue and yellow.  Apprentice: if I recall it is a secondary color since it is made up of two primary colors",<pad> Wizard: That's true. It is a color between blue and yellow.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The standard dialect moved from the Kansai region to the Edo (modern Tokyo) region in the Early Modern Japanese period (early 17th century–mid-19th century). Conversation:  Wizard: Lately I have been teaching myself Japanese words as preparation for moving to Tokyo.  Apprentice: Why are you moving there?  Wizard: Mostly for a new job that will require me to know the basics of grammatical function of words.   Apprentice: That is interesting, what is your job title?",<pad> Wizard: I am a teacher.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The maximum score is 300, which is achieved by getting 12 strikes in a row. Conversation:  Wizard: I like bowling as a leisure activity.  Apprentice: Me too. I play in a recreational league with my friends.  Wizard: That's really cool. I know some people play it as a sport as well, I personally like it just in my free time.  Apprentice: I'm not good enough to play competitively. I also play with my kids. They need the bumpers.",<pad> Apprentice: I like bowling too. I play in a recreational league with my friends.
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Some schools make this a two-stage process. Conversation:  Wizard: I like to became a famous actress. So I interested to join in drama school  Apprentice: Its q great question your part,You want to be the likes of.......actress  In the Hollywood  Wizard: Yes but not in hollywood . need to be part in dramsa. .If drama school is part of degree   Apprentice: Can one really be famous with just drama ? ","<pad> Wizard: Yes, but not in Hollywood. I want to be part in d"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Such reasons can involve things which are directly internal to the relationship, or external factors, which may or may not be within their direct control. Conversation:  Apprentice: My boyfriend just broke up with me for like the tenth time.  Wizard: He may come back for comfort later on down the line.  Apprentice: I don't know if I trust him anymore, but I still love him.",<pad> Apprentice: My boyfriend broke up with me for like the tenth time. Wizard: He
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience. Conversation:  Apprentice: Elvis is such an icon in the music world.  Wizard: I just love him too!! He was born in January just like me  Apprentice: He resembles confidence in many ways",<pad> Elvis Presley was born in January.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: According to Maehr and Meyer, ""Motivation is a word that is part of the popular culture as few other psychological concepts are."" Conversation:  Apprentice: I have a hard time being motivated and focused some times.  Wizard: It's an important skill to have. It is the reason we have desires, needs, and actions.  Apprentice: Yeah that makes sense. Do you know of any stragies to help me focus?",<pad> Apprentice: I'm going to try to do some yoga.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage. Conversation:  Wizard: My favorite color is green because its right between blue and yellow. What is yours?  Apprentice: I have a wide variety of colors, but find blue to be my favorite.  Wizard: Blue is good too. There is so much green to love because of chlorophyll in nature.   Apprentice: Well blue is the color of the sky and water and I feel like it is a calming color.  Green is great also!",<pad> Wizard: I like green because it is right between blue and yellow. What is your favorite color
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy. Conversation:  Apprentice: Out of all the colors, green is the only one my views changes back and forth to love and hate. What's your favorite color?  Wizard: My favorite color in pink. On the visible spectrum, the color green lays between blue an dyellow  Apprentice: Yellow is for sure a color I dislike, maybe that's why my view on green changes so much.  You know anything else on it?",<pad> Wizard: Green is the color of life. It is the color of life.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Together they struggle to survive and adapt in a post-apocalyptic world filled with walkers and opposing groups of survivors, who are often more dangerous than the walkers themselves. Conversation:  Apprentice: Hey. Are you caught up on the walking dead?  Wizard: Hey there! I am! A lot of it actually takes place around Atlanta Georgia?  Apprentice: Ya I actually used to only live like an hour from the set",<pad> Apprentice: Hey. Are you caught up on the walking dead? Wizard: Hey there! I
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The maximum score is 300, which is achieved by getting 12 strikes in a row. Conversation:  Wizard: Hey do you like bowling? The maximum score is 300, and I have bowled a 300 point game twice in my life!  Apprentice: i just recently went bowling on a date, and I think my score was closer to 80!! Are there any effective strategies to get better at bowling?  Wizard: It certainly depends on the type of bowling game you are playing. Some varieties include target bowling, ten-pin, nine-pin and duckpin. I think the best advice is to keep your arm straight.  Apprentice: Oh my, I didn't realize there were so many different types of bowling games. What is the most popular bowling game?","<pad> Wizard: Well, I think the most popular bowling game is ten-pin.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Good form led to an international call-up in 1998, after which he signed for the Serie A defending champions Juventus. Conversation:  Wizard: Gotten into football lately, and I've quickly become a fan of Thierry Henry, the retired French professional footballer. Watching highlights of him playing for Monaco, Juventus, Barcelona, even the New York Red Bulls... exciting.  Apprentice: Oh really? I've recently gotten into American football, but I think you're talking about soccer? Is that right?  Wizard: Yeah, association football. Sorry, I should have specified! He's someone that started way back in 1994. He had good form all the way throughout, and that led him to get an international call-up in 1998, leading him to get signed for the Serie A defending champions, Juventus.  Apprentice: Oh okay! I couldn't recall the name association football! Thierry Henry sounds like quite an amazing player! Is he still playing?",<pad> Thierry Henry is a retired French professional footballer. He started playing in 1994. He
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Although modern skiing has evolved from beginnings in Scandinavia, it may have been practiced more than 100 centuries ago in what is now China, according to an interpretation of ancient paintings. Conversation:  Apprentice: I love skiing how about you?  Wizard: I really like it too. It has been around long time. Almost five millennia.  Apprentice: Wow I had no idea people had been skiing for so long!",<pad> Apprentice: I love skiing. I had no idea people had been skiing for so long!</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage. Conversation:  Wizard: Do you like the color green? It's my favorite color, specifically teal. Green is any color existing between blue and yellow.  Apprentice: I like green pretty well, but I guess depending on the shade of green it is. It's the color of money, so that's always good :)  Wizard: It's also the color of the mineral emerald, due to the chromium.  Apprentice: Oh, yes, an emerald is beautiful! That color is certainly a lovely shade. I also like a pretty mint green, do you?","<pad> Wizard: Yes, I do. I like green pretty well. It's the color of"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The team with the most points at the end of a game wins. Conversation:  Wizard: American football is a very popular sport in north america  Apprentice: I don;t know much about it just that its on tv college games and NFL, can you tell me about it?  Wizard: The offense takes the ball and tries to run it across the field to the other goal/side  Apprentice: Ok in order to score what else ?",<pad> Wizard: The offense takes the ball and tries to run it across the field to the other
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The Organic Act of 1916 created the National Park Service ""to conserve the scenery and the natural and historic objects and wildlife therein, and to provide for the enjoyment of the same in such manner and by such means as will leave them unimpaired for the enjoyment of future generations."" Conversation:  Apprentice: I really love the outdoors.  What national parks in the US have you been to?  Wizard: I've never been to any, unfortunately but I heard Big Bend State park is really awesome.  Apprentice: I lived in Texas for a few years and unfortunately never went.  The scenery looked breathtaking though. ","<pad> Apprentice: I've never been to any national parks in the US, unfortunately. Wizard:"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Games have historically inspired seminal research in the fields of probability, artificial intelligence, economics, and optimization theory. Conversation:  Wizard: Hello, I am interested in game design, wbu?  Apprentice: I really like playing video games. My fave right now is Skyrim.  Wizard: Nice, and on which platform do you play it? PlayStation, XBOX, or Windows?  Apprentice: PC Nation man. But I grew up playing PlayStation and Nintendo. ",<pad> Apprentice: PC Nation man. But I grew up playing PlayStation and Nintendo.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Practitioners of accounting are known as accountants. Conversation:  Apprentice: Hi! My last few temp jobs were in accounting, but that's not what I went to school for.  Wizard: Have you worked in any particular field of accounting, such as tax accounting?  Apprentice: Not really. Mostly general accounting but I have worked in the legal industry doing that.",<pad> Apprentice: I've worked in the legal industry doing that.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: By contrast, a pullover does not open in front but must be ""pulled over"" the head to be worn. Conversation:  Apprentice: Do you happen to have a cardigan? They make great sweaters!  Wizard: ""No but thanks for noticing!""  Sorry, every time I hear the word cardigan I think of Dumb & Dumber.  The greatest movie all time.  Apprentice: I'm a fan of Jim Carey and his work. He has a lot of great work and is incredibly funny!","<pad> Wizard: No, but thanks for noticing!</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: An online shop evokes the physical analogy of buying products or services at a regular ""bricks-and-mortar"" retailer or shopping center; the process is called business-to-consumer (B2C) online shopping. Conversation:  Apprentice: I like to do online shopping  Wizard: Me too, it is so much easier buying goods and services from a seller on the internet rather than leaving my house!  Apprentice: Very true its just way better if you dont have the time. Can you tell me more about online shopping?",<pad> Apprentice: I like to do online shopping. Wizard: Me too. It is so much easier
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: According to Nielsen SoundScan, the entire catalog of the group has sold 6.5 million units in the United States and Canada . Conversation:  Apprentice: Have you ever heard of Insane Clown Posse?  Wizard: of course, It is an American hip hop duo composed of Joseph Bruce and Shaggy    Apprentice: How familiar are you with the horrorcore genre they perform?",<pad> Apprentice: I've heard of them. They're a hip hop duo composed
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience. Conversation:  Apprentice: My mother loves Elvis Presley. He was called the King of Rock and Roll and very popular in the 20th century.  Wizard: Oh yes, Elvis is a legend!!! He was born January 8, 1935!!  Apprentice: He was born in Tupelo, Miss, where I am from, but then moved to Memphis, Tenn. where he began his career singing","<pad> Elvis Presley was born in Tupelo, Mississippi, but moved to Memphis, Tennessee,"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide. Conversation:  Apprentice: I love fantasy fiction, but I never finished the Harry Potter series.  Wizard: Yes. They are fantasy novels written by British author J. K. Rowling, if reading is too hard you can watch the movie.  Apprentice: I know they made movies, but I wonder if the movies are as good as the books.  The books didn't keep me interested, so I worry about the movies!",<pad> Harry Potter and the Philosopher's Stone</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Later, bodybuilder Earle Liederman advocated the use of ""beef juice"" or ""beef extract"" (basically, consomme) as a way to enhance muscle recovery. Conversation:  Apprentice: I drink protein Powder with nothing but water  Wizard: I know athletes were told to consume a lot of meat and wine in ancient greece  Apprentice: a whey shake with water and one scoop of whey protein powder provides just 110 calories.",<pad> Apprentice: I drink protein powder with nothing but water. Wizard: I know athletes were told to
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Following the success of ""Nevermind"", Nirvana was labeled ""the flagship band"" of Generation X, and Cobain hailed as ""the spokesman of a generation"". Conversation:  Wizard: Kurt Cobain was one of the best singers to live, sad what happened to the guy.  Apprentice: Yeah. My brother has a Fender Jag Stang. I think Kurk Cobain was involved in the design of that guitar.  Wizard: Thats awesome, Nirvana has kind of had an influence on the entire music industry since they released their first album ""Bleach"".  Apprentice: I was just a little bit too young at the time to really experience Nirvana has it happened. Were you old enough at the time?","<pad> Wizard: Yeah, I was. I was just a little bit too young at the time"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The emotional ""pain"" of a broken heart is believed to be part of the survival instinct. Conversation:  Apprentice: My ex girlfriend broke my heart. What are some ways to deal with heartbreak?  Wizard: Best medicine is to just take up a hobby and get involved. But the concept of heartbreak dates back at least 3,000 years.  Apprentice: What are some symptoms of heartbreak?","<pad> The emotional ""pain"" of a broken heart is believed to be part of the survival"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Following the success of ""Nevermind"", Nirvana was labeled ""the flagship band"" of Generation X, and Cobain hailed as ""the spokesman of a generation"". Conversation:  Wizard: I love grunge music, Kurt Cobain is my favorite artist. I wonder when he started.  Apprentice: When he started making music, you mean?  Wizard: YEah, in other words, when Nirvana was formed ?  Apprentice: When was Nirvana formed?","<pad> Wizard: Yes, in 1991.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Cheerleading originated in the United States, and remains predominantly in America, with an estimated 1.5 million participants in all-star cheerleading. Conversation:  Wizard: cheerleading is an activity wherein participants cheer for a team.  Apprentice: Is it a sport?  Wizard: I mean it ranges from chanting slogans to intense physical activity, it sounds like it could be to me.  Apprentice: Are there any competitions where different teams cheer like in the movie bring it on or is that made up?","<pad> Wizard: Yes, there are competitions where different teams cheer.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Bicycles were introduced in the 19th century and now number approximately one billion worldwide. Conversation:  Apprentice: I love riding my bike in the mountains near my house.  Wizard: Mountain biking off road, especially on rough terrain, can be so exhilarating.  Apprentice: Yes it is! It really makes me feel alive. I love speeding down hills and seeing how fast I can go!",<pad> Apprentice: I love riding my bike in the mountains near my house. Wizard: Mountain biking off
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: When an online store is set up to enable businesses to buy from another businesses, the process is called business-to-business (B2B) online shopping. Conversation:  Wizard: im really getting into this new thing all the kids do.. its called online shopping or electornic commerce which allows consumers to directly buy goods or services from a seller over the internet using a web browser  Apprentice: Where do you shop online? I mostly use Ebay and Amazon.  Wizard: i usually use the checkout line at walmart or target.  but consuers f ind a product of interest by visitng the interweb of the retailer directly nowadays.  Apprentice: I havent been to either store in a long time. Im not really a huge fan of Walmart.",<pad> Wizard: I usually use the checkout line at walmart or target. But consuers find 
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Much of the series takes place in and around Atlanta, Georgia, and later Alexandria, Virginia. Conversation:  Wizard: I like the post-apocalyptic horror show called the Walking Dead. How about you?  Apprentice: I used to like it but it got bad in my opinion  Wizard: Yeah, I can understand that. Do you like Fear the Walking Dead? It's a companion prequel to the Walking Dead.  Apprentice: Oh ive heard of it but never watched it",<pad> Wizard: I like the post-apocalyptic horror show called the Walking Dead
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Although modern skiing has evolved from beginnings in Scandinavia, it may have been practiced more than 100 centuries ago in what is now China, according to an interpretation of ancient paintings. Conversation:  Apprentice: Skiing is one of my most favorite things to do. Have you ever been skiing  Wizard: Yes especially the fact that is can be a mean of transport  Apprentice: Oh really? What are the main things transported by skiing?",<pad> Skiing is one of my most favorite things to do. Have you ever been skiing?</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Practitioners of accounting are known as accountants. Conversation:  Apprentice: Hi, I am a professional in the field of accounting.  How may I assist you today?  Wizard: That is very handy, so the term for you would be an accountant, people practice accounting, do you have a lot of job in that field?  Apprentice: That's right!  I am called an accountant.  There are a lot of jobs in this field.  You can work in various fields, whether it's auditing, tax, bookkeeping, consulting and industry jobs.","<pad> Apprentice: Yes, I work in the field of accounting.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Late Middle Japanese (1185–1600) included changes in features that brought it closer to the modern language, and the first appearance of European loanwords. Conversation:  Apprentice: I started learning Japanese a couple of years ago  Wizard: There does not seem to be a lot of history on Japanese language or even a date it first appeared.  Apprentice: I know I homeschooled my daughter and she was very interested, we learned to speak some together",<pad> Apprentice: I started learning Japanese a couple of years ago. Wizard: There does not seem
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide. Conversation:  Apprentice:  I don't like harry potter  Wizard: why dont you like harry porter, its a series of fantasy novels written by British author J. K. Rowling.  Apprentice: It glorifies witch craft ",<pad> Harry Potter is a series of fantasy novels written by British author J. K. Rowling
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It may be machine- or hand-knitted. Conversation:  Wizard: Ive never actually owned a cardigan sweater though they look comfy  Apprentice: I have several they are comfortable, practical and warm. Very efficient clothing  Wizard: Cardigan sweaters are simple knitted garments which is why they are so nice  Apprentice: What kind of material are they made from?",<pad> Cardigan sweaters are simple knitted garments which is why they are nice. They are
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide. Conversation:  Apprentice: I like reading the Harry Potter books, even though they're so long they're enjoyable to read.  Wizard: Harry Potter is a series of fantasy novels I'm also a big harry potter fan!  Apprentice: What's your favorite book? I like the Goblet of Fire",<pad> Harry Potter is a series of fantasy novels.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is owned by Facebook. Conversation:  Apprentice: I feel like Instagram is such a huge trend right now, but I've never used it! Are you familiar with it?  Wizard: Yes, I have an Instagram account and use it everyday. The only bad thing is it is owned by Facebook.   Apprentice: Oh, I didn't realize that. What do you like about Instagram?",<pad> Apprentice: I've never used it.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Stocks can be categorised in various ways. Conversation:  Wizard: I do a bit of investing in the stock market. A place where quity market or share market is the aggregation of buyers and sellers  Apprentice: That's great it would be good to know as much as I can about the stock market  Wizard: Well its a good investment if you know what your doing. Stock exchanges list shares of common equity as well as other security  Apprentice: When did humans start trading equities on the stock market?","<pad> Wizard: Well, it started in the 16th century.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage. Conversation:  Wizard: Green by far is my favorite color. What about yours?  Apprentice: Me too I love all shades of green but my fav is emerald green  Wizard: Emerald green is beautiful. I also like it just because money necessities are green like plants and money, so it's a great color.   Apprentice: True green is found all over nature.  Are you a plant enthusiast as well","<pad> Wizard: Yes, I am. I love all shades of green.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Hunting can also be a means of pest control. Conversation:  Wizard: I love the hunting game.More like a hunter  Apprentice: What is the hunting game?  Tell me more about it.  Wizard: Its the practice of killing or trapping animals, or pursuing or tracking them  Apprentice: That sounds vicious.  Why would one practice killing or trapping animals?","<pad> Wizard: Its the practice of killing or trapping animals, or pursuing or tracking them"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: An online shop evokes the physical analogy of buying products or services at a regular ""bricks-and-mortar"" retailer or shopping center; the process is called business-to-consumer (B2C) online shopping. Conversation:  Apprentice: Online shopping in the modern day is insane, we take it for granted every day  Wizard: I know!  I love buying everything I want from Amazon over the Internet using a web browser  Apprentice: Absolutely, a lot of times I can find it cheaper on amazon too, especially with prime.","<pad> Apprentice: I love shopping online. I can find it cheaper on Amazon too, especially with prime"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Much of the series takes place in and around Atlanta, Georgia, and later Alexandria, Virginia. Conversation:  Wizard: Have you watched the movie,walk-in dead? An .apocalyptic horror   Apprentice: No, I have only seen some previews. Looks scary.  Wizard: The shows lead character was player by  the show's lead character, sheriff's deputy Rick Grimes, who awakens from a coma discovering a world overrun by zombies,  Apprentice: What happens when he awakes? What does he do?",<pad> The sheriff's deputy awakens from a coma to find a
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience. Conversation:  Apprentice: Hello good evening! how is everything going on? i have trouble sleeping so i listen to Elvis Presley! i know weird Elvis makes me sleep  Wizard: Nothing weird. Listening to the king of rock and roll, would definitely help in coping with every bit of life events  Apprentice: Yes! so you are a fan? my mom met elvis in Las Vegas in 1954, thats why i love him so much!","<pad> Elvis Presley's music career began in 1954, recording at Sun Records with producer Sam Phillip"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting. Conversation:  Apprentice: So how do you feel about cheerleading?  Wizard: I find it fascinating to learn that cheerleading began in the United States rather than in Germany.  Apprentice: Did it? That's really cool!",<pad> Wizard: I think it's really cool.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In modern times, it is mainly a competitive sport and recreational activity. Conversation:  Apprentice: I have tried archery in a PE class back in middle school I think, and it was fun but I still dont know much of anything about it. Do you?  Wizard: it's such an awesome sport or skill of using a bow to propel arrows  Apprentice: Yes it does take skill. I did not know what I was doing and ended up burning or scratching the inside of my arm with the tail of the arrow! Im not sure if its something you can develop with practice or not","<pad> Wizard: Yes, it is a skill. I have tried archery in a PE"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: An online shop evokes the physical analogy of buying products or services at a regular ""bricks-and-mortar"" retailer or shopping center; the process is called business-to-consumer (B2C) online shopping. Conversation:  Apprentice: Do you shop online for clothes?  Wizard: Yes quite often.  It allows me to directly buy goods from a seller over the internet without having to leave the comfort of my home.  What about you?  Apprentice: Yeah same ",<pad> Wizard: I shop online for clothes quite often. It allows me to directly buy goods from 
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Lauren said that her goal was to ""merge fashion, art and pop candy culture"". Conversation:  Apprentice: I'm curious to know about Dylan's Candy Bar  Wizard: Dylan's candy bar is a chain of boutique candy shops  Apprentice: Who founded it?","<pad> Lauren said that her goal was to ""merge fashion, art and pop candy culture"".</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The album has sold approximately 30 million copies worldwide, including 18 million units in the United States, making it the best-selling debut album of all time in the US, as well as the eleventh best-selling album in the United States. Conversation:  Wizard: Just listening to some Guns & Roses GNR the American rock band  Apprentice: wow i like it very much  Wizard: Yeah they formed in 1985 In Los Angeles California  Apprentice: oh!1what type of music you love????",<pad> Wizard is listening to Guns & Roses GNR the American rock band. Apprentice like
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Points are primarily scored by advancing the ball into the opposing team's end zone for a touchdown or kicking the ball through the opponent's goalposts for a field goal. Conversation:  Apprentice: I played a bit of American Football in college, how about you?  Wizard: I love football! i have never played but find it interesting how its mix between rugby and football  Apprentice: Which do you think is the more rougher, rugby or American football?",<pad> American Football</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Following the success of ""Nevermind"", Nirvana was labeled ""the flagship band"" of Generation X, and Cobain hailed as ""the spokesman of a generation"". Conversation:  Wizard: I didn't know Kurt Cobain was born in Washington that's pretty cool  Apprentice: I didn't know that either.  Didn't he shoot himself with a shotgun?  Wizard: Yes the shotgun was found across his body and there was a suicide note too  Apprentice: So sad.  He was a really good artist.  What was his reason for committing suicide?","<pad> Kurt Cobain committed suicide after the success of his album ""Nevermind"".</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is owned by Facebook. Conversation:  Apprentice: What is your favorite thing to post on Instagram?  Wizard: Usually I just photos or videos.  Do you know who owns Instagram?  Apprentice: No I don't, please tell me.",<pad> Apprentice: I don't know.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The team with the most points at the end of a game wins. Conversation:  Wizard: I enjoy watching American football, also known as football in the United States and Canada or gridiron.  Apprentice: Me too! What team is your favorite?  Wizard: I like the Dallas cowboys, who's yours? I like watching their offence work as they try to control the football while taking it down field.  Apprentice: I don't have any favorite, I just watch as a neutral. I see, do you find it very interesting?","<pad> Wizard: Yes, I find it very interesting.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Cheerleading originated in the United States, and remains predominantly in America, with an estimated 1.5 million participants in all-star cheerleading. Conversation:  Wizard: I used to be a cheerleader. Activities include chanting slogans and intense physical activity.  Apprentice: Oh, cheer-leading is something I do not know a whole lot about, what is something interesting about it   Wizard: It is not just to motivate the team and entertain the audience. They usually compete too.  Apprentice: Really, that is awesome, Are there any popular cheerleading teams or squads?","<pad> Wizard: There are many, but the most popular are the Los Angeles Dodgers and the"
