episode_idx,topic,round,message,response,knowledge,gold
183,Green,3,"Yes, it is. I like all shades of green, but lean towards a green apple green.",Lesnar's next defense was against undefeated top contender Cain Vela,Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage.,It is evoked in light which has a dominate wavelength that measure of 495570 NM.hat 
184,List of national parks of the United States,3,Canada is fantastic! I wish I lived there instead of the U.S.. I wish we did a better job of protecting our parks.,The team finished 21 games back in seventh place (71-83 (.461)) in,"Yellowstone National Park is a national park located in the U.S. states of Wyoming, Montana, and Idaho.","Have you ever visited a National Park? I have visited Banff in Canada, the first National Park"
185,Dog training,4,either for hunting or helping around the household?,The Hellfire Club,A dog learns from interactions it has with its environment.,"Well that brings up an interesting point, our cute little house dogs did not arrive till about the 1950s due to suburbanization where we wanted to train dogs to be good household pets."
186,Nickelback,4,Any songs that I may have heard?,He had no problems.,"The band achieved commercial success with the release of their 2000 album ""The State"" and then they achieved mainstream success with the release of their 2001 album ""Silver Side Up"".",Their most famous song was a top Billboard it is called How You Remind Me a good classic rock song.
187,American football,4,"Is that so? I would never have guessed, what with the whole forward passing thing.",The roots of American football can be traced back to rugby.,no_passages_used,"both games have a lot of similarities, basically running or kicking a ball over a goal line but you are right, the forward pass is unique"
188,Online shopping,3,I love to shop on amazon. So you shop online a lot too? Where do you shop? ,"Jello Biafra was accused of distributing ""harmful material to minors",The Amazon Kindle is a series of e-readers designed and marketed by Amazon.,Amazon as well. I also shop a lot online at Old Navy and Gap. They have great sales.
189,Hot dog,3,I had a friend who used to do inspections in hot dog manufacturing facilities and he said to never eat one.  What are they made of anyway?,No,A follower of either the diet or the philosophy is known as a vegan ( ).,They basically grind all this meat and fat and bones and all kind of animal pieces. Bleck. They started becoming popular because of baseball. They are actually a Class 1A carcinogen-cancer causer.
190,Elvis Presley,3,I really love Elvis also,Webern,"With a series of successful network television appearances and chart-topping records, he became the leading figure of the newly popular sound of rock and roll.","HE is so great, he career started in 1954. "
191,Bee,3,"Oh wow, do you know what species is the most dangerous? ",The most dangerous is the bumblebee.,"Bees are adapted for feeding on nectar and pollen, the former primarily as an energy source and the latter primarily for protein and other nutrients.",No I don't know and not all bees sting. There are honeybees. bumblebees that live in colonies
192,Winter,3,That is very informative! Another thing about snowflakes are that the pattern that they are formed in is always different from the next.,The story of All About Eve originated in an anecdote related to Mary,"Human clothing, such as a hat or scarf, may be included.",The differences in temperature and humidity are reaponsible for creating all the different patterns.
193,Goldendoodle,4,so they only been around that long or they have been around longer and was finally made official in 1992?,"A single, ""Non-Dairy Creamer,"" was released in November 2008 and",The original purpose of the cross was to develop guide dogs suitable for visually impaired individuals with allergies.,"Sorry my mistake, the Goldendoodle was first bred by Monica Dickens in 1969."
194,American football,3,How many American football teams are there?,No.,Points are primarily scored by advancing the ball into the opposing team's end zone for a touchdown or kicking the ball through the opponent's goalposts for a field goal.,"Too many to count honestly. In each game, though, there is two teams of eleven players."
195,Skiing,4,"I have heard of that, i think they use it as a transport method in Alaska and Siberia ",No,Early skiers used one long pole or spear.,"I bet they do! The word Skiing actually comes from Old Norse word Skio which means ""Split piece of wood or firewood"""
196,Harry Potter,3,"Yes I got it bought for a present.  I am only on the first one, but I am loving it so far.  Which one do you think is the most popular?","Raven quit her contract with Atlantic Records due to ""artistic differences"".","The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",Harry Potter is a series of fantasy novels 
197,Green,3,"i can see why, the color green is so prevalent in nature",The second season was not good.,Emerald is a cyclosilicate.,"minerals are green often as well too, like emerald "
198,Motivation,3,do you have any suggestions on how to stay motivated?,The Riddler is the antagonist in this story.,"Activated ""seeking"" behavior, such as locomotor activity, is influenced by dopaminergic drugs, and microdialysis experiments reveal that dopamine is released during the anticipation of a reward.",Set a personal goal like losing weight.
199,Cheerleading,3,"I used to do cheerleading in middle school, have you ever participated in the sport?","No, they have never done it.","It can be performed to motivate sports teams, entertain the audience, or for competition.","yes, cheerleading do more of physical activity."
200,Cheerleading,3,I was a football cheerleader. What was the most interesting part about cheerleading to you?,Hattie died of breast cancer at age 57.,"Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting.",That part where we chant slogans and engage in other  intense physical activity.
201,Neurosurgery,4,I always found it amazing how the body works. And they're still learning new things all the time.,Hedges was accused of plagiarism in 2003 by University of Texas classics professor Thomas Palaim,This was despite general recognition of frequent and serious side effects.,"Very true, and luckily in most countries, a neurosurgeon has to have at least 7 more years of training, even after medical school. So, at least it gives one some confidence in their ability."
202,Green,4,I heard once that green eyes were some sort of mutation too.,The single was unsuccessfull.,"By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy.","yea well in subtractive color systems, it is used in painting and color printing, it is created by a combination of yellow and blue"
203,Winter,3,"That is interesitng, how cold does it end up getting there?",It is definitely our coldest season of the year.,"In many regions, winter is associated with snow and freezing temperatures.","If we get a cold front, we might see temperatures in the 40s, but usually it's in the 60s. Winter doesn't occur in the tropical zones of the Earth, and we are very close to that zone."
204,Bowling,3,"Haha yea it can be difficult, its actually quite frustrating when you start doing bad. I wonder how long bowling has been a sport?",No.,"Since its inception in 1965, this event has brought together champions from all over world so that players from small countries with few bowling facilities can meet the greats of the sport, all on equal terms and all in a spirit of friendly competition.",i think the bowling world cup fi
205,Broken heart,3,Why haven't had a girl friend? Even gays have someone they have feelings for.,"Mike Stock was born in Margate, Kent, England in 1951 and grew up in Swan","The concept is believed to be universal, with many cultures using the same words to describe both physical pain and the feelings associated with relationship loss.",I don't know I'm a really weird guy to be honest. I feel emotional pain and can understand a broken heart can be severe.
206,Instagram,3,Instagram,No,"Users can connect their Instagram account to other social media profiles, enabling them to share photos to those profiles as well.","Before, Instagram used to only be on iOS, but now it can be used on Android devices as well as Windows. So really you have many ways to access it."
207,Hunting,4,I know i am totally on the same page i cannot believe it is allowed to have animals as trophies,No,Hunting can also be a means of pest control.,There is a distinction between lawful hunting and poaching. Poaching is illegal.
208,Harry Potter,3,"Yes I know that much, but how does he even become one? Is he born that way?",Jayewardene's reforms,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.","Correct! I think he is born that way, and then later goes to Hogwarts to study Wizadry and better develop his powers."
209,Elvis Presley,3,"I absolutely agree! He had so many great songs. I really liked ""Love Me Tender."" Do you have a favorite song?",Not So Tough Now,"Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old.",Can't help falling in love is my favorite song from Elvis.
210,Hunting,4,Yes I know I was just saying... So when you go hunting what do you hunt for? Deer? ,Viola's father sought a job assembling bombs at the Ford Motor Company.,"It is also not considered hunting to pursue animals without intent to kill them, as in wildlife photography, birdwatching, or scientific research activities which involve tranquilizing or tagging of animals or birds.",I will hunting fish is my hobby. Caputure for food of fish is called fishing
211,Cardigan (sweater),3,"I own three, I think cardigans are perfect for the fall",No,"By contrast, a pullover does not open in front but must be ""pulled over"" the head to be worn.","They are! not too hot and not too cold, commonly they have buttons, a cardigan that is tied is referred to as a robe. "
212,Hunting,4,"I had a coworker that also hunts for deer and stores the meat in the winter. I do not criticize anyone that does it, its just not for me. How frequently do you hunt?","No, I do not hunt. It is not for me. I am an animal lover and",Hunting can also be a means of pest control.,I hunt yearly and illegal trapping or hunting is called poaching.
213,The Walking Dead (TV series),4,ik think glenn was mine,"The mills began spinning in early 1786, at which point both Dempster and Ark","""The Walking Dead"" premiered in the United States on October 31, 2010, exclusively shown on cable television channel AMC and internationally on Fox International Channels.","I am sorry to hear that, I don't think things will end well from him due to opposing groups of survivors."
214,Archery,3,I would think I would get in trouble shooting at people. Perhaps for self defense is OK.,"Vai sent both a notated transcription of Frank Zappa's ""The Black","In modern times, it is mainly a competitive sport and recreational activity.","Well if you consider that historically it's used for hunting and combat, people have been shot with arrows - I mean look at Hawkeye!  He's the ultimate archery master!"
215,Blog,4,That makes sense. I know many people subscribe to the RSS feed so they don't even have to visit the site.,No.,"In the 2010s, ""multi-author blogs"" (MABs) have developed, with posts written by large numbers of authors and sometimes professionally edited.",Until 2009 they were usually made by individuals or small groups rarely
216,Elvis Presley,3,"He is starting to be but I don't know much, why is he the King of Rock and Roll?",He is a great singer and songwriter.,"Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.","He was a singer who skyrocketed rockabilly music into the charts worldwide, combining his singing with his band's talent."
217,Green,4,"That is a great color. Where do you like to see green the most? On cars, clothing?",No Doubt and Sublime,"It is a neutral or achromatic color, meaning literally that it is a color ""without color.""",I love green on clothing. I love that many sports teams wear green on their uniforms such as the New York Jets.
218,Neurosurgery,4,"My girlfriend had epilepsy, a brain disease she survived because of people like you. That was why I wrote my earlier comment the way i did",He was in the running for head coaching roles at a number of larger universities and professional sports,"These fellowships include pediatric neurosurgery, trauma/neurocritical care, functional and stereotactic surgery, surgical neuro-oncology, radiosurgery, neurovascular surgery, skull-base surgery, peripheral nerve and spine surgery.","Was she diagnosed as a child?  It is much easier to diagnose children, since the symptoms begin occurring early in life."
219,Nickelback,4,How many members do they have?,No,"The band achieved commercial success with the release of their 2000 album ""The State"" and then they achieved mainstream success with the release of their 2001 album ""Silver Side Up"".","They have four members. They are Chad Kroeger, Ryan Peake, Mike Kroeger and Daniel Adair."
220,Skiing,3,"no, i just do it for fun. anything i should know  in advanced for my Skiing trip?","He made a series of sweeping changes, doing much to rid the club of its previous",Early skiers used one long pole or spear.,Just make sure to bring two ski poles.
221,Bodybuilding supplement,3,"cool, tell me more plz",Washington's introduction to surveying began at an early age through school exercises that taught him the,"Sandow was born in Königsberg, Prussia (now Kaliningrad, Russia) on April 2, 1867 to a German father and a Russian mother.",Eugen Sandow was the first modern bodybuilder in the west that started to suggest the use of dietary supplements to grow your muscles faster.
222,Bowling,3,Yes I agree. Its so peaceful to me also. Whats your favorite thing about bowling?,No,"Three consecutive strikes is a known as a ""turkey"".",I love when I knock down all the pins on the first try and I get a strike. 
223,Bowling,4,Yes I do it is hard though because there's ten.,The two had an affair that resulted in the birth of their son David.,"Three consecutive strikes is a known as a ""turkey"".",Yea do you play on a wood structure or syntheic.
224,Hunting,4,Yeah and a lot of people do it for sport alone. Some people would rather just not clean up the animal afterwards ,"Carl Gustav Jung was born in Kesswil, in the Swiss canton of Thurgau","However, excessive hunting has also heavily contributed to the endangerment, extirpation and extinction of many animals.","i just hate when people are poaching, which is illegal killing or trapping animals"
225,John Grisham,3,I didnt know that didn't they make a movie about that book?,The Firm,"Eight of his other novels have also been adapted into films: ""The Chamber"", ""The Client"", ""A Painted House"", ""The Pelican Brief"", ""The Rainmaker"", ""The Runaway Jury"", ""Skipping Christmas"", and ""A Time to Kill"".","Yes it was adapted into a film in 1993, starring Tom Cruise. He's had several books adapted into films"
226,Green,3,why are plants green?,The color green is well known as the color of Ireland and Gaelic culture. It is,It is evoked by light which has a dominant wavelength of roughly 495570 nm.,"Chlorophyll is the reason why plants are green, it is also the chemical that converts sunlight into chemical energy."
227,Bowling,3,Yeah.  How do you get the ball to curve like the pros?,McFarlane joined writer David Michelinie on Marvel's The Amazing Spider-,It is one of the major forms of throwing sports.,Curving the ball is hard.  It requires you put a spin on the ball by turning your wrist.
228,Auto racing,3,Are there different races in auto racing? ,Bryzgalov played two seasons with Lada Togliatti before joining the,"There are now numerous different categories, each with different rules and regulations.",Yes and specialist racing started around the 1930's
229,Online shopping,4,I usually don't. There's too much chaos. I will do the online sales,The album was released on Paper Bag Records in October 2002 and won the Alternative Album of the Year,Online shopping malls are websites that enable a multi-vendor checkout system enabling retailers to sell in one portal and allow the consumer to check out with one single credit card transaction.,ok buddy. I like online shopping in amzon what is your favourite
230,Accounting,3,What is the hardest thing about it,Carson described himself as a Conservative Democrat.,"Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.",It's a lot of data. Financial accounting focuses on all aspects of a company's financial info. It deals with preparation of financial statements and analysis. 
231,Medical billing,3,"That's true but the prices seem outrageous!  One night in the hospital is almost $10,000! ","The Wizard: Well, sometimes you gotta pay your medical bills! It's not easy","However, in the next election of Donald Trump as president, he campaigned to repeal and replace Obamacare and came up with a seven-point plan for healthcare reform.","yep, which is where there is such a debate about healthcare reform in the US. people want more medical coverage for less"
232,Instagram,4,"I see, and how many users does it have nowadays? Must be in millions. ","Aaron Sorkin got the inspiration to write his next play, a courtroom drama called","A version for Android devices was released two years later, in April 2012, followed by a feature-limited website interface in November 2012, and apps for Windows 10 Mobile and Windows 10 in April 2016 and October 2016 respectively.","It should be in the millions, initially it was  a free mobile app exclusively for the iOS operating system."
233,Broken heart,4,Is it different from heartburn? ,"The Beatles expanded their sound on the album, with influences drawn from African-American soul music,","The concept is cross-cultural, often cited with reference to a desired or lost lover, and dates back at least 3,000 years.",Yes. LOL. it is different. The emotional pain of broken heart is also believed to be linked o a persons survival instinct.
234,Skiing,4,Oh ok what do they call it when you ski on one ski?,Wizard: Water skiing.,"Although modern skiing has evolved from beginnings in Scandinavia, it may have been practiced more than 100 centuries ago in what is now China, according to an interpretation of ancient paintings.","I'm not sure if I ever heard of skiing on only one ski, but I do know there is Asymmetrical skis that were used until 19th century Sweden."
235,Goldendoodle,3,goldendoodle? sounds like what you find in a babies diaper :),"The name, which alters ""poodle"" to ""doodle"" by analogy to","The name, which alters ""poodle"" to ""doodle"" by analogy to ""Labradoodle"", was coined in 1992.",hah well its actually a cross-breed where they breed a golden retriever with a poddle
236,Accounting,3,i like handling financial affairs and i think i would be good at helping others ,He made a guest appearance on the NBC sitcom Will & Grace. His role,The modern field was established by the Italian mathematician Luca Pacioli in 1494.,"Do you want to go into financial accounting, management accounting, tax accounting, or cost accounting?"
237,Ireland,3,Yes! Is there many mountains there? ,"Cronkite's third studio album, Cosmogramma, was released in the UK","The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",The geography is mostly low lying mountains which surround a central plain and many rivers extending inland.
238,The Walking Dead (TV series),3,"They fil it in Semoia, GA. That is correct.",The Walking Dead is a television series.,"Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series.","Cool! It has been on since 2010. Still currently on, but I really think it should have ended a while ago."
239,Goldendoodle,4,"Ah, I see. Are they typically friendly? Would you recommend a Goldendoodle to someone who's not particularly good with dogs?",No,"The Goldendoodle is a cross-breed dog, which is obtained by breeding a Golden Retriever with a Poodle.","the Goldendoodle is a super friendly dog breed, Goldens are the nicest dogs ever"
240,Skiing,3,"Cool, what are some of the different kinds?",The biathlon is a winter sport that combines cross-country skiing and rifle shooting.,The biathlon is a winter sport that combines cross-country skiing and rifle shooting.,Well slolum sking as well as the biathalon are two skiing events that I really like!
241,Nickelback,3,"They make solid music, but their marketing has led them to be laughed at. Not quite sure how it happened, but a lot of people poke fun at them.",No,"The band achieved commercial success with the release of their 2000 album ""The State"" and then they achieved mainstream success with the release of their 2001 album ""Silver Side Up"".","Dad, I really liked their song ""How you remind me"" that was listed as best selling song of the decade, what about you?"
242,Bodybuilding supplement,3,Does it smells and taste good. Maybe I could give it a trial. I am trying to gain muscles here,Vieira moved to ABC initially as one of six regular correspondents for the news-magazine,Sustainable sanitation is a sanitation system designed to meet certain criteria and to work well over the long-term.,I'm not sure? I do know it is put through a vigorous sanitation process.  It has to meet certain purity and functional aspects to be considered food grade.
243,Medical billing,4,Do you have to memorize a whole bunch of medical codes or do you have handy reference sheets?,Hazare and the youth group decided to take up the issue of alcoholism to drive,"Those seeking advancement may be cross-trained in medical coding or transcription or auditing, and may earn a bachelor's or graduate degree in medical information science and technology.",Most of it's handled by the computer now. Medical billers are encouraged but not required to become certified. Most that do know a lot of the codes.
244,Green,4,"I see, is green associated with anything",The Great Adventure,It is evoked by light which has a dominant wavelength of roughly 495570 nm.,In the Middle Ages green was associated with merchants and bankers
245,Green,3,What kind of animals do that?,Al Davis joined the Los Angeles Chargers of the startup American Football League (AFL),"Frogs are widely distributed, ranging from the tropics to subarctic regions, but the greatest concentration of species diversity is in tropical rainforests.","Lizards, frogs, snakes and all kinds of insects. "
246,Green,4,That is very cool. I did not know.,"The Birth of a Nation, even more than other films in the public domain, has been",It also has a long historical tradition as the color of Ireland and of Gaelic culture.,In the middle ages green was the color of merchants and bankers while red was only worn my royalty.
247,Ireland,4,Sounds great! have you been?,"Ronnie Kray shot and killed George Cornell, a member of the Richardsons (a","The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",Yes I went there last year and got to see relatively low-lying mountains surrounding a central plain
248,American football,3,Which teams are your favorite?,The Colts,"Considered to be one of the greatest quarterbacks of all time due to his numerous career achievements, he spent 14 seasons with the Colts and was a member of the Denver Broncos in his last four seasons.",I like the Colts because I'm originally from Indiana. 
249,Kendrick Lamar,4,"interesting, what else can you tell me about him?","He began to gain recognition in 2010, after his first retail release, ""Overly Dedicated"".","He began to gain recognition in 2010, after his first retail release, ""Overly Dedicated"".","He was raised in Compton, California, Lamar embarked on his musical career as a teenager under the stage name K-Dot"
250,Dylan's Candy Bar,3,"I know, the candy is so tastey.",Dylan's Candy Bar is a chain of boutique candy shops and candy supplier currently located in,"Dylan's Candy Bar is a chain of boutique candy shops and candy supplier currently located in New York City; East Hampton, New York; Los Angeles, Chicago and Miami Beach, as well as in wholesale venues around the globe.",Yes! And beautiful too. I almost feel bad eating them - like little works of art.
251,Elvis Presley,3,so you think he is dead?,Holland Smith,"Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old.","Sure. I believe the ""King of Rock and Roll"" is dead. He is a huge cultural icon of the 20th century."
252,Auto racing,3,Don't Italian companies make better auto racing parts?,The event is held over Memorial Day weekend in late May.,The event is held over Memorial Day weekend in late May.,"They might, and they also tend to build better roads, like the A1 motorway in romania, which will connect Bucharest with the Banat and Crisana regions."
253,Cheerleading,3,Cheerleading,The band originated as a group called Soft White Underbelly (a name the band would,"Cheerleading originated in the United States, and remains predominantly in America, with an estimated 1.5 million participants in all-star cheerleading.",Cheerleading includes activities such as chanting mottoes and very intense physical activity.
254,Cheerleading,3,No it is quite hard and takes a lot of practice. I would stay after school a lot to work on it.,Hilltop Hoods Initiative was established in 2005,no_passages_used,"I totally agree. Did you ever participate in competitions? If so, what was it like?"
255,Elvis Presley,4,What was elvis's most popular songs?,"Elvis Presley was born in Tupelo, Mississippi, and then to Memphis.","With a series of successful network television appearances and chart-topping records, he became the leading figure of the newly popular sound of rock and roll.",Heartbreak Hotel was a number one hit in the USA
256,Bowling,3,"I like bowling every once in awhile, but I'm not very good. Do you know your best score for a round of bowling?","Sheehan's death was ruled an accidental drug overdose, with cocaine, Val","Three consecutive strikes is a known as a ""turkey"".",If you get 12 strikes you can get a 300. Do you think you can ever get that?
257,Goldendoodle,3,"oh cool, i'm so curious to know more about this dog. my friend got one but i don't think i've ever seen one",Joy Division have influenced bands as diverse as contemporaries U2 and the Cure,Poodles are considered to be hypoallergenic.,The golden doodle was first bred by monica dickens in 1969
258,Accounting,3,"Thats insane to me, so long ago",The May Festival,"Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.",Sometimes accounting is known as financial reporting.
259,Harry Potter,3,I saw a few of the films and enjoyed them. Did Rowling write all the books?,The song was previously only available on the iTunes deluxe version of the soundtrack to Transformers:,", the books have sold more than 500 million copies worldwide, making them the best-selling book series in history, and have been translated into seventy-three languages.",Yes she wrote all of them - and they have sold more than 400 million copies!
260,Dylan's Candy Bar,3,No never been there. Never tried this candy bar either.,The Red Sox challenged for the AL pennant in 1948-49 (finishing in,"It is owned by Dylan Lauren, daughter of fashion designer Ralph Lauren.","Not a candy bar its a store with locations in Hamptons, Los Angeles, Chicago "
261,The Walking Dead (TV series),3,Yeah my favorite character is Daryl. I heard he will take over as leader in the next season.,The Walking Dead,"Andrew Lincoln plays the show's lead character, sheriff's deputy Rick Grimes, who awakens from a coma discovering a world overrun by zombies, commonly referred to as ""walkers"".",i liked glenn.... it was developed by Frank Darabont for AMC that is based on the comic book series of the same name by Robert Kirkman.
262,The Walking Dead (TV series),4,His character is really interesting. I didn't like him at first but I grew to understand him and respect the intricacies of his character.,"Russell Means and Robert Pictou-Branscombe, a maternal cousin","Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series.","Yes Grimes' character suffered a lot, especially when he lost his wife during childbirth. He is the glue that holds the show together."
263,Skiing,4,"It looks easy when I see people skiing on TV but, knowing me I would be the first to fall right of the bat! Have you actually skied before?",Yes.,"Skiing can be a means of transport, a recreational activity or a competitive winter sport in which the participant uses skis to glide on snow.",Yea wven with a long history of five millennia it still seems scary and dangerous to ski
264,Genghis Khan,4,I have never been to Asia.  Although I think it would be an amazing place to visit.,"As early as 1850, he began writing Leaves of Grass, ","By the end of his life, the Mongol Empire occupied a substantial portion of Central Asia and China.","So after creating the empire, he began massive invasions that conquered a large part of Eurasia."
265,Green,4,Yes. Do you like the color green? Or do you have a different favorite color?,"Heisman was an innovator and ""master strategist"". He developed one of the first shifts","In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility.",I do like green but pink is my favorite.  do you like the emerald which is obviously green in color?
266,Chihuahua (dog),4,It's amazing how humans domesticated and bred dogs down to create the dogs we have today. Early dogs were bread to ease everyday task. ,The Wizard: I'm sure you know that wolf hunting is the practice of hunting gray,"Wolf hunting is the practice of hunting gray wolves ""(Canis lupus)"" or other species of wolves.","Yeah, while the origins of dogs are not really clear, it is clear humans had a role in that process, which amazes me, as we have created so many different and varying breeds of dogs"
267,Skiing,3,"I love it, especially in the winter.",No,"It comes from the Old Norse word ""skíð"" which means ""split piece of wood or firewood"".","It's not just for recreeation, it is also done for competition and for transporting activities."
268,Bowling,4,Are you supposed to hit them all at once? That would be quite difficult to do.,Grace Hopper retired from the Naval Reserve at the end of 1966. She was a commander,"While professional ten-pin bowling tournaments are held in numerous countries, the sport is commonly played as a hobby by millions of people around the world.","Yes, you want to hit all the pins down, when you do this, it is called a strike. "
269,John Grisham,3,Tell me about some of his thrillers,No.,He practiced criminal law for about a decade and served in the House of Representatives in Mississippi from January 1984 to September 1990.,"His very first  novel, ""A Time to Kill"" was published in June of 1989, 4 years after he started writing it."
270,Hunting,4,"It is hard to do it without one, that is for sure, try to use a stick one day!",McGinnity purchased the Newark Indians of the Class-A Eastern League (EL,"However, excessive hunting has also heavily contributed to the endangerment, extirpation and extinction of many animals.",yea thats true but some people also hunt as a means of pest control
271,Blog,4,Fun! Do you write in it every day? It is about health food or just cooking or nutrition? ,"Hatch caused an overnight controversy on June 17, 2003 by proposing that copyright owners should be",The emergence and growth of blogs in the late 1990s coincided with the advent of web publishing tools that facilitated the posting of content by non-technical users who did not have much experience with HTML or computer programming.,"Yes, it sometimes gets exhausting, so i'm thinking about starting a multi-author blog. That is where the content is written by multiple authors. It's mainly reviews of food I have tried."
272,Accounting,4," The Panama Papers caused major scandal worldwide, didnt it?",The Panama Papers are 11.5 million leaked documents that contained financial and attorney–client information,"The documents, some dating back to the 1970s, were created by, and taken from, Panamanian law firm and corporate service provider Mossack Fonseca, and were leaked in 2015 by an anonymous source.",Yes they did. The documents contain personal financial information about wealthy individuals and public officials that had previously been kept private
273,Hot dog,4,LOL! What other quick meals do you like? For example grilled cheese with chips?,No.,"""Grilled Cheesus"" is the third episode of the second season of the American television series ""Glee"", and the twenty-fifth episode overall.",i love buter on my grilled cheese!
274,Accounting,3,"Yes, there are many tax firms in the United States. Accountants take on the task of the measurement, disclosure or provision of assurance about financial information that helps others make financial decisions.",Lennon met Cynthia Powell (1939-2015) in 1957 when they were fellow students,no_passages_used,Modern Accounting field was established by the Italian mathematician Luca Pacioli in 1494.
275,American football,4,Sounds interesting. How many players are on the offense?,They attempt to take the ball to the touchdown but running or throwing it.,"During a play, each team should have no more than 11 players on the field, and each of them has specific tasks assigned for that specific play.","Similar to a soccer team, 11 players. They have to go atleast ten yards from where the ball starts to get a first down."
276,Green,3,Makes sense since both those colors make green.,No,Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage.,The largest contributor to green in nature is chlorophyll.
277,Genghis Khan,4,I don't know much about Genghis Khan. I didn't know he had the largest empire in history! What was he like?,No,Before Genghis Khan died he assigned Ögedei Khan as his successor.,Well he was a tough guy but a dreamer he came to power by uniting many of the nomadic tribes in northeast asia!
278,Elvis Presley,4,"yep the King of Rock, You know some of his movies were cheesy but I do enjoy watching them","Nicklaus won only twice on the PGA Tour during this period, the Colon and",no_passages_used,"I don't think I've ever seen one.  I love how Forrest Gump inspires Elvis to make his signature move, though."
279,American football,4,"That's my favorite part of watching the Super Bowl actually. That, and the food.",He recorded this song for the tribute album Common Thread: The Songs of the Eagles (release,"On 20 July 1969, an estimated 530 million people watched the live global broadcast of the first ever humans walk on the surface of the moon (this constituted around 14% of total population of the world at the time), despite the fact that the first moonwalk took place in the middle of the night in Europe (at 02:56 in Ireland, Portugal and the United Kingdom and 03:56 in France, Germany, Italy, the Netherlands and Spain) and it was not broadcast in the Eastern Bloc except Socialist Republic of Romania and Polish People's Republic.",Yeah in 2015 Nielsen estimated 114.4 million viewers watched it just in the United States and thats not including the rest of the world!
280,American football,4,"Wow!  I didn't realize it had roots in the UK!  Pro football started here in America though, right?","Garth Brooks, who had criticized music stores selling used CDs since it led to","College football is American football played by teams of student athletes fielded by American universities, colleges, and military academies, or Canadian football played by teams of student athletes fielded by Canadian universities.","Well the first match of american football was played november 1869 between two college teams under rules of the association of football, so i can say america has been pretty serious about football for a while but i am not sure about pro football starting here.Canda has a professional football team as well."
281,Harry Potter,4,oh wow I wasn't aware of that,The band announced on their website that guitarist Jani Liimatainen had been asked to,"Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.",Oh yes!  It was a big deal at the time that she would only agree to British Actors and not American ones
282,Motivation,4,Do you know anything about the psychological reasons for motivation?,No.,"The ""wanting behavior"" associated with a rewarding stimulus can be increased by microinjections of dopamine and dopaminergic drugs in the dorsorostral nucleus accumbens and posterior ventral palladium.",Well only that a motive is what makes me develop the inclination to work
283,Green,3,I also like blue due to it being the color of the sky.,"Miles Davis recorded several albums worth of material with Parker at this time, including Question: Did","Several minerals have a green color, including the emerald, which is colored green by its chromium content.",I still prefer green. It's the color of nature. Lots of animals have adapted to their green environments.
284,American football,3,Sorry I meant American football,No,no_passages_used,Football and Rugby share origins but not are too similar when played.
285,Green,3,"Im sure about it! in psychology symbolizes renewal and growth, so is a deep color!",The fourth edition of Password (called Super Password) (1984-1989) and Ta,Pink is a pale red color that is named after a flower of the same name.,Painting goes back to pre-historic people. They used to paint cave walls.
286,Ireland,3,I didn't realize that Ireland was Island,"No, I didn't realize that Ireland was Island","The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",It is indeed an island!  And it is the third-largest island in Europe!
287,Cheerleading,3,"I've been cheering for the last 5 years, the stunts are my favorite part of cheer.",David Davis was Shadow Secretary of State for the Home Department at the time of the 2005 Conservative leadership,"Cheer Athletics, located in Plano, TX (near Dallas, TX), Austin, TX, Frisco, TX and Charlotte, NC and Columbus, OH is one of the largest all-star cheerleading program in the United States, with over thousands of athletes competing on 80+ teams.",Have you been in any cheer competitions or do you normally cheer for sports teams?
288,Hot dog,3,I loved them grilled. They are best for a picnic.,"The film received some hostile responses in Mainland China, including its banning by the People'",Hot dog variants include the corn dog and pig in a blanket.,Everything tastes better when grilled :) I love my hot dogs with mustard and onions
