,episode_idx,topic,round,message,response,knowledge,gold,Q2
277,277,Genghis Khan,4,I don't know much about Genghis Khan. I didn't know he had the largest empire in history! What was he like?,"Louis Jordan was born on July 8, 1908, in Brinkley, Arkansas, where his",Before Genghis Khan died he assigned Ögedei Khan as his successor.,Well he was a tough guy but a dreamer he came to power by uniting many of the nomadic tribes in northeast asia!,0.0
278,278,Elvis Presley,4,"yep the King of Rock, You know some of his movies were cheesy but I do enjoy watching them",The modern English noun Greek (Old English Grecas or Crecas) is ,no_passages_used,"I don't think I've ever seen one.  I love how Forrest Gump inspires Elvis to make his signature move, though.",0.0
280,280,American football,4,"Wow!  I didn't realize it had roots in the UK!  Pro football started here in America though, right?",Sid Caesar's television career began with an appearance on Milton Berle's Tex,"College football is American football played by teams of student athletes fielded by American universities, colleges, and military academies, or Canadian football played by teams of student athletes fielded by Canadian universities.","Well the first match of american football was played november 1869 between two college teams under rules of the association of football, so i can say america has been pretty serious about football for a while but i am not sure about pro football starting here.Canda has a professional football team as well.",0.0
285,285,Green,3,"Im sure about it! in psychology symbolizes renewal and growth, so is a deep color!",Muddy Waters was recording with one of the most acclaimed blues groups in history,Pink is a pale red color that is named after a flower of the same name.,Painting goes back to pre-historic people. They used to paint cave walls.,0.0
288,288,Hot dog,3,I loved them grilled. They are best for a picnic.,"McCartney first used drugs in the Beatles' Hamburg days, when they often used Prel",Hot dog variants include the corn dog and pig in a blanket.,Everything tastes better when grilled :) I love my hot dogs with mustard and onions,0.0
289,289,Green,3,if I recall it is a secondary color since it is made up of two primary colors,Anthony played and started in 80 games during the 2005-06 season. He averaged 26.5,"Green is common in nature, especially in plants.","Yes, I also like green cause many creatures have adapted to their environments by turning green themselves.",0.0
294,294,Elvis Presley,3,He resembles confidence in many ways,"Nathan Christopher Charles Summers is the son of Scott Summers (aka Cyclops),","Accompanied by guitarist Scotty Moore and bassist Bill Black, Presley was a pioneer of rockabilly, an uptempo, backbeat-driven fusion of country music and rhythm and blues.",Indeed.  He is definitely regarded as one of the most significant cultural icons of the 20th century.  Sure thats why we call him the king!,0.0
296,296,Green,4,Well blue is the color of the sky and water and I feel like it is a calming color.  Green is great also!,The Native Americans involved in the deerskin trade and white settlers,"In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility.",Yes this is true! I also like that green is the color of Ireland because I'm Irish. ,0.0
300,300,Thierry Henry,4,Oh okay! I couldn't recall the name association football! Thierry Henry sounds like quite an amazing player! Is he still playing?,"Thierry Henry is a retired French professional footballer. He played for Monaco, Juventus,","Under long-time mentor and coach Arsène Wenger, Henry became a prolific striker and Arsenal's all-time leading scorer with 228 goals in all competitions.","No.. in fact, he's a French association football coach now! And he was--in both 2003 and 2004, he as the runner-up for FIFA World Player of the Year, so that gives you an idea of his skill. Also won two league titles and three FA Cups. Partly why I like him is I'm part French, and he represented us well at the international level, and is our leading goalscorer, too.",0.3333333333333333
301,301,Skiing,3,Wow I had no idea people had been skiing for so long!,Cohan appeared in 1930 in a revival of his tribute to vaudeville and his,"The word ""ski"" is one of a handful of words Norway has exported to the international community.","It's a means of transport, a recreational activity and a competitive sport in the winter",0.0
303,303,American football,4,Ok in order to score what else ?,The name was changed because it was a musical.,"American football, referred to as football in the United States and Canada, and also known as gridiron football or simply gridiron, is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end.",Well in American football the opposing sports teams try to get the ball from each other and tackle other players,0.0
307,307,Cardigan (sweater),3,I'm a fan of Jim Carey and his work. He has a lot of great work and is incredibly funny!,Young Talent Time,"From the mid-17th century to the 19th century, the uniform of most British soldiers (apart from artillery, rifles and light cavalry) included a madder red coat or coatee.","Yea he is one of the greats.  But about these cardigans, they are modelled after the knitted wool waistcoat that the Brits wore during the war.",0.0
310,310,Elvis Presley,3,"He was born in Tupelo, Miss, where I am from, but then moved to Memphis, Tenn. where he began his career singing",Leno had a contract for five years for the show. NBC repor Question,"Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.","Yes he moved with his family when he was 13 years old, and his career began there at Sun Records with Sam Phillips!",0.0
317,317,Cycling,3,Yes it is! It really makes me feel alive. I love speeding down hills and seeing how fast I can go!,"Chiranjeevi started Praja Rajyam, a political party in the state","Mountain biking in British Columbia is a popular sport as well as a thriving manufacturing, service/retail and tourism industry.","Have you done freeriding? It's similar to mountain biking, but you mostly go downhill and work on jumping and tricks and such.",0.0
319,319,The Walking Dead (TV series),4,Oh ive heard of it but never watched it,"Spirit remains silent at its location, called ""Troy,"" on the west side of Home Plate",Weird Tales is an American fantasy and horror fiction pulp magazine founded by J. C. Henneberger and J. M. Lansinger in March 1923.,"I like some of it, more so the earlier seasons. It's set in LA, and then later on in Mexico. It follows a family that can sometimes be dysfunctional.",0.0
321,321,Accounting,3,"That's right!  I am called an accountant.  There are a lot of jobs in this field.  You can work in various fields, whether it's auditing, tax, bookkeeping, consulting and industry jobs.",McCullough was educated at Linden Avenue Grade School and Shady Side Academy,"In the United States, a tax is imposed on income by the federal government, most state governments, and many local governments.",So you can say that you are in one of the most ancients jobs! accounting can be traced to ancient civilizations!,0.0
326,326,Instagram,3,"Oh, I didn't realize that. What do you like about Instagram?",Lebanese Maronites are known to be specifically linked to the root of Le,"Instagram is a mobile, desktop, and Internet-based photo-sharing application and service that allows users to share pictures and videos either publicly, or privately to pre-approved followers.",I like that you can easily share photos without a clunky interface. It is basically a photo and video service. ,0.0
328,328,Green,4,True green is found all over nature.  Are you a plant enthusiast as well,"Culkin headed back into motion pictures in 2003 with Party Monster, in which he played",A botanist or plant scientist is a scientist who specialises in this field.,I actually am! I own many myself. I am always fascinated by the fact plants green because of chlorophyll and photosynthesis,0.0
329,329,Hunting,4,That sounds vicious.  Why would one practice killing or trapping animals?,"The ""cock rock songs"" would be released on an album called Fuckin' A in","Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species.","Hunting wildlife or feral animals is most commonly done by humans for food, recreation.",0.0
333,333,Cheerleading,3,Did it? That's really cool!,Beveridge briefly served as Member of Parliament (MP) for the constituency of Berwick,Cheerleading began during the late 18th century with the rebellion of male students.,"Yes, and apparently it's very popular with over a million people doing it.",0.0
334,334,Discovery Channel,3,did they change it to something else?,Eileen J. Garrett made contact with the spirit of Herbert Carmichael,", Discovery Channel is the third most widely distributed cable channel in the United States, behind TBS and The Weather Channel; it is available in 409 million households worldwide, through its U.S. flagship channel and its various owned or licensed television channels internationally.",It is now simply known as Discovery sometimes,0.0
338,338,Guns N' Roses,4,oh!1what type of music you love????,"Nguyen independently released her first single ""I Love U"" through iTunes on February","Guns N' Roses' debut album, ""Appetite for Destruction"" (1987), reached number one on the ""Billboard"" 200 a year after its release, on the strength of ""Sweet Child o' Mine"", the band's only single to reach number one on the ""Billboard"" Hot 100.",Guns and Roses sold more than a hundred million albums world wide,0.0
339,339,American football,3,"Which do you think is the more rougher, rugby or American football?","Paul married her in a Roman Catholic ceremony on February 26, 1952.","The NFL on CBS is the branding used for broadcasts of National Football League (NFL) games that are produced by CBS Sports, the sports division of the CBS television network in the United States.","I definetely think rugby is rougher, especially because even if a player is tackled tot he ground they can pick up the ball and keep the play going, in american football the play ends",0.0
346,346,Broken heart,3,I guess it is an age old problem. It seems to come from being rejected by someone you wanted to be with.,The Kinks,no_passages_used,"True, I don't think humans have changed that much... We still hurt and get hurt. There is a syndrome called  'broken heart syndrome', including physical damage to the heart.",0.0
349,349,Guns N' Roses,4,I heard of their Illusion Tour,"Ruth met Helen Woodford (1897-19192) as teenagers on October 17, 1914.","Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",The tour was splendid. It was one of their longest tout,0.0
350,350,Online shopping,3,"Same, and I like that people have not tried on the clothes before you",Harold Adams Innis was born in 1894 on a small livestock and dairy farm near,Google Chrome is a freeware web browser developed by Google.,"Yeah, I like that you just have to have a web browser",0.0
353,353,Cycling,3,Not really getting my swell on so much as enjoying the nice weather. I predominately road bike on prairie paths. ,"Deborah Jeane Palfrey, also known as the ""D.C. Madam",They are the principal means of transportation in many parts of the world.,Your not alone I think something like one billion people current bike.,0.0
354,354,Kurt Cobain,4,"Yes, Nirvana was a good band. it still a well known band","Zubaydah ""provided significant information on two operatives, [inclu","It is the opening track and lead single from the band's second album, ""Nevermind"" (1991), released on DGC Records.","The band consisted of Kurt Cobain, krist Novoselic, and finally Dave Grohl after going through several drummers.",0.0
357,357,Hot dog,3,YUMMMM!  ,"Hunter had a 1957 hit record with the song ""Young Love,"" which was No.","This type of sausage was culturally imported from Germany and popularized in the United States, where it became a working-class street food sold at hot dog stands and carts.",I've just recently learned that corn dogs and pigs in a blanket are hot dog variants. I thought they were jump similar foods.,0.0
359,359,Kurt Cobain,4,"I didn't know she was in Sons of Anarchy.  They had a child together too, right?",Robert Fleischman was hired to bring about those changes.,"Grunge (sometimes referred to as the Seattle sound) is a subgenre of alternative rock and a subculture that emerged during the in the Pacific Northwest U.S. state of Washington, particularly in Seattle and nearby towns.",They did. Her name was Francis Bean and she was very young when he died. I believe Courtney Love was only in a couple episodes of Sons of Anarchy. Do you watch the show?,0.0
371,371,Retirement community,4,Sounds like it.  I've always thought it would be fun to live in one of those communities.  Having lots of things taken care of for you.,Lennox's debut album Panda Bear was released in 1999 on Soccer,no_passages_used,"And think of all the social activities they provide as well. There is always something to do and that's a benefit for older people, so they don't end up never leaving their homes.",0.0
374,374,Bowling,4,"I am sure he did, I know a few people who have, so a pro must do it pretty often!",Earl Anthony was a famous bowler. He played for Sydney against France in the third game,"The term ""hambone"" has also been used to describe four consecutive strikes.","Yes i cant say i relate to those pros lol! Little known fact, three consecutive strikes is actually known as ""turkey."" Very silly if you ask me.",0.0
376,376,Hunting,4,What kind of animals do you like to hunt?,"Daniel Barenboim was born in 1942 in Buenos Aires, Argentina,","It is also not considered hunting to pursue animals without intent to kill them, as in wildlife photography, birdwatching, or scientific research activities which involve tranquilizing or tagging of animals or birds.","well i like fishing, catch and release, or catching for food is always nice and relaxing",0.0
380,380,Cod,3,oh cool! Do you have a favorite?,"Frege's 1892 paper, ""On Sense and Reference"" (""Uber Sinn","Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA).","I love all cod because it has a great mild flavour and a dense, flaky white flesh! ",0.0
382,382,Motivation,3,"Oh yeah. I do not find reason to do anything, I just want to be idle and do nothing ","Johnson scored 15,535 points, grabbed 4,249 rebounds and gave 5,499","Motivation is also one's direction to behavior, or what causes a person to want to repeat a behavior.",well maybe you are repeating the same behaviors and need to switch it up a bit to get you out of the rut ?,0.0
383,383,Accounting,4,"i have never heard of Luca Pacioli, so he came up with accounting?",Eric Cantona played for Leeds United in their championship-winning season.,"The terms ""accounting"" and ""financial reporting"" are often used as synonyms.","yes , and accounting has been called the language of business, meaures the results of an organization's economic acitivites and conveyes this information to a variety of users",0.0
384,384,Bodybuilding supplement,3,"Yes that too, but I believe athletes are always looking for an edge. and as long as it is legal to use it is ok.","He appeared in court on the same day and was released on $100,000 bail.",A number of herbal concoctions and tonics have been used by strong men and athletes since ancient times across cultures to try to increase their strength and stamina.,"I think there are a lot of things that are technically legal but the government doesn't regulate a lot of these things so they may not be safe, so I think it is important to do your homework. I have two sons who are college athletes, and they are discouraged from using supplements.",0.0
385,385,Music festival,3,"So, have you ever been to music festival?","Goldfrapp's third album, Supernature, was released in August 2005.","A music festival is a community event oriented towards live performances of singing and instrument playing that is often presented with a theme such as musical genre (e.g., blues, folk,  jazz, classical music), nationality, or locality of musicians, or holiday.","Nope, but I would really like to. I'm scared of getting too hot, it's outdoors so there's a chance.",0.0
387,387,Cardigan (sweater),3,What else can you tell me about them?,"The cardigan was named after James Brudenell, 7th Earl of Cardigan,","The cardigan was named after James Brudenell, 7th Earl of Cardigan, a British Army Major General who led the Charge of the Light Brigade at the Battle of Balaclava during the Crimean War.",garment has no buttons and hangs open by design,0.0
394,394,Bowling,3,"Oh no, me either! I use the bumpers even as an adult because I think it makes the game more exciting to not gutterball every move!",Black Book (2006),"A bowling alley (or bowling center) is a facility where the sport of bowling, often ten-pin bowling, takes place.",I'm very terrible at it and only play for fun. I do score points somehow though. ,0.0
395,395,The Walking Dead (TV series),3,"I'm usually not into that genre of movie or TV show, but the cliffhangers keep you hooked.","Audra McDonald has also made many television appearances, both musical and dramatic.","""The Walking Dead"" premiered in the United States on October 31, 2010, exclusively shown on cable television channel AMC and internationally on Fox International Channels.","it premiered on october 31, 2010 but i feel like it literally just premiered",0.0
397,397,Blog,3,It is a great way for someone to voice their opinions.,Parker helped the Spurs win a franchise-best 67 games in the 2015-16 season,"Until 2009, blogs were usually the work of a single individual, occasionally of a small group, and often covered a single subject or topic.","The only thing that confuses me is that they are usually displayed in reverse chronological order, so recent posts appear first. After reading blogs for awhile, I finally got used to that concept.",0.0
401,401,List of national parks of the United States,3,Which parks are the most popular parks for tourist?,"Gardestad was wrongly mentioned in the Swedish media as ""the 33-year","The park is known for its wildlife and its many geothermal features, especially Old Faithful geyser, one of its most popular features.","Well, there are a lot of popular ones.  I would say Yellowsstone is the most popular since it is the oldest!  It was established 1872.",0.0
406,406,Japanese language,4,"omg, and how did you research that?",Nedved made his league debut for Lazio on 7 September 1996 in a,"Late Middle Japanese (1185–1600) included changes in features that brought it closer to the modern language, and the first appearance of European loanwords.","im on the internet! i can find anything! also, during the heian period, chinese had considerale influence on the vocabulary and phonology of old japanese",0.0
411,411,Chihuahua (dog),3,"Yeah, I imagined they would come from Mexico. I still don't understand why they're so small, though. Did they just get bred that way somehow?",The Great Adventure,"No records of the Techichi are available prior to the 9th century, although dog pots from Colima, Mexico, buried as part of the western Mexico shaft tomb tradition which date back to 300 BC are thought to depict Techichis.","Well the earliest evidence show that they were around in 100 AD, so as far as breeding I do not know",0.0
412,412,Broken heart,4,What lead to the distress?where you jilted ?,"Wizard: I have been hurt severally from a broken relationship, broken heart a term","The concept is believed to be universal, with many cultures using the same words to describe both physical pain and the feelings associated with relationship loss.","Not really, I left, it is believed to be part of the survival instinct.",0.5
422,422,Green,3,"Haha, very true. My favorite shade would have to be forest green because it's such a rich color.","Betty Boop made her first appearance on August 9, 1930, in the cartoon Dizzy Dis",Many shades of green have been named after plants or are related to plants.,Yes forest green is lovely. There are so many varieties of green that differ in hue or tone.,0.0
425,425,Cheerleading,3,Yeah all her friends are doing it too. Hope she makes the team.,Roshan was born on 10 January 1974 in Mumbai to a Punjabi family prominent in Bollywood,"Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting.","Is the team she trying out for one that is more chanting slogans, or is it highly physically demanding?",0.0
427,427,Dylan's Candy Bar,3,Who is Dylan Lauren?,Dylan Lauren is a fashion designer.,"Lauren said that her goal was to ""merge fashion, art and pop candy culture"".",She is an american entrepreneur!,0.6666666666666666
428,428,Green,4,I like the different shades of green within the cannabis plant variety.  From the light to the dark and everything in between.,"Kanjani Eight's debut single titled ""Naniwa Iroha","Limited evidence suggests cannabis can: reduce nausea and vomiting during chemotherapy, improve appetite in people with HIV/AIDS, and reduce chronic pain and muscle spasms.","Haha, I bet that's not the only thing you like about cannabis.",0.0
430,430,Cycling,4,"Yes, it's one of my favorite promotions.","Villa was a brilliant tactician on the battle field, which translated to political support. In","Bicycles provide numerous benefits in comparison with motor vehicles, including the sustained physical exercise involved in cycling, easier parking, increased maneuverability, and access to roads, bike paths and rural trails.",Bicycles were introduced in the 19th century ,0.0
431,431,Elvis Presley,4,"Oh okay, interesting. Is it true he died on the toilet? Lol",Hester Jane Ervin Howard,"Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.","I'm really not sure about the details of his death. But on a lighter note, he had a series of successful network television appearances and chart-topping records which made he become the leading figure of the newly popular sound of rock and roll.",0.0
432,432,Elvis Presley,3,"Yes, it was before I was born, but she told me about it.","Saviola moved abroad to play for FC Barcelona in a PS15 in 2001, aged","Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old.",I have always heard of Elvis as the King of Rock! He was an icon,0.0
435,435,Broken heart,4,Oh wow people actually suffer physical damage?,"It was released on March 31, 2004.","These feelings may cause physical symptoms, such as a fast heart rate and shakiness.","Yes, the heart can have trouble doing it's job of supplying blood, oxygen, and nutrients adequately - I guess it is from the depression and anxiety that often accompanies the state of mind.",0.0
440,440,Harry Potter,4,"Chamber of Secrets is really good, and it sets a ton of groundwork for the end of the series without you even realizing it. Have you read the books?","The series has also had its share of criticism, including concern about the increasingly dark tone as the","The series has also had its share of criticism, including concern about the increasingly dark tone as the series progressed, as well as the often gruesome and graphic violence it depicts.",I read the first and second books lol. Maybe thats why I understand them more. The books have actually sold more then 500 million copies! The best selling book series ever.!,0.0
441,441,Guns N' Roses,3,I'm not really a fan either. When did they form?,"In 1885, Ludendorff was commissioned as a subaltern into the","The lineup, when first signed to Geffen Records in 1986, consisted of vocalist Axl Rose, lead guitarist Slash, rhythm guitarist Izzy Stradlin, bassist Duff McKagan, and drummer Steven Adler.","They formed in 1985, from Los Angeles!",0.0
443,443,Bee,3,Yes I know they play a very important role in our ecosystem.,Lindsey Vonn raced in both slalom and combined in,"A beehive is an enclosed structure in which some honey bee species of the subgenus ""Apis"" live and raise their young.","I actually have a grandfather who practices Beekeeping, he sells the honey from his colonies at the local fresh market!",0.0
445,445,The Walking Dead (TV series),4,"Oh wow! I know the show has zombies, but beyond that, what's the plot of the show?",Johnny moved to Burbank in 1972.,"""The Walking Dead"" premiered in the United States on October 31, 2010, exclusively shown on cable television channel AMC and internationally on Fox International Channels.","Well the main guy, Rick Grimes, wakes up in the hospital from a coma and finds out that the whole world has been overrun by zombies or ""walkers"".",0.0
446,446,Bowling,3,That sounds fun. Bowling does not sound too strenuous. ,"The album was released on September 16, 1997.","The most common types of pin bowling include ten-pin, nine-pin, candlepin, duckpin and five-pin bowling, while in target bowling, bowls, skittles, kegel, bocce, carpet bowls, pétanque, and boules, both indoor and outdoor varieties are popular.","the max score is 300, where you can achieve this by getting 12 strikes in a row",0.0
447,447,Green,3,"That's a very good point, I hate the cold weather cause its cold and colorless.","Charlie Barnet's recording of ""Cherokee"" in 1942 and ""The","It is distinct from ice pellets (American sleet), though the two are often confused.","Yeah and what is worse bout winter is all the snow, sleet, and hail. I love the rain in the summer.",0.0
449,449,Consulting firm,3,Yes it is..I am the owner of a small firm and am curious if you have positive or negative thoughts about it,"Harrison was born in Rugby, Warwickshire, in 1945 to an engineering family. His father","The phenomenon is a result of the game's extremely high viewership and wide demographics: Super Bowl games have frequently been among the United States' most watched television broadcasts, with Nielsen having estimated that Super Bowl XLIX in 2015 was seen by at least 114.4 million viewers in the United States, surpassing the previous year's Super Bowl as the highest-rated television broadcast in U.S. history.",I think Marketing has a place in a business as long as they aren't pop up ads.,0.0
451,451,American football,3,I really just like watching my local team.,Flair was disqualified from the Clash of the Champions XXXIII.,"The first match of American football was played on November 6, 1869, between two college teams, Rutgers and Princeton, under rules based on the association football rules of the time.",American football actually originated from rugby football.,0.0
454,454,Bowling,4,I have never heard that term! That,Singh was picked in India's T20I squad for the January 2016 Australia tour on the,"While professional ten-pin bowling tournaments are held in numerous countries, the sport is commonly played as a hobby by millions of people around the world.",I didn't hear it until I got one and it showed up on the screen lol. I just try to knock down as many pins as I can (of course :),0.0
457,457,Cheerleading,3,"Yes, people don't realize how physical it is.  they think it is just yelling a cheer but it is alot more than that",Sutcliffe and Len Hutton opened the Yorkshire innings in one championship match in 1934,Fitness culture is a sociocultural phenomenon which refers to the culture surrounding physical exercises.,For sure and it is an excellent source of physical fitness.,0.0
458,458,Guns N' Roses,4,Yes I have when was the band formed,"The band was formed in Los Angeles, California in 1986.","The lineup, when first signed to Geffen Records in 1986, consisted of vocalist Axl Rose, lead guitarist Slash, rhythm guitarist Izzy Stradlin, bassist Duff McKagan, and drummer Steven Adler.",They' formed in 1985 in California! Isn't that unbelievable!?,0.0
459,459,Ireland,3,That's really cool! Do you know the population in Ireland?,"Janis Lyn Joplin was born in Port Arthur, Texas, on January 19, 1943,",Thick woodlands covered the island until the Middle Ages.,in 2011 the population was 6.6 million,0.0
462,462,Skiing,4,"I live in Florida, so I would have to plan a trip around going to ski.",Secretariat's last race was against older horses in the Canadian International Stakes over,On one leg the skier wore a long straight non-arching ski for sliding and on the other a shorter ski for kicking.,"That makes sense. Not a lot of snow sports going on there! You know, the first depiction of a skier with ski poles dates all the way back to 1741?",0.0
471,471,Ireland,3,"Really? That's interesting. I know quite a few Irish people and, of course, I know of Rory McLroy, the golfer. I also quite like Guinness, so I guess I'd fit in!",Rostam Batmanglij announced his departure from the band on Twitter.,"The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.","The population of Ireland is about 6.6 million, the second most populous in Europe.",0.0
472,472,Harry Potter,4,"Of course, for me I guess I just stopped reading actual books in my spare time after I turned 12 or so. I love the movies though! In fact there's a marathon going on this weekend!","James Clark Jr was born into a farming family at Kilmany House Farm, Fif",", the books have sold more than 500 million copies worldwide, making them the best-selling book series in history, and have been translated into seventy-three languages.",That would be fun. The series had some criticism about the dark tone as well as some graphic violence it depicts.,0.0
476,476,Cycling,4,yes.that is currect.,"Weiland married Janina Castaneda on September 17, 1994; the couple","Apart from two-wheeled bicycles, ""cycling"" also includes the riding of unicycles, tricycles, quadracycles, recumbent and similar human-powered vehicles (HPVs).",Bikers and cyclists are people who  engage in cycling ,0.0
477,477,Elvis Presley,3,What would you say were his greatest hits?,"Glass describes himself as a ""classicist"", pointing","Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer, musician, and actor.","I would say his greatest hit would be his last one, where he hit the ground when he died. I do know his career started back in 1954.",0.0
480,480,American football,3,"Wow, would you believe I thought it was 10 players? That's crazy lol ","Brian Douglas Wilson was born on June 20, 1942, at Centinela Hospital in Inglewood","The offense must advance at least ten yards in four downs, or plays, and otherwise they turn over the football to the defense; if the offense succeeds in advancing ten yards or more, they are given a new set of four downs.","Yeah, the offense controls the football and attempts to advance the field by running or passing.",0.0
482,482,Green,4,I love to drink green beer on St. Patricks day.,"Keith wrote ""Courtesy of the Red, White, & Blue (The ","Often they serve as windbreaks to improve conditions for the adjacent crops, as in bocage country."," Green is such a fun color! The most green in nature comes from  chlorophyll, a chemical that allows plants to photosynthesize and convert sunlight into chemical energy.",0.0
483,483,Hot dog,3,the same,Paul Rudd starred in the 2011 comedy-drama film Our Idiot,Hot dog variants include the corn dog and pig in a blanket.,I still like hot dogs even though hot dogs are made from caribou meat in Alaska.,0.0
488,488,Music festival,4,So you like music from Cuba? Can you tell me anything else about it?,"Wentz's company, Clandestine Industries, distributes books, clothing, and","The Cuban Missile Crisis, also known as the October Crisis (), the Caribbean Crisis (), or the Missile Scare, was a 13-day (October 16–28, 1962) confrontation between the United States and the Soviet Union concerning American ballistic missile deployment in Italy and Turkey with consequent Soviet ballistic missile deployment in Cuba.",It was the richest and present regional musics from various parts of the world.,0.0
489,489,Paramedic,4,They are so important because they see patients at critical lif or death moments before a doctor.,Sheila formed a female group C.O.E.D. (Chroni,In some countries 'Paramedic' is a protected title and accountable to a professional regulatory body.,Exactly! They also make autonomous decisions on the emergency care of these patients.,0.0
492,492,Instagram,3,Do you have alot of followers or do you follow alot of people?,The Timelords,"It was created by Kevin Systrom and Mike Krieger, and launched in October 2010 as a free mobile app exclusively for the iOS operating system.",a decent amount. you know it is owned by facebook?,0.0
493,493,Green,3,I love green on clothing and accessories and to decorate.,"The capital village of ""Powhatan"" was believed to be in the present-day",Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage.,"my parents are Irish, we Irish love the color so much we adopted it as our national color",0.0
495,495,Broken heart,3,I'm trying to figure out how to move on but it's still too broken to do that yet,After a tag-team tournament in 1983,That is strategies which reduce stress.,"Talking to your friends and family can help, it isn't good to bottle up emotions.  Maybe they can help you move on.",0.0
497,497,Elvis Presley,4,I believe he got his start in music by promoting African American songs.,"Hiatt finally came into success in 1987, when he released his first big hit,","""Blue Suede Shoes"" is a rock-and-roll standard written and first recorded by Carl Perkins in 1955.","He did, with his producer Sam Philips at Sun Records they wanted to bring African American music to a wider audience",0.0
500,500,Harry Potter,3,Very good movies .  What is your favorite film from harry potter?,Povenmire worked on the show in 1993.,The following are notable teachers and staff members who do not have their own articles or who are not listed in other articles.,I liked Harry Potter and the Dealthy Hallows I saw that one first before actually watching them in order what is your favorite?,0.0
502,502,Game design,3,Yes! I enjoy making sports and strategy games. I love the way players caninteract on a sports game in a simulated environment.,"Daniel Barenboim was born in 1942 in Buenos Aires, Argentina,","Game design creates goals, rules and challenges to define a board game, card game, dice game, casino game, role-playing game, sport, video game, war game or simulation that produces desirable interactions among its participants and, possibly, spectators.","Same and Increasingly, elements and principles of game design are also applied to other interactions",0.0
504,504,Green,4,"Like most gemstones, yeah. Hard to scratch but easy to shatter.",Erich Mielke was imprisoned for ordering the shootings of East German,Those properties determine the major industrial application of diamond in cutting and polishing tools and the scientific applications in diamond knives and diamond anvil cells.,Except diamonds that have the highest hardness.  Hard to shatter thoses!,0.0
508,508,Green,3,Its very vibrant and has many different shades,The album's a success in the US,"By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy.",It's used a lot in paintings and is one of the additive primary colors,0.0
509,509,Bowling,4,Are there any names for getting more than three strikes? Is getting four strikes called anything?,Parker's life was riddled with depression and heroin addiction. This addiction caused him to,"Further strings of strikes are referred to as the number with the word ""bagger"", such as ""four-bagger"" for four consecutive strikes.","I believe some people call four strikes in a row a ""hambone"". How odd.",0.0
513,513,Skiing,4,"Wow, five millennia, that is a lot.  Why didn't you like it?",Washington's introduction to surveying began at an early age through school exercises that taught him the,"The word ""ski"" is one of a handful of words Norway has exported to the international community.","modern skiing has evolved from beginnings in Scandinavia, i have tried it there, but i like their beer and cheese more :D",0.0
514,514,Cycling,4,"Yeah it's a fun way to explore. Biking is the most fun type of exercise in my opinion, I like going fast so I don't even notice how hard I'm working lol",Dickinson went to audition for Iron Maiden at a rehearsal room in Hackney in,"Unlike a transit bus service, which has frequent stops throughout a city or town, an intercity bus service generally has a single stop at one location in or near a city, and travels long distances without stopping at all.",Same here.  I have used our local bus services where I live to try out new places since our buses have racks on the front.,0.0
515,515,Instagram,4,Yeah they have many neat features. I wonder when it was started?,"After completing 14 home-study Army Extension Courses, Reagan enlisted in the",It is owned by Facebook.,"Well, it was originally launched in 2010 for iOS devices. A few years later, it came to Android, and then the website appeared.",0.0
516,516,Green,3,"Yes to be honest I like them both however when you go into nature and you see the greens of the forests, the grass, the mountains it can be just amazing.",Holland a,"By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy.","Yes, chlorophyll in plants is an amazing substance",0.0
519,519,Ireland,3,That is good to know.    What about the population?,"Brett made his professional acting debut in rep at the Library Theatre in Manchester in 1954, and his",Just under 4.8 million live in the Republic of Ireland and just over 1.8 million live in Northern Ireland.,It was about 6.6 million in 2011. It was ranked the second most populous island in Europe.,0.0
520,520,Green,4,"Oh I see, what other colors can affect the human behavior?","Phillips auditioned in Savannah, Georgia. He sang ""Superstition"" by","Stimulants (also often referred to as psychostimulants or colloquially as uppers) is an overarching term that covers many drugs including those that increase activity of the body, drugs that are pleasurable and invigorating, or drugs that have sympathomimetic effects.",One example is that red and orange are tied to stimulants. ,0.0
