index,dialogue,knowledge,speakers,number_of_turns,word_count
456,"[' Wizard: I enjoy skiing in northern Finland and Sweden!', "" Apprentice: That sounds like fun! I don't know a whole lot about skiing. Do you?"", "" Wizard: Yeah! It's a recreational activity and a competitive winter sport for gliding on snow. Have you ever been?"", "" Apprentice: I've never done it, but I'd love to! What's the best months to go skiing?"", ' Wizard: Well modern skiing evolved from beginnings in Scandinavia, so winter originally. Have you watched it on the Olympics?', ' Apprentice: Yeah, I really like watching Shaun White!', ' Wizard: Yes! Yeah cross-country skiing was one of the first five sports in the winter olympics!', "" Apprentice: That's interesting! How many of the first five do we still have in the olympics?""]","['Skiing can be a means of transport, a recreational activity or a competitive winter sport in which the participant uses skis to glide on snow.', 'Many types of competitive skiing events are recognized by the International Olympic Committee (IOC), and the International Ski Federation (FIS).', 'Skiing has a history of almost five millennia.', 'Although modern skiing has evolved from beginnings in Scandinavia, it may have been practiced more than 100 centuries ago in what is now China, according to an interpretation of ancient paintings.', 'The word ""ski"" is one of a handful of words Norway has exported to the international community.', 'It comes from the Old Norse word ""skíð"" which means ""split piece of wood or firewood"".', 'Asymmetrical skis were used at least in northern Finland and Sweden until the late 19th century.', 'On one leg the skier wore a long straight non-arching ski for sliding and on the other a shorter ski for kicking.', 'The bottom of the short ski was either plain or covered with animal skin to aid this use, while the long ski supporting the weight of the skier was treated with animal fat in a similar manner to modern ski waxing.', 'Early skiers used one long pole or spear.', 'The first depiction of a skier with two ski poles dates to 1741.']","['Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice']",11,70520
457,"[' Apprentice: What do you think about cheerleaders?  I was a cheerleader in highschool!', "" Wizard: Yes I think it's cool and some of my male friends did it in college for the intense physical activity. . "", "" Apprentice: Yes, people don't realize how physical it is.  they think it is just yelling a cheer but it is alot more than that"", ' Wizard: For sure and it is an excellent source of physical fitness.', ' Apprentice: It is a sport and I enjoyed all the competitions we got to be involved in as well.  Those were always fun!', ' Wizard: Sounds fun! Do the competitions factor into fitness culture also?', "" Apprentice: Well you have to be physically fit in order to do any good in the competitions.  You wouldn't fare well if you weren't physically fit and ready to perform your routine in the competition"", ' Wizard: That is very true. I love watching fitness and figure competitions of all types so this interests me a lot.']","['Cheerleading is an activity wherein the participants (referred to as ""cheerleaders"") cheer for their team as a form of encouragement.', 'It can range from chanting slogans to intense physical activity.', 'It can be performed to motivate sports teams, entertain the audience, or for competition.', 'Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting.', 'Cheerleading originated in the United States, and remains predominantly in America, with an estimated 1.5 million participants in all-star cheerleading.', 'The global presentation of cheerleading was led by the 1997 broadcast of ESPN\'s International cheerleading competition, and the worldwide release of the 2000 film ""Bring It On"".', 'Due in part to this recent exposure, there are now an estimated 100,000 participants scattered around the globe in Australia, Canada, China, Colombia, Finland, France, Germany, Japan, the Netherlands, New Zealand, and the United Kingdom.', 'Cheerleading began during the late 18th century with the rebellion of male students.', 'After the American Revolutionary War, students experienced harsh treatment from teachers.', ""In response to faculty's abuse, college students violently acted out.""]","['Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",10,70681
458,"["" Wizard: Guns N' Roses is my favorite rock band! Have you heard of them? They're from Los Angeles, California."", ' Apprentice: Tell me more', "" Wizard: You've probably heard a few songs off their debut album, Appetite for Destruction. Their only number one song, Sweet Child o' Mine came from that album."", ' Apprentice: Yes I have when was the band formed', "" Wizard: They' formed in 1985 in California! Isn't that unbelievable!?"", ' Apprentice: how many people make up the band', ' Wizard: The original bandmates were Axl Rose on vocals, lead guitarist Slash, bassist Duff McKagan, rhythm guitarist Izzy Stradlin and drummer Steven Adler.', ' Apprentice: Amazing, how many albums all together did they sell?', "" Wizard: I know they've done at least four. The did Appetite for Destruction, G N' R Lies and Use Your Illusion I and II. All of their albums were huge successes! "", ' Apprentice: Thanks a lot for enlightening me about Guns and roses']","[""Guns N' Roses, often abbreviated as GNR, is an American hard rock band from Los Angeles, California, formed in 1985."", 'The lineup, when first signed to Geffen Records in 1986, consisted of vocalist Axl Rose, lead guitarist Slash, rhythm guitarist Izzy Stradlin, bassist Duff McKagan, and drummer Steven Adler.', ""Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time."", 'Guns N\' Roses\' debut album, ""Appetite for Destruction"" (1987), reached number one on the ""Billboard"" 200 a year after its release, on the strength of ""Sweet Child o\' Mine"", the band\'s only single to reach number one on the ""Billboard"" Hot 100.', 'The album has sold approximately 30 million copies worldwide, including 18 million units in the United States, making it the best-selling debut album of all time in the US, as well as the eleventh best-selling album in the United States.', 'The success of the debut was followed by the eight-song album ""G N\' R Lies"" (1988) which reached number two on the ""Billboard"" 200.', 'The twin albums ""Use Your Illusion I"" and ""Use Your Illusion II"" (1991) debuted at number two and number one on the ""Billboard"" 200 respectively and have sold a combined 35 million copies worldwide, including 14 million units in the United States.']","['Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice']",7,70833
459,"["" Apprentice: Hi! I'm such a big fan of Ireland it's my absolute favorite"", "" Wizard: It's the third largest island in Europe"", "" Apprentice: That's really cool! Do you know the population in Ireland?"", ' Wizard: in 2011 the population was 6.6 million', "" Apprentice: Wow, that's alot of people. What's something interesting about Ireland I may not know about?"", ' Wizard: It was covered in thick woodlands during the middle ages', "" Apprentice: Awesome. Is there any notable places in ireland you'd recommend visiting?"", "" Wizard: Northern Ireland is good, it's also part of England.""]","['Ireland (; ; Ulster-Scots: ) is an island in the North Atlantic.', ""It is separated from Great Britain to its east by the North Channel, the Irish Sea, and St George's Channel."", 'Ireland is the third-largest island in Europe.', 'It is the second largest island in the British Isles, after Great Britain.', 'Politically, Ireland is divided between the Republic of Ireland (officially named Ireland), which covers five-sixths of the island, and Northern Ireland, which is part of the United Kingdom, in the northeast of the island.', 'In 2011, the population of Ireland was about 6.6\xa0million, ranking it the second-most populous island in Europe after Great Britain.', 'Just under 4.8\xa0million live in the Republic of Ireland and just over 1.8\xa0million live in Northern Ireland.', ""The island's geography comprises relatively low-lying mountains surrounding a central plain, with several navigable rivers extending inland."", 'The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.', 'Thick woodlands covered the island until the Middle Ages.', 'As of 2013, the amount of land that is wooded in Ireland is about 11% of the total, compared with a European average of 35%.', 'There are twenty-six extant mammal species native to Ireland.']","['Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",12,70922
460,"[' Apprentice: My favorite color is green! It represents all things natural in this world. ', ' Wizard: Oh yes, you can see a lot of green in nature. Green is between blue and yellow on the color  spectrum.', "" Apprentice: That's true! What is your favorite color"", "" Wizard: Mine is green as well. Mostly because I'm of Irish descent and it has a long historical tradition of being our color."", ' Apprentice: Oh wow! That is very cool. Did your family recently emmigrate?', ' Wizard: Not recently. I have some pride as being an Irish American, despite only having partial ancestry from Ireland.', ' Apprentice: I can understand that. I always thought that I was 1/16 Cherokee Native American, but I took a DNA test and I was wrong!', "" Wizard: Oh wow, that's surprising! I was told by my grandfather that I may have some American Indian too, but I'm not sure about that."", ' Apprentice: Yes very surprising! My mom\'s test came back saying that she is 2% Indian (as in the country). I wonder now if that somewhere along the way my family mistook an ancestor\'s \'Indian"" heritage as Native American! Crazy!', ' Wizard: It\'s funny how Americans mix up ""Indian"" and ""Native Americans""! That misconception still lives on.']","['Green is the color between blue and yellow on the visible spectrum.', 'It is evoked by light which has a dominant wavelength of roughly 495570 nm.', 'In subtractive color systems, used in painting and color printing, it is created by a combination of yellow and blue, or yellow and cyan; in the RGB color model, used on television and computer screens, it is one of the additive primary colors, along with red and blue, which are mixed in different combinations to create all other colors.', 'By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy.', 'Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage.', 'Several minerals have a green color, including the emerald, which is colored green by its chromium content.', 'In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility.', 'For this reason, the costume of the ""Mona Lisa"" by Leonardo da Vinci and the benches in the British House of Commons are green while those in the House of Lords are red.', 'It also has a long historical tradition as the color of Ireland and of Gaelic culture.']","['Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",9,71125
461,"[' Apprentice: hello  i wear cardigans because i think it makes me look more cultured', ' Wizard: Me too, I like the more modern versions of cardigans that have no buttons and the ones that hang open, Do you have a favorite colored cardigan? ', ' Apprentice:  my favorite cardigan right now  is a beige one', ' Wizard: Thats a good color choice, I have one that was made in a machine, But I do prefer the hand-knitted ones if I can find them.', ' Apprentice: I do not have a hand made one, would like one, but they can be costly', ' Wizard: Yes I know some types of knitted cardigans that has an open front can go for thousands of dollars, Its crazy. ', ' Apprentice: i know that is crazy, once in awhile I like to go to second had shops and try to find a great deal', ' Wizard: Ive had some luck with finding a few at the local Goodwill but its a rare find indeed, It just seems people arent hand knitting them anymore sadly. ']","['A cardigan is a type of knitted garment (sweater) that has an open front.', 'Commonly cardigans have buttons: a garment that is tied is instead considered a robe.', 'A more modern version of the garment has no buttons and hangs open by design.', 'By contrast, a pullover does not open in front but must be ""pulled over"" the head to be worn.', 'It may be machine- or hand-knitted.', 'The cardigan was named after James Brudenell, 7th Earl of Cardigan, a British Army Major General who led the Charge of the Light Brigade at the Battle of Balaclava during the Crimean War.', ""The name 'Cardigan' is an anglicised variation of the Welsh placename Ceredigion."", 'It is modelled after the knitted wool waistcoat that British officers supposedly wore during the war.', ""The legend of the event and the fame that Lord Cardigan achieved after the war led to the rise of the garment's popularity."", 'The term originally referred only to a knitted sleeveless vest, but expanded to other types of garment over time.', 'Coco Chanel is credited with popularizing cardigans for women because ""she hated how tight-necked men’s sweaters messed up her hair when she pulled them over her head.""', 'The garment is mostly associated with the college culture of the Roaring Twenties and early 1930s, being also popular throughout the 1950s, the 1970s and the 1990s.']","['Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",12,71296
462,"[' Wizard: Hello! Have you even been skiing?', ' Apprentice: I have never been skiing although I would like to try someday.', ' Wizard: You and me both, I have been snowboarding quite a few times. But I now think skiing may be a bit of a better fit.', ' Apprentice: I live in Florida, so I would have to plan a trip around going to ski.', ' Wizard: That makes sense. Not a lot of snow sports going on there! You know, the first depiction of a skier with ski poles dates all the way back to 1741?', "" Apprentice: I did not know that, guess you have to get down a mountain in some way. That's better than falling down."", ' Wizard: Absolutely! For a long time the skier would wear a long straight ski on one leg for sliding, and on the other would ear a short ski for kicking and gaining momentum.', ' Apprentice: Sounds like they were skateboarding down the mountains! Sort of like snowboarding is surfing down the mountains.']","['Skiing can be a means of transport, a recreational activity or a competitive winter sport in which the participant uses skis to glide on snow.', 'Many types of competitive skiing events are recognized by the International Olympic Committee (IOC), and the International Ski Federation (FIS).', 'Skiing has a history of almost five millennia.', 'Although modern skiing has evolved from beginnings in Scandinavia, it may have been practiced more than 100 centuries ago in what is now China, according to an interpretation of ancient paintings.', 'The word ""ski"" is one of a handful of words Norway has exported to the international community.', 'It comes from the Old Norse word ""skíð"" which means ""split piece of wood or firewood"".', 'Asymmetrical skis were used at least in northern Finland and Sweden until the late 19th century.', 'On one leg the skier wore a long straight non-arching ski for sliding and on the other a shorter ski for kicking.', 'The bottom of the short ski was either plain or covered with animal skin to aid this use, while the long ski supporting the weight of the skier was treated with animal fat in a similar manner to modern ski waxing.', 'Early skiers used one long pole or spear.', 'The first depiction of a skier with two ski poles dates to 1741.']","['Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice']",11,71463
463,"[' Wizard: I love green since by far the largest contributor to green in nature is chlorophyll. Do you like green?', ' Apprentice: Yea I find it to be a calming color. I dont know why.', ' Wizard: It might be because its commonly associated with merchants and bankers!', ' Apprentice: Ah yes. That makes sense. Do you know if it is a primary color?', ' Wizard: No but it is part of the RGB color model.', ' Apprentice: I see. Do you know its wavelength? ', ' Wizard: It has a dominant wavelength of roughly 495570 nm.', ' Apprentice: Anything interesting you can tell me about the color green?']","['Green is the color between blue and yellow on the visible spectrum.', 'It is evoked by light which has a dominant wavelength of roughly 495570 nm.', 'In subtractive color systems, used in painting and color printing, it is created by a combination of yellow and blue, or yellow and cyan; in the RGB color model, used on television and computer screens, it is one of the additive primary colors, along with red and blue, which are mixed in different combinations to create all other colors.', 'By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy.', 'Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage.', 'Several minerals have a green color, including the emerald, which is colored green by its chromium content.', 'In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility.', 'For this reason, the costume of the ""Mona Lisa"" by Leonardo da Vinci and the benches in the British House of Commons are green while those in the House of Lords are red.', 'It also has a long historical tradition as the color of Ireland and of Gaelic culture.']","['Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice']",9,71564
464,"[' Apprentice: Medical bills can really destory a family financially.', ' Wizard: I know that Medical billings is a payment practice in the USA.', ' Apprentice: It is, and sometimes there is no help available to people who struggle the most. ', ' Wizard: Medical bills are not required by law to take any exams or anything like that.', ' Apprentice: What exams do you mean?', ' Wizard: They do not even have to know how to bill medically. They do not have to take the CMRS or RHIA, they could just be making up how much stuff costs.', "" Apprentice: Oh, well I'm sure there are some sorts of laws that medical billers need to follow."", ' Wizard: There is a certification school, a one week class. That is about it.', ' Apprentice: Wow, is there anyone working to require more schooling?', ' Wizard: Not really, before all billing was done on paper. Now however, a lot is done electronically which has helped at least keep track of claims and records.']","['Medical billing is a payment practice within the United States health system.', 'The process involves a healthcare provider submitting, and following up on, claims with health insurance companies in order to receive payment for services rendered; such as treatments and investigations.', 'The same process is used for most insurance companies, whether they are private companies or government sponsored programs: Medical coding reports what the diagnosis and treatment were, and prices are applied accordingly.', 'Medical billers are encouraged, but not required by law, to become certified by taking an exam such as the CMRS Exam, RHIA Exam and others.', 'Certification schools are intended to provide a theoretical grounding for students entering the medical billing field.', 'Some community colleges in the United States offer certificates, or even associate degrees, in the field.', ""Those seeking advancement may be cross-trained in medical coding or transcription or auditing, and may earn a bachelor's or graduate degree in medical information science and technology."", 'For several decades, medical billing was done almost entirely on paper.', 'However, with the advent of medical practice management software, also known as health information systems, it has become possible to efficiently manage large amounts of claims.']","['Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",9,71725
465,"[' Apprentice: I really like the color green. Always was my favorite one.', ' Wizard: It was always one of the easier colors to remember as far as mixing paints.  yellow and blue makes green.', ' Apprentice: Right. Green is the color of forests and nature. So it reminds me of that a lot.', ' Wizard: Yes many shades of green are named after plants or trees.  i have always loved the color greee', "" Apprentice: I remember mixing yellow and blue paint together in grammar school. It also symobolizes 'go' (rather than stop)"", ' Wizard: Also if you are interested in a science lesson..LOL..plants are green b/c of the chemical Chlorophyll', ' Apprentice: Interesting I remember learning that in about 8th grade. ', "" Wizard: But what about the fact that Chlorophyll is any of the several green pigments that is found in cyanobacteria and the chloroplasts of algae and plants?  That's something I just read. LOL"", "" Apprentice: That's so interesting.  I grew up surrounded by green foliage so I can relate to that, and I also used to garden, well I still do."", ' Wizard: several minerals also have a green color.  Like an emerald which I really love!']","['Green is the color between blue and yellow on the visible spectrum.', 'It is evoked by light which has a dominant wavelength of roughly 495570 nm.', 'In subtractive color systems, used in painting and color printing, it is created by a combination of yellow and blue, or yellow and cyan; in the RGB color model, used on television and computer screens, it is one of the additive primary colors, along with red and blue, which are mixed in different combinations to create all other colors.', 'By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy.', 'Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage.', 'Several minerals have a green color, including the emerald, which is colored green by its chromium content.', 'In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility.', 'For this reason, the costume of the ""Mona Lisa"" by Leonardo da Vinci and the benches in the British House of Commons are green while those in the House of Lords are red.', 'It also has a long historical tradition as the color of Ireland and of Gaelic culture.']","['Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",9,71916
466,"[' Apprentice: i think skiing is for rich people', "" Wizard: Same here, I've never tried skiing whether it was for recreation or for transport."", ' Apprentice: yeah the equipment is too expensive, even if you rent', "" Wizard: Exactly. That's why I just stick to watching competitive skiing occasionally."", "" Apprentice: that's cool do you have any favorite skiers? "", ' Wizard: Not really, but it has been around for so long, or about five millennia.', "" Apprentice: five millennia?! Wow that's old"", "" Wizard: I know, it's crazy! It has evolved drastically since it was made in Scandinavia. "", ' Apprentice: well that makes sense scaninavia is sooooo cold', "" Wizard: Yeah I really don't know if I could ever live there, it is ridiculously cold over in Scandinavia. No wonder they used skiis.""]","['Skiing can be a means of transport, a recreational activity or a competitive winter sport in which the participant uses skis to glide on snow.', 'Many types of competitive skiing events are recognized by the International Olympic Committee (IOC), and the International Ski Federation (FIS).', 'Skiing has a history of almost five millennia.', 'Although modern skiing has evolved from beginnings in Scandinavia, it may have been practiced more than 100 centuries ago in what is now China, according to an interpretation of ancient paintings.', 'The word ""ski"" is one of a handful of words Norway has exported to the international community.', 'It comes from the Old Norse word ""skíð"" which means ""split piece of wood or firewood"".', 'Asymmetrical skis were used at least in northern Finland and Sweden until the late 19th century.', 'On one leg the skier wore a long straight non-arching ski for sliding and on the other a shorter ski for kicking.', 'The bottom of the short ski was either plain or covered with animal skin to aid this use, while the long ski supporting the weight of the skier was treated with animal fat in a similar manner to modern ski waxing.', 'Early skiers used one long pole or spear.', 'The first depiction of a skier with two ski poles dates to 1741.']","['Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",11,72040
467,"[' Wizard: I love cycling, for recreation AND for transportation. I usually unicycle everywhere, do you like to bike around?', ' Apprentice: No, I dont. But, I do enjoy skateboarding.', "" Wizard: Do you like Rodney Mullen's work at all? He's like a pioneer of pro skateboarding."", ' Apprentice: Yes, I am a big Rodney Mullen fan. He is amazing.', ' Wizard: A lot of people consider him the most influential skater because of how many tricks he has invented in his time.', ' Apprentice: He invented many and still skates to this day!', "" Wizard: Yeah he invented the Kickflip, it used to be called the magic flip but I guess that didn't sound cool enough lol."", ' Apprentice: Magic flip is kind of lame. he also invented other tricks like the impossible.', "" Wizard: Yeah some of my favorite tricks are freestyle tricks done from a stationary position, it's just so much harder to pull off."", ' Apprentice: They do look really cool.']","['Cycling, also called bicycling or biking, is the use of bicycles for transport, recreation, exercise or sport.', 'People engaged in cycling are referred to as ""cyclists"", ""bikers"", or less commonly, as ""bicyclists"".', 'Apart from two-wheeled bicycles, ""cycling"" also includes the riding of unicycles, tricycles, quadracycles, recumbent and similar human-powered vehicles (HPVs).', 'Bicycles were introduced in the 19th century and now number approximately one billion worldwide.', 'They are the principal means of transportation in many parts of the world.', 'Cycling is widely regarded as a very effective and efficient mode of transportation optimal for short to moderate distances.', 'Bicycles provide numerous benefits in comparison with motor vehicles, including the sustained physical exercise involved in cycling, easier parking, increased maneuverability, and access to roads, bike paths and rural trails.', 'Cycling also offers a reduced consumption of fossil fuels, less air or noise pollution, and much reduced traffic congestion.', 'These lead to less financial cost to the user as well as to society at large (negligible damage to roads, less road area required).', 'By fitting bicycle racks on the front of buses, transit agencies can significantly increase the areas they can serve.']","['Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice']",10,72195
468,"[' Wizard: I was never a big fan, but I heard that Kurt Cobain died of an overdose in 1994.  Were you ever a fan?', "" Apprentice: I never knew of him when he was alive, but I have liked some of Nirvana's songs since high school"", ' Wizard: Yeah, he formed that band in 1987 as part of the Seattle music scene which then became known as grunge', ' Apprentice: I liked grunge a lot as a teen, I think it was the angst lol', ' Wizard: Apparently they had a few songs that were a success as they were labeled the flagship band of Generation X', ' Apprentice: I see, that makes sense', "" Wizard: What's kinda funny is that Cobain didn't like it - thought his message and vision and been misinterpreted by the public. - go figure!"", "" Apprentice: It's sad that he was misunderstood""]","['Kurt Donald Cobain (February 20, 1967\xa0– April 5, 1994) was an American singer, songwriter, and musician.', 'Born in Aberdeen, Washington, Cobain formed the band Nirvana with Krist Novoselic and Aaron Burckhard in 1987 and established it as part of the Seattle music scene which later became known as grunge.', 'Nirvana\'s debut album ""Bleach"" was released on the independent record label Sub Pop in 1989.', 'After signing with major label DGC Records, Nirvana found breakthrough success with ""Smells Like Teen Spirit"" from their second album ""Nevermind"" (1991).', 'Following the success of ""Nevermind"", Nirvana was labeled ""the flagship band"" of Generation X, and Cobain hailed as ""the spokesman of a generation"".', 'Cobain, however, was uncomfortable with the label, believing his message and artistic vision had been misinterpreted by the public, with his personal problems often subject to media attention.', 'During the last years of his life, Cobain struggled with heroin addiction, chronic health problems and depression.', 'He also had difficulty coping with his fame and public image, and the professional and personal pressures surrounding himself and his wife, musician Courtney Love.', 'On April 8, 1994, Cobain was found dead at his home in Seattle; the death was ruled a suicide by a self-inflicted shotgun wound to the head.']","['Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice']",9,72336
469,"[' Wizard: have you ever been duck hunting?', ' Apprentice: No I have not but I did watch that Duck Dynasty show for a little while, I tried to understand the duck call and everything', ' Wizard: Calling is the hardest thing to master. Everything else is pretty easy. Ive been a few times. It can be really fun, and really frustrating at the same time', ' Apprentice: I can see how it can be frustrating. I dont know if I could kill a duck though. Ducks can be annoying but I dont like killing anything unless its an insect spider or snake.', ' Wizard: Well honestly the snake or spider is probably more beneficial to the ecosystem then a duck honestly. The duck and geese populations are very well managed and controlled through hunting. There are a lot more benefits then not to hunting waterfowl.', ' Apprentice: What other benefits are there?', ' Wizard: Hunting in general funds a lot of conservation programs. Provides thousands of pounds of meats to food banks and shelters. Controls invasive species of some animals in different parts of the world. Generates revenue for towns in popular hunting areas and the list goes on really.', ' Apprentice: Oh wow, I didnt think of all that. Does duck taste like chicken or turkey?', ' Wizard: Duck is really dark meat, and can be greasy. All depends on how and who prepares it. Ive had some that taste great, and others not so much. But if it comes down to being hungry or not, id eat it every day. ']","['Waterfowl hunting (also called wildfowling or waterfowl shooting in the UK) is the practice of hunting ducks, geese, or other waterfowl for food and sport.', 'In many western countries, commercial waterfowl hunting is prohibited, and duck hunting is primarily an outdoor sporting activity.', 'Many types of ducks and geese share the same habitat, have overlapping or identical hunting seasons, and are hunted using the same methods.', 'Thus it is possible to take different species of waterfowl in the same outing.', 'Waterfowl can be hunted in crop fields where they feed, or, more frequently, on or near bodies of water such as rivers, lakes, ponds, swamps, sloughs, or oceanic coastlines.', 'Wild waterfowl have been hunted for food, down, and feathers worldwide since prehistoric times.', 'Ducks, geese, and swans appear in European cave paintings from the last Ice Age, and a mural in the Ancient Egyptian tomb of Khum-Hotpe (c. 1900 BC) shows a man in a hunting blind capturing swimming ducks in a trap.', 'Muscovy ducks were depicted in the art of the Moche culture of ancient Peru by 200 BC, and were likely hunted by many people of the Americas before then.', 'Hunting with shotguns began in the 17th century with the matchlock shotgun.']","['Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",9,72590
470,"[' Apprentice: I love Goldendoodle dogs.  ', ' Wizard: Me too! I have owned 6 since 2001, They are such great dogs! my friends call me the goldendoodle expert lol. ', ' Apprentice: Oh my gosh, six!  What are their best traits or characteristics?', ' Wizard: Well The original idea of the cross breed of this dog was to develop guide dogs suitable for visually impaired individuals with really bad allergies so that makes them the perfect companion dog. ', ' Apprentice: I had no idea they originated as guide dogs.  How interesting.', ' Wizard: Yep and the are also bred so that their coats dont shed like other dogs, which reduces pretty much all dander that would make you sneeze. ', ' Apprentice: Eliminating allergies is wonderful.  ', ' Wizard: Yep and if goldendoodles arent your thing poodles are also considered to be greatly hypoallergenic just like this breed. ', ' Apprentice: I forgot that Poodles are a great dog too.', ' Wizard: Yep and they come in all kinds of sizes like the famous Standard sized Poodle, Miniature Poodle and even a small Toy Poodle.']","['The Goldendoodle is a cross-breed dog, which is obtained by breeding a Golden Retriever with a Poodle.', 'The name, which alters ""poodle"" to ""doodle"" by analogy to ""Labradoodle"", was coined in 1992.', 'The Goldendoodle was first bred by Monica Dickens in 1969.', 'Popularity for the goldendoodle grew in the 1990s when breeders in North America and Australia began crossing Golden Retrievers with Standard Poodles.', 'The original purpose of the cross was to develop guide dogs suitable for visually impaired individuals with allergies.', 'Poodles are considered to be hypoallergenic.', 'Their coats do not shed, which reduces dander.', 'Dander is a protein that sheds from the skin and causes allergies in humans.', 'The goldendoodle is referred to as a designer dog.', 'The Encyclopædia Britannica traces the term ""designer dog"" to the late 20th century when breeders began to cross purebred Poodles with other purebred breeds in order to obtain a dog with the poodle\'s non-shedding coat, along with various desirable characteristics from other breeds.', 'In regards to goldendoodles, golden retrievers are considered a great family dog, which is why they have been used to cross breed with poodles.', 'Although not all goldendoodles exhibit the non-shedding coat type of the Standard Poodle, most goldendoodles do have a low to non-shedding coat.']","['Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard', 'Apprentice', 'Wizard']",12,72761
