index,topic,prompt
100,Archery,"Context: Breaking with the Federal Theatre Project in 1937, Welles and Houseman founded their own repertory company, which they called the Mercury Theatre. The name was inspired by the title of the iconoclastic magazine, The American Mercury. Welles was executive producer, and the o Question: What role did Houseman play? Answer: None. Question: What was Mercury Theatre? Answer: in 1937, Welles and Houseman founded their own repertory company, which they called the Mercury Theatre. Question: What did the company do? Answer: Welles was executive producer, Context: In November 2003, Terry Jones announced she would be retiring from Point of Grace. She was finding it harder and harder to handle a full-time music career and being a full-time wife and mother. She wrote Question: Did any other members leave? Answer: None. Question: Did the band members change from 2004-2006? Answer: In November 2003, Terry Jones announced she would be retiring from Point of Grace. Question: How come? Answer: She was finding it harder and harder to handle a full-time music career and being a full-time wife and mother. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In modern times, it is mainly a competitive sport and recreational activity. Conversation:  Apprentice: I know absolutely nothing about archery, but would be interested in your views on it.  Wizard: It is really very fun. It can be considered a sport or a skill where a bow is used to propel arrows.  Apprentice: Hmm. Do you go to classes? It sound like such fun - I've seen it in movies but not really thought much about it."
101,Ireland,"Context: In the summer of 1862 he was assigned as a substitute lawyer at the Law Court, then he became an attorney. He married his pupil, Clara Kremnitz. In Novemb Question: died of what? Answer: None. Question: what was his career? Answer: In the summer of 1862 he was assigned as a substitute lawyer at the Law Court, then he became an attorney. Question: Are there any other interesting aspects about this article? Answer: He married his pupil, Clara Kremnitz. Context: The 2006 season was statistically the best season of Federer's career. In November 2011, Stephen Tignor, chief editorial writer for Tennis.com, ranked Federer's 2006 season as statistically the second-best season of all time during the Open Era, behind Rod Laver's Grand Slam year of 1969.  Federer won 12 singles titles (the most of any player since John McEnroe in 1984) and had a match record of 92-5 (the most wins since Ivan Lendl in 1982). Federer r Question: Did he win any awards? Answer: None. Question: Why was the 2006 season an outstanding year? Answer: The 2006 season was statistically the best season of Federer's career. Question: what were some of his statistics? Answer: Federer won 12 singles titles (the most of any player since John McEnroe in 1984) and had a match record of 92-5 (the most wins since Ivan Lendl in 1982). Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Politically, Ireland is divided between the Republic of Ireland (officially named Ireland), which covers five-sixths of the island, and Northern Ireland, which is part of the United Kingdom, in the northeast of the island. Conversation:  Apprentice: I'm planning a trip to Ireland! I've never been there, so I don't know what to expect!  Wizard: Ireland is actually an island.  Very cool.  Many people don't know that.   Apprentice: No, actually I didn't know that either! Are there any cities I should plan on visiting?"
102,Bowling,"Context: Shipman's trial began at Preston Crown Court on 5 October 1999. Shipman was charged with the murders of Marie West, Irene Turner, Lizzie Adams, Jean Lilley, Ivy Lomas, Muriel Grimshaw, Marie Quinn, Kathleen  Question: What scientific evidence did they have against him? Answer: None. Question: When was harold's trial? Answer: Shipman's trial began at Preston Crown Court on 5 October 1999. Question: What was he on trial for Answer: Shipman was charged with the murders of Marie West, Irene Turner, Lizzie Adams, Jean Lilley, Ivy Lomas, Muriel Grimshaw, Marie Quinn, Context: Robinson announced he would retire from basketball after the 2002-03 season.  On June 15, 2003, in the finale of Robinson's career, the Spurs won another NBA title with an 88-77 victory over the New Jersey Nets in Game 6 of the 2003 NBA Finals. Turning b Question: Are they still friends? Answer: None. Question: When did David enter his final season? Answer: Robinson announced he would retire from basketball after the 2002-03 season. Question: What was one of the last games he played? Answer: in the finale of Robinson's career, the Spurs won another NBA title with an 88-77 victory over the New Jersey Nets in Game 6 of the 2003 NBA Finals. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is one of the major forms of throwing sports. Conversation:  Apprentice: I lvoe bowling! Do you?  Wizard: Yes, it's so fun. I love rolling and knocking down the pins and targets  Apprentice: me too! I struggle to get strikes every time but I get lots of spares!"
103,Green,"Context: In 1980, Hunter was recruited to run for Congress in what was then the 42nd District against 1 Question: does he have any military background? Answer: None. Question: When was he first elected? Answer: In 1980, Hunter was recruited to run for Congress in Question: recruited for what? Answer: to run for Congress in what was then the 42nd District Context: Helm returned to the group, then referred to simply as ""the band"", as it was known around Woodstock. While contemplating a recording contract, Helm had dubbed the band ""the Crackers."" However, when Robertson and their Question: What is Dylan's Planet Waves album? Answer: None. Question: Did  The band have a name or was its name ""The Band"" Answer: referred to simply as ""the band"", Question: Who were the members? Answer: Robertson Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Chromium is a chemical element with symbol Cr and atomic number 24. Conversation:  Wizard: The color green is so pretty!  It reminds me of freshly cut grass!  Green is actually the color between blue and yellow on the visible spectrum.  Apprentice: Do you like dark green or light green best?  Wizard: The color of green can differ in hue, chroma or lightness - I like the light green best!  Apprentice: When I think of green I think of golf.  Like a putting green!"
104,Motivation,"Context: Obree had built frames for his bike shop and made another for his record attempt. Instead of traditional dropped handlebars it had straight bars like those of a mountain bike. He placed them closer to the saddle than usual and rode with the bars under his chest, his elbows bent and tucked into his sides like those of a skier. Watching  Question: Was this the bike he used to win? Answer: None. Question: What is the bike? Answer: Instead of traditional dropped handlebars it had straight bars like those of a mountain bike. Question: What inspired the change? Answer: He placed them closer to the saddle than usual and rode with the bars under his chest, his elbows bent and tucked into his sides like those of a skier. Context: Though Bookchin, by his own recognition, failed to win over a substantial body of supporters during his own lifetime, his ideas have nonetheless influenced movements and thinkers across the globe.  Notable among these is the Kurdistan Workers' Party (PKK), an organisation in Turkey which has fought the Turkish state since the 1980s to try to se Question: What was Bookchin ill with? Answer: None. Question: Who had an influence on Murray Bookchin? Answer: Though Bookchin, by his own recognition, failed to win over a substantial body of supporters during his own lifetime, his ideas have nonetheless influenced movements Question: What did he accomplish? Answer: Notable among these is the Kurdistan Workers' Party (PKK), an organisation in Turkey which has fought the Turkish state since the 1980s to Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Every country aims to provide basic education, but the systems and terminology remain unique to them. Conversation:  Wizard: When I have schoolwork that requires motivation, I have trouble finding the direction I need to get started.  Apprentice: Do you have ADHD?  Wizard: Perhaps.  I do have trouble paying attention for a person of my age.  Apprentice: How old are you? My son has ADHD and the older he got it did get better, but he still as a teen has trouble."
105,Green,"Context: Hassett allayed doubt about his selection when he began the tour with innings of 43, 146, 148 and 220 not out, against Worcestershire, Oxford University, Leicestershire and Cambridge University respectively as Australia won their first four matches by an innings. He added 57 and 98 in the next two matches against the Marylebone Cricket Club and Hampshire, and despite failing to pass 30 in the next four innings, he was se Question: Did he win any notable awards or achievements? Answer: None. Question: Who did Lindsay debut with? Answer: Hassett allayed doubt about his selection when he began the tour with innings of 43, 146, 148 and 220 not out, against Worcestershire, Oxford University, Question: Was his debut a success? Answer: He added 57 and 98 in the next two matches against the Marylebone Cricket Club and Hampshire, and despite failing to pass 30 in the next four innings, Context: Despite a record benefit against the Australians and a few wonderful performances in 1961 (notably 8 for 47 against Hampshire), decline set in for the previously incomparable bowler. His haul of wickets fell from 97 at 10.91 to 78 at 17.93 and Lanca Question: Did he have an injury or illness that caused his decline? Answer: None. Question: Did his career start to go downhill? Answer: decline set in for the previously incomparable bowler. Question: What were some of the things that caused his decline? Answer: His haul of wickets fell from 97 at 10.91 to 78 at 17.93 Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Green is the color between blue and yellow on the visible spectrum. Conversation:  Wizard: Green is my favorite color. Many minerals are a green color, including emeralds. I like emeralds too!  Apprentice: I like green too. My eyes are green.  Wizard: So are mine! In Gaelic cultures green is very popular, with a long historical tradition. It is known as the color of Ireland.  Apprentice: Yrs I do know it is a very popular color in Ireland."
106,Bowling,"Context: The duo's occasional songwriting collaborator Janna Allen died of leukemia in 1993. Hall and Oates released the Marigold Sky album in 1997 (their first all-new studio album in seven years), which included an Adult Contemporary hit ""Promise Ain't Enough"". They also Question: How did the single do? Answer: None. Question: What albums did they release during this time? Answer: Hall and Oates released the Marigold Sky album in 1997 Question: Where there any hit singles on it? Answer: Promise Ain't Enough"". Context: Roshan was born on 10 January 1974 in Mumbai to a Punjabi family prominent in Bollywood. His father, film director Rakesh Roshan, is the son of music director Roshanlal Nagrath; his mother, Pinky, is the daughter of producer and director J. Om Prakash. His uncle Question: Does he have siblings? Answer: None. Question: When was he born? Answer: Roshan was born on 10 January 1974 Question: Who are his parents? Answer: His father, film director Rakesh Roshan, is the son of music director Roshanlal Nagrath; his mother, Pinky, is the daughter of producer and director J. Om Prakash. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The most common types of pin bowling include ten-pin, nine-pin, candlepin, duckpin and five-pin bowling, while in target bowling, bowls, skittles, kegel, bocce, carpet bowls, pétanque, and boules, both indoor and outdoor varieties are popular. Conversation:  Wizard: I love to go bowling. Do you like bowling?  Apprentice: I bowl every weekend. I love it.  Wizard: Have you ever been able to obtain the maximum score 300?  Apprentice: Only once and it was ten years ago."
107,Elvis Presley,"Context: In 1964, along with other American business figures such as S Question: How long was he with the Bankers Forum? Answer: None. Question: what were the policy groups for Answer: Rockefeller founded the non-profit International Executive Service Corps which encourages developing nations to promote private enterprise. Question: when did he do that Answer: In 1964, along with other American business figures Context: During his driving career, Moss was one of the most recognised celebrities in Britain, leading to many media appearances. In March  Question: Did he stay on the show or did he continue with other ventures? Answer: None. Question: What is Moss conection to popular culture? Answer: During his driving career, Moss was one of the most recognised celebrities in Britain, leading to many media appearances. Question: Why was he recognised? Answer: many media appearances. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The ""Memphis Mafia"" was the nickname given by rock 'n' roll icon Elvis Presley to a group of friends, associates, employees and cousins whose main functions were to accompany, protect, and serve Elvis from the beginning of his career in 1954 until his death in 1977. Conversation:  Wizard: I'm one of the few who rarely listened to Elvis the singer, but I did watch him as an actor.  Apprentice: That's different! Did you prefer his singing or acting?  Wizard: I liked Elvis more as an actor  Apprentice: That's really cool. I've always been the other way around, haven't seen in act in much."
108,Bowling,"Context: While on tour in the United-States, the group continued to record new material and released a new song, ""Goodbye"", before Christmas in 1998. The song was seen as a tribute to Geri Halliwell, and when it topped the UK Singles Chart it became their third consecutive Christmas number-one - equalling the record previously set by the Beatles. Later in  Question: what was that album? Answer: None. Question: What happened in 1998? Answer: While on tour in the United-States, the group continued to record new material and released a new song, ""Goodbye"", before Christmas in 1998. Question: was it successful? Answer: it topped the UK Singles Chart it became their third consecutive Christmas number-one - equalling the record previously set by the Beatles. Context: When interviewing for jobs after graduation, Ford said that he had attended The New School's Parsons division, but concealed that he graduated in architecture, and that his work at Chloe was a low-level public relations position. Despite his lack of experience in fashion, Ford called American designer Cathy Hardwick every day for a month in hopes of securing a job at her sportswear company. Hardwick  Question: Did the company do well? Answer: None. Question: Where did he start his career Answer: When interviewing for jobs after graduation, Question: Where did he get a job after graduation Answer: Ford called American designer Cathy Hardwick every day for a month in hopes of securing a job at her sportswear company. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is one of the major forms of throwing sports. Conversation:  Apprentice: I want to learn how to bowl! My friends are always talking about how much fun it is. Have you ever gone bowling?  Wizard: I sure have! Ive been bowling for 17 years now, I am an expert, Want me to show you the way of the bowl? What would you like to know?   Apprentice: Yes, please!! I know you roll a ball down an alley to knock over pins. Do I have to hit them all the first time or do I get to try again?"
109,Accounting,"Context: Norman endured another setback at the 1987 Masters. In his final round on the 18th green, Norman had a 20-foot putt for a birdie that would win the tournament. The ball  Question: Did he continue to play after 1990? Answer: None. Question: What was he doing in 1987? Answer: Norman endured another setback at the 1987 Masters. Question: What was his setback? Answer: In his final round on the 18th green, Norman had a 20-foot putt for a birdie that would win the tournament. Context: Inspired by a 1979 news story about Elmore City, Oklahoma, a town which had finally lifted an 80-year-old ban on dancing, Pitchford wrote the screenplay for the motion picture Footloose (1984). He collaborated on the nine-song score with Kenny Loggins, Eric Carmen, Jim Steinman, Sammy Hagar and others. The film, directed by Herbert Ross, opened at #1 and was, at the time, the highest-grossing February release in film history.  When the Question: Did he do any screen writing for any foreign films? Answer: None. Question: What was one of his first screenwritings? Answer: Pitchford wrote the screenplay for the motion picture Footloose (1984). Question: Was Footloose well received? Answer: The film, directed by Herbert Ross, opened at #1 and was, at the time, the highest-grossing February release in film history. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting. Conversation:  Apprentice: Hi there! I'm an accountant - what do you do?  Wizard: I'm an engineer, but I know some about accounting myself, like how modern accounting was established in 1494.  Apprentice: Yes, an old and noble profession, haha! What kind of engineering do you do?"
110,Archery,"Context: Willson penned a number of very well known songs, such as "" Question: did he win any awards? Answer: None. Question: What was her first popular song? Answer: You and I,"" which was a No. 1 for Glenn Miller in 1941 on the Billboard charts. Question: did she sing with any other artists? Answer: Willson penned a number of very well known songs, Context: Fisher is probably best remembered today in neoclassical economics for his theory of capital, investment, and interest rates, first exposited in his The Nature of Capital and Income (1906) and elaborated on in The Rate of Interest (1907). His 1930 treatise, The Theory of Interest, summed up a lifetime's research into capital, capital b Question: did he get any help with his books Answer: None. Question: Are there any other interesting aspects about this article? Answer: Fisher is probably best remembered today in neoclassical economics for his theory of capital, investment, and interest rates, Question: What was his quote on interest rates Answer: His 1930 treatise, The Theory of Interest, summed up a lifetime's research into capital, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The word comes from the Latin ""arcus"". Conversation:  Apprentice: Hi I love archery. Do you?  Wizard: Of course, I started liking it after i saw RobinHood as a kid. It's a sport that uses  a bow to propel arrows.  Apprentice: I see, when did archery originate? "
111,Motivation,"Context: When another perennial loser, the Seattle Mariners, lost 19 of their first 28 games in 1986 u Question: Was he to blame for the losses somehow Answer: None. Question: What was his final season in uniform? Answer: 1986 Question: did something happen in 1986 that caused him to retire from playing? Answer: lost 19 of their first 28 games Context: McDonald has also made many television appearances, both musical and dramatic. In 2001, she received her first Emmy Award nomination for Outstanding Supporting Actress in a Miniseries or Movie for the HBO film Wit, starring  Question: Did she win any awards in television? Answer: None. Question: What did she do in television? Answer: In 2001, she received her first Emmy Award nomination for Outstanding Supporting Actress in a Miniseries or Movie for the HBO film Question: Which HBO film? Answer: Wit, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Praise refers to positive evaluations made by a person of another's products, performances, or attributes, where the evaluator presumes the validity of the standards on which the evaluation is based. Conversation:  Apprentice: I think every one needs motivation in their lives at some point.  Wizard: Yes without motivation you have no reason to act on your desires or needs.  Apprentice: Yeah I recently started leaving messages for my girlfriend and she loves them"
112,Cardigan (sweater),"Context: Anna May Wong was born Wong Liu Tsong (meaning ""yellow willow frost"" respectively, though ""yellow"" being her family name can be considered functionless here semantically) on January 3, 1905, on Flower Street in Los Angeles, one block north of Chinatown, in an int Question: How long did Wong live in Los Angeles? Answer: None. Question: When was Anna May Wong born? Answer: on January 3, 1905, Question: Where was Wong born? Answer: on Flower Street in Los Angeles, one block north of Chinatown, Context: The Platters formed in Los Angeles in 1952 and were initially managed by Federal Records A&R man, Ralph Bass. The original group consisted of Alex Hodge, Cornell Gunter, David Lynch, Joe Jefferson, Gaynel Hodge and Herb Reed, who joine Question: Did they perform or record first? Answer: None. Question: How did that band start? Answer: The Platters formed in Los Angeles in 1952 and were initially managed by Federal Records A&R man, Ralph Bass. Question: Who were the first members? Answer: The original group consisted of Alex Hodge, Cornell Gunter, David Lynch, Joe Jefferson, Gaynel Hodge and Herb Reed, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Coco Chanel is credited with popularizing cardigans for women because ""she hated how tight-necked men’s sweaters messed up her hair when she pulled them over her head."" Conversation:  Wizard: A knitted garment that has an open front is known as a cardigan.  Apprentice: You know, for the longest time I heard of that word and never knew what it was!  Wizard: They usually have buttons. Actually, if they are tied instead they might be considered a robe.  Apprentice: So buttons mean robe and ties mean cardigan? So they're very similar to one another!"
113,Irish coffee,"Context: Tony Orlando was born Michael Anthony Orlando Cassavitis on April 3, 1944, the son of a Greek father and a Puerto Rican mother. He spent his earliest years in Hell's Kitchen, New York. In his te Question: did he have any siblings? Answer: None. Question: when was he born? Answer: April 3, 1944, Question: where was he born? Answer: Hell's Kitchen, New York. Context: By late 1977, he had caught the attention of Frank Williams, who was looking to rebuild his Formula One racing team. Williams Grand Prix had struggled for success in its first years and Jones was entrusted to give them their first taste of it. As well as Williams, he also signed with Haas-Hall for 1978, and competed in a Lola 333CS in the Can-Am series, winning the title. Jones took nine poles in ten races but missed the Laguna Seca race due to a Formula One scheduling conflict. Stand-in  Question: Why did the williams deal end in 1981? Answer: None. Question: What was Williams doing in 1978? Answer: By late 1977, he had caught the attention of Frank Williams, who was looking to rebuild his Formula One racing team. Question: Did he win any races in this time frame? Answer: Jones took nine poles in ten races but missed the Laguna Seca race due to a Formula One scheduling conflict. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The coffee is drunk through the cream. Conversation:  Apprentice: Hi, I really enjoy adding alcohol to my coffee. Have you ever tried this?  Wizard: I have not but would want to try Irish coffee sometime  as a cocktail  Apprentice: Oh yes, Irish coffee is a great mix between the two. It is usually topped with a thick cream which I love."
114,Kurt Cobain,"Context: For the next thirty years, James recorded nothing and performed sporadically. He was virtually unknown to listeners until about 1960. In 1964, blues enthusiasts John Fahey, Bill Barth, and Henry Vestine found him in a hospital in Tunica, Mississippi. According Question: how did he end up in the hospital? Answer: None. Question: when was he redicovered? Answer: He was virtually unknown to listeners until about 1960. Question: what happened in 1960? Answer: In 1964, blues enthusiasts John Fahey, Bill Barth, and Henry Vestine found him in a hospital in Tunica, Mississippi. Context: A trailer for the film was released in April 2008. The Calgary Herald gave it a rating of 3/5, commenting: ""This could either be good or very, very bad."" Gary Susm Question: What did the military members think of the film? Answer: None. Question: How was Tropic Thunder promoted? Answer: A trailer for the film was released in April 2008. Question: Was the trailer popular? Answer: The Calgary Herald gave it a rating of 3/5, commenting: ""This could either be good or very, very bad."" Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Born in Aberdeen, Washington, Cobain formed the band Nirvana with Krist Novoselic and Aaron Burckhard in 1987 and established it as part of the Seattle music scene which later became known as grunge. Conversation:  Apprentice: I was a huge fan of Nirvana and Kurt Cobain when I was younger.  Wizard: Oh I still like Nirvana, Kurt Cobain's middle name was Donald!  Apprentice: I never knew that. I was so sad when he died. Seems like so long ago. Do you remember what year that was?"
115,Bee,"Context: In 1953, in New York City, he marrie Question: Why did he call her Joey? Answer: None. Question: Who did he marry? Answer: he married JoAnn Schumacher (1928-1999), whom he called Joey. Question: When did he marry her? Answer: In 1953, in New York City, Context: Despite playing at a lower level, he impressed England manager Alf Ramsey sufficiently to give him his debut against East Germany in November 1970. England won 3-1. Little mo Question: Did he ever play in a championship game? Answer: None. Question: What happened when England called? Answer: Despite playing at a lower level, he impressed England manager Alf Ramsey sufficiently to give him his debut against East Germany in November 1970. Question: Did he win that debut? Answer: England won 3-1. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A location where bees are kept is called an apiary or ""bee yard."" Conversation:  Wizard: I am allergic to bees, which a closely related to wasps, I can't bear the thought of getting a bee sting.  Apprentice: Are you allergic to a specific type of bee?    Wizard: All bees and wasps, they all terrify me honey bee, african bee, wasps. The western honey beee is the most common bee worldwide so i most look out for them  Apprentice: What happens if you get stung?"
116,Motivation,"Context: In July 1988, Harvey became a member of Automatic Dlamini, a band based in Bristol with whom she gained extensive ensemble-playing experience. Formed by Question: What was the name of her own band? Answer: None. Question: What was Automatic Dlamini? Answer: Harvey became a member of Automatic Dlamini, a band based in Bristol Question: What was her role in the band? Answer: she gained extensive ensemble-playing experience. Context: In 1845, Carson guided Fremont on their third and last expedition. They went to California and Oregon. Fremont m Question: How did he rouse them into a patriotic fever? Answer: None. Question: What was the Third Expedition? Answer: In 1845, Carson guided Fremont on their third and last expedition. Question: What did they do on this expedition? Answer: They went to California and Oregon. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Crowdsourcing is a sourcing model in which individuals or organizations obtain goods and services, including ideas and finances, from a large, relatively open and often rapidly-evolving group of internet users; it divides work between participants to achieve a cumulative result. Conversation:  Apprentice: Sometimes I find it difficult to find motivation for tasks that I dislike.  Wizard: It can be very hard to motivate your self on cleaning the house.    Apprentice: Yes! Cleaning house is definitely not my favorite. I am extremely motivated if the task at hand is something in which I find interesting."
117,Kendrick Lamar,"Context: Allan Bloom was born in Indianapolis, Indiana in 1930 to second-generation Jewish parents who were both social workers. The couple had a daughter, Lucille, two years earlier. As a thir Question: Did he write any other essay's? Answer: None. Question: What was Allan's early life like? Answer: Allan Bloom was born in Indianapolis, Indiana in 1930 to second-generation Jewish parents who were both social workers. Question: Did he have any siblings? Answer: The couple had a daughter, Lucille, two years earlier. Context: On October 20, 2002, Angel performed in the ABC Family television special named Criss Angel Mindfreak: Postmodern illusionist, an hour-long performance and tribute to Harry Houdini. The special aired again on December 24, 2002 on Channel 4 in the UK. The Birmingham Evening Mail reviewed the show, writing, ""Criss Angel is currently making a name for himself as a more Question: was it popular Answer: None. Question: what happened in 2oo2 Answer: Angel performed in the ABC Family television special named Criss Angel Mindfreak: Question: is the television popular Answer: ""Criss Angel is currently making a name for himself Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: By that time, he had amassed a large online following and collaborated with several prominent artists in the hip hop industry, including The Game, Busta Rhymes, and Snoop Dogg. Conversation:  Apprentice: Kendrick Lamar is one of my favorite rappers. Are you familiar with him?  Wizard: I know some stuff about him. I believe he started when he was a teen with the name K-Dot which led him to be signed.  Apprentice: I didn't know he had a different name at first, that's cool. Do you have a favorite Kendrick Lamar album?"""
118,Accounting,"Context: Henry VIII was betro Question: How did they meet? Answer: None. Question: What year did she marry? Answer: 20 May 1536, Question: Who did she marry? Answer: Henry VIII Context: In 1985, he was focusing all of his energy on motocross, winning three championships. After breaking his ankle during a race, Ice was not interested in racing professionally for some time, using his spare time to perfect his dance moves and creat Question: what does he now do with his time Answer: None. Question: what happened in 1985 Answer: In 1985, he was focusing all of his energy on motocross, Question: what is his career based on Answer: his dance moves Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In financial accounting, a balance sheet or statement of financial position is a summary of the financial balances of an individual or organization, whether it be a sole proprietorship, a business partnership, a corporation, private limited company or other organization such as Government or not-for-profit entity. Conversation:  Apprentice: Hey, I was trying to learn a little bit more about accounting  Wizard: Are you good in mathematics as it deals with measurement, processing, and communication of financial information about economic entities   Apprentice: Yah, I am pretty good at math, I do a lot of computer science and work with a lot of math there. I would love to learn more about how to create basic accounting documents"
119,Cycling,"Context: Hall was born in Saint Michael, Barbados--""just outside the walls of [HM Prison] Glendairy""--to a teenaged mother, his father a sometime light-heavyweight boxer. Hall bega Question: did they win? Answer: None. Question: what was wes' early life like? Answer: Hall was born in Saint Michael, Barbados--""just outside the walls of [HM Prison] Glendairy""--to a teenaged mother, Question: who were his parents? Answer: teenaged mother, his father a sometime light-heavyweight boxer. Context: In February 2017, Peele's first film as solo director, Get Out, was released to critical acclaim, eventually scoring a 99% rating on Rotten Tomatoes. The film received particular praise for Peele's screenplay and direction, as well a Question: Was Peele in any other movies at the time? Answer: None. Question: When was the movie Get Out released? Answer: In February 2017, Question: Who wrote the script for Get Out? Answer: Peele's screenplay and direction, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Apart from two-wheeled bicycles, ""cycling"" also includes the riding of unicycles, tricycles, quadracycles, recumbent and similar human-powered vehicles (HPVs). Conversation:  Apprentice: I ride a bike.  Wizard: Do you ride for transportation, recreation or sport?  Apprentice: I ride for transportation."
120,Dog training,"Context: On December 11, 2011, Odom was traded to the Dallas Mavericks, the defending NBA champions, for a fir Question: What did he achieve during this year? Answer: None. Question: When did Odom join the Mavericks? Answer: On December 11, 2011, Question: What did he play/ Answer: NBA champions, Context: Following Communication, Womack's profile was raised with two more albums, released in 1972. The first was Understanding, noted for the track ""I Can Understand It"", later cov Question: Did he tour? Answer: None. Question: How did Womack achieve solo success? Answer: Womack's profile was raised with two more albums, released in 1972. Question: What albums were released? Answer: The first was Understanding, noted for the track ""I Can Understand It"", Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Some of the better known dog training procedures include the Koehler method, clicker training, motivational training, electronic training, model-rival training, dominance-based training, and relationship-based training. Conversation:  Wizard: I love training dogs to do tricks and to behave well  Apprentice: That sounds like fun! Do you train dogs as a hobby or are you a professional dog trainer?  Wizard: I just train my dogs through classical conditioning  Apprentice: What methods do you use to train them? I have a dog who needs to be trained!"
121,The Walking Dead (TV series),"Context: Barkley was invited by Bob Knight to try out for United States men's basketball team for the 1984 Summer Olympics. Question: Did he win any type of recognition for being in the Olympics at all? Answer: None. Question: When did he enter the Olympics? Answer: Barkley competed in the 1992 and 1996 Olympic Games Question: What did he train for? Answer: Barkley was invited by Bob Knight to try out for United States men's basketball team for the 1984 Summer Context: Crumb's father gave him $40 when he left home after high school. His first job, in 1962, was drawing novelty greeting cards for American Greetings in Clevel Question: did he remarry? Answer: None. Question: what did he do in 1962? Answer: His first job, in 1962, Question: what did he do? Answer: was drawing novelty greeting cards for American Greetings Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The Walking Dead is an ongoing black-and-white comic book series created by writer Robert Kirkman and artist Tony Moore. Conversation:  Wizard: I'm a big fan of the TV show The Walking Dead. Have you seen it?  Apprentice: I have! I really enjoy it too! Neegan is scary!  Wizard: Yeah, it really surprised me to learn that it was based on a comic book series!  Apprentice: A comic? I had no idea! I don't care for comics much, but my nephew loves them!"
122,American football,"Context: In four-and-a-half years with Coventry, Dublin established himself as one of the Premier League's top strikers and during the 1997-98 season won the first of his four England full caps. That seas Question: When did Dion Dublin end his career? Answer: None. Question: Where is Coventry City? Answer: England Question: What makes Dion Dublin a legend in Coventry City? Answer: Dublin established himself as one of the Premier League's top strikers and during the 1997-98 season won the first of his four England full caps. Context: Man o' War was inducted into the National Museum of Racing and Hall of Fame in 1957. In 1959, the Man o' War Stakes was created in his honor. In the Blood-Horse magazine ranking of the top 100 U.S. Thoroughbred champions of the 20th Century, Man o' War was ranked No. 1. He was also ranked No. 1 by the Associated Press as the greatest horse of the 20th century in a separate poll. He was also ranked No. 1 greatest horse in racing history by Sports Illustrated (panel of 7 Question: did the horse ever retire? Answer: None. Question: what was his legacy? Answer: inducted into the National Museum of Racing and Hall of Fame Question: Are there any other interesting aspects about this article? Answer: He was also ranked No. 1 greatest horse in racing history by Sports Illustrated ( Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The team with the most points at the end of a game wins. Conversation:  Apprentice: American football is so popular but i dont care for it much.  Wizard: Do you know about American football? It is referred to as football in the united states and Canada  Apprentice: Yea since other countries use football for what we call soccer."
123,Broken heart,"Context: In February 2017 the band revealed a teaser trailer for a new documentary entitled Escape from History, charting the band's journey from The Holy Bible, through to the disappearance of lyricist and guitarist Richey Edwards, to the huge success of Everything Must Go. The documentary aired on Sky Arts on 15 April. The band  Question: Did this album have success? Answer: None. Question: What is Escape from History? Answer: the band revealed a teaser trailer for a new documentary entitled Escape from History, charting the band's journey Question: Was this successful? Answer: The documentary aired on Sky Arts on 15 April. Context: Hough was one of the Million Dollar Dancers in the 2006 ABC game show called Show Me the Money. She won season four of the U.S. edition of Dancing with the Stars with her partner Olympic gold medal-winning speed skater Apolo Ohno, making Ho Question: Was Julianne nominated for other awards? Answer: None. Question: When did Julianne Hough begin to dance? Answer: Hough was one of the Million Dollar Dancers in the 2006 ABC game show called Show Me the Money. Question: What did Julianne do after being on the game show? Answer: She won season four of the U.S. edition of Dancing with the Stars with her partner Olympic gold medal-winning speed skater Apolo Ohno, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The emotional ""pain"" of a broken heart is believed to be part of the survival instinct. Conversation:  Apprentice: My little brother has a broken heart and I dont know how to help him  Wizard: Thats tough. Broken heart is a metaphor for a broken heart. Is that what happened to him?  Apprentice: He lost his girlfriend to cancer"
