,episode_idx,topic,round,message,response,knowledge,gold,Q2
251,251,Elvis Presley,3,so you think he is dead?,"Elvis Aaron Presley was born in Tupelo, Mississippi, and relocated to Memphis,","Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old.","Sure. I believe the ""King of Rock and Roll"" is dead. He is a huge cultural icon of the 20th century.",0.7222222222222222
255,255,Elvis Presley,4,What was elvis's most popular songs?,"Elvis Presley was born in Tupelo, Mississippi, and then to Memphis.","With a series of successful network television appearances and chart-topping records, he became the leading figure of the newly popular sound of rock and roll.",Heartbreak Hotel was a number one hit in the USA,0.0
257,257,Goldendoodle,3,"oh cool, i'm so curious to know more about this dog. my friend got one but i don't think i've ever seen one",The Golden Doodle is a cross breed dog.,Poodles are considered to be hypoallergenic.,The golden doodle was first bred by monica dickens in 1969,0.0
258,258,Accounting,3,"Thats insane to me, so long ago",Henry's accountant started his job in 1494.,"Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.",Sometimes accounting is known as financial reporting.,0.0
259,259,Harry Potter,3,I saw a few of the films and enjoyed them. Did Rowling write all the books?,JK Rowling wrote all the books.,", the books have sold more than 500 million copies worldwide, making them the best-selling book series in history, and have been translated into seventy-three languages.",Yes she wrote all of them - and they have sold more than 400 million copies!,0.0
260,260,Dylan's Candy Bar,3,No never been there. Never tried this candy bar either.,"Dylans candy bar is a chain in New York and Miami, owned by Dylan Lauren,","It is owned by Dylan Lauren, daughter of fashion designer Ralph Lauren.","Not a candy bar its a store with locations in Hamptons, Los Angeles, Chicago ",0.2
261,261,The Walking Dead (TV series),3,Yeah my favorite character is Daryl. I heard he will take over as leader in the next season.,Apprentice: I love the Walking Dead TV show. Can you tell me about it? Wizard:,"Andrew Lincoln plays the show's lead character, sheriff's deputy Rick Grimes, who awakens from a coma discovering a world overrun by zombies, commonly referred to as ""walkers"".",i liked glenn.... it was developed by Frank Darabont for AMC that is based on the comic book series of the same name by Robert Kirkman.,0.0
262,262,The Walking Dead (TV series),4,His character is really interesting. I didn't like him at first but I grew to understand him and respect the intricacies of his character.,Apprentice: I've heard that the third season of The Walking Dead has attracted the most,"Beginning with its third season, ""The Walking Dead"" has attracted the most 18- to 49-year-old viewers of any cable or broadcast television series.","Yes Grimes' character suffered a lot, especially when he lost his wife during childbirth. He is the glue that holds the show together.",1.0
264,264,Genghis Khan,4,I have never been to Asia.  Although I think it would be an amazing place to visit.,"Wizard: Well, he was the founder of the Mongol Empire. Do you know much","By the end of his life, the Mongol Empire occupied a substantial portion of Central Asia and China.","So after creating the empire, he began massive invasions that conquered a large part of Eurasia.",1.0
265,265,Green,4,Yes. Do you like the color green? Or do you have a different favorite color?,"Wizard: Yes, green is one of my favorite colors. Specifically forest green. Wizard:","In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility.",I do like green but pink is my favorite.  do you like the emerald which is obviously green in color?,0.0
266,266,Chihuahua (dog),4,It's amazing how humans domesticated and bred dogs down to create the dogs we have today. Early dogs were bread to ease everyday task. ,Wizard: I think it's amazing how humans domesticated and bred dogs down to,"Wolf hunting is the practice of hunting gray wolves ""(Canis lupus)"" or other species of wolves.","Yeah, while the origins of dogs are not really clear, it is clear humans had a role in that process, which amazes me, as we have created so many different and varying breeds of dogs",0.0
267,267,Skiing,3,"I love it, especially in the winter.","Apprentice: I love it, especially in the winter.","It comes from the Old Norse word ""skíð"" which means ""split piece of wood or firewood"".","It's not just for recreeation, it is also done for competition and for transporting activities.",0.0
269,269,John Grisham,3,Tell me about some of his thrillers,"John grisham is a bestselling writer, attorney and politician. He's best known",He practiced criminal law for about a decade and served in the House of Representatives in Mississippi from January 1984 to September 1990.,"His very first  novel, ""A Time to Kill"" was published in June of 1989, 4 years after he started writing it.",0.0
270,270,Hunting,4,"It is hard to do it without one, that is for sure, try to use a stick one day!",Wizard: I love to hunt for my own food! It is the practice of killing or trap,"However, excessive hunting has also heavily contributed to the endangerment, extirpation and extinction of many animals.",yea thats true but some people also hunt as a means of pest control,0.0
271,271,Blog,4,Fun! Do you write in it every day? It is about health food or just cooking or nutrition? ,Wizard: It covers a variety of topics like food and travel experiences.,The emergence and growth of blogs in the late 1990s coincided with the advent of web publishing tools that facilitated the posting of content by non-technical users who did not have much experience with HTML or computer programming.,"Yes, it sometimes gets exhausting, so i'm thinking about starting a multi-author blog. That is where the content is written by multiple authors. It's mainly reviews of food I have tried.",0.0
272,272,Accounting,4," The Panama Papers caused major scandal worldwide, didnt it?",The Panama Papers are 11.5 million leaked documents that contained financial and attorney–client information,"The documents, some dating back to the 1970s, were created by, and taken from, Panamanian law firm and corporate service provider Mossack Fonseca, and were leaked in 2015 by an anonymous source.",Yes they did. The documents contain personal financial information about wealthy individuals and public officials that had previously been kept private,0.0
273,273,Hot dog,4,LOL! What other quick meals do you like? For example grilled cheese with chips?,Wizard: I love a good hotdog! It's a delicious sausage sandwich.,"""Grilled Cheesus"" is the third episode of the second season of the American television series ""Glee"", and the twenty-fifth episode overall.",i love buter on my grilled cheese!,0.0
274,274,Accounting,3,"Yes, there are many tax firms in the United States. Accountants take on the task of the measurement, disclosure or provision of assurance about financial information that helps others make financial decisions.",Apprentice: I'm an accountant at a local tax service. Do you know much about,no_passages_used,Modern Accounting field was established by the Italian mathematician Luca Pacioli in 1494.,0.0
275,275,American football,4,Sounds interesting. How many players are on the offense?,Wizard: There are 11 players on the offense.,"During a play, each team should have no more than 11 players on the field, and each of them has specific tasks assigned for that specific play.","Similar to a soccer team, 11 players. They have to go atleast ten yards from where the ball starts to get a first down.",0.0
277,277,Genghis Khan,4,I don't know much about Genghis Khan. I didn't know he had the largest empire in history! What was he like?,"Wizard: He was the great founder of the mongol empire, one of the largest empire in",Before Genghis Khan died he assigned Ögedei Khan as his successor.,Well he was a tough guy but a dreamer he came to power by uniting many of the nomadic tribes in northeast asia!,0.0
278,278,Elvis Presley,4,"yep the King of Rock, You know some of his movies were cheesy but I do enjoy watching them",Wizard: Elvis Presley is a great singer. Apprentice: I agree. I haven,no_passages_used,"I don't think I've ever seen one.  I love how Forrest Gump inspires Elvis to make his signature move, though.",0.0
280,280,American football,4,"Wow!  I didn't realize it had roots in the UK!  Pro football started here in America though, right?","Wizard: Yes, it started in the US.","College football is American football played by teams of student athletes fielded by American universities, colleges, and military academies, or Canadian football played by teams of student athletes fielded by Canadian universities.","Well the first match of american football was played november 1869 between two college teams under rules of the association of football, so i can say america has been pretty serious about football for a while but i am not sure about pro football starting here.Canda has a professional football team as well.",0.0
281,281,Harry Potter,4,oh wow I wasn't aware of that,Harry Potter and the Philosopher's Stone was released on 26 June 1997.,"Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide.",Oh yes!  It was a big deal at the time that she would only agree to British Actors and not American ones,1.0
283,283,Green,3,I also like blue due to it being the color of the sky.,Apprentice: I like blue because it is the color of the sky.,"Several minerals have a green color, including the emerald, which is colored green by its chromium content.",I still prefer green. It's the color of nature. Lots of animals have adapted to their green environments.,0.0
284,284,American football,3,Sorry I meant American football,"Apprentice: Oh, I meant American football.",no_passages_used,Football and Rugby share origins but not are too similar when played.,0.0
286,286,Ireland,3,I didn't realize that Ireland was Island,"Wizard: Yes, I've heard that Ireland is an island in the North Atlantic.","The island has lush vegetation, a product of its mild but changeable climate which is free of extremes in temperature.",It is indeed an island!  And it is the third-largest island in Europe!,0.0
288,288,Hot dog,3,I loved them grilled. They are best for a picnic.,Apprentice: I love hot dogs. They are best for a picnic.,Hot dog variants include the corn dog and pig in a blanket.,Everything tastes better when grilled :) I love my hot dogs with mustard and onions,0.0
289,289,Green,3,if I recall it is a secondary color since it is made up of two primary colors,Apprentice: I like green.,"Green is common in nature, especially in plants.","Yes, I also like green cause many creatures have adapted to their environments by turning green themselves.",0.0
290,290,Japanese language,4,"That is interesting, what is your job title?",Wizard: I am a professor of Japanese at a university in Tokyo.,"According to 2000 federal census data, it served a resident population of 5,759.",I will be a foreign language teacher in public school district in Tokyo.,0.0
292,292,Drama school,4,Can one really be famous with just drama ? ,"Wizard: Yes, but not in Hollywood. I need to be part in d","Yes are an English rock band formed in London in 1968 by singer Jon Anderson, bassist Chris Squire, guitarist Peter Banks, keyboardist Tony Kaye, and drummer Bill Bruford.","Yes buddy, Its a great job. What you think about band. Do you like Yes band",0.0
293,293,"On-again, off-again relationship",3,"I don't know if I trust him anymore, but I still love him.",Apprentice: My boyfriend broke up with me for like the tenth time. Wizard: He,no_passages_used,The relationship can be confusing.,0.0
294,294,Elvis Presley,3,He resembles confidence in many ways,"Elvis Presley was a pioneer of rockabilly, an uptempo, backbeat-","Accompanied by guitarist Scotty Moore and bassist Bill Black, Presley was a pioneer of rockabilly, an uptempo, backbeat-driven fusion of country music and rhythm and blues.",Indeed.  He is definitely regarded as one of the most significant cultural icons of the 20th century.  Sure thats why we call him the king!,0.8333333333333333
297,297,Green,3,"Yellow is for sure a color I dislike, maybe that's why my view on green changes so much.  You know anything else on it?",The color green is the only one that changes back and forth to love and hate. What',"For this reason, the costume of the ""Mona Lisa"" by Leonardo da Vinci and the benches in the British House of Commons are green while those in the House of Lords are red.",Im not too sure. Many wild animals have adapted to their green environments by learning how to camoflauge themselves,0.0
298,298,The Walking Dead (TV series),3,Ya I actually used to only live like an hour from the set,"Andy's favorite toy is a 1950s old traditional pull string cowboy doll,","Voiced by:  Sheriff Woody Pride is a 1950s old traditional pull string cowboy doll, and Andy's favorite toy.","Oh thats nice!  What town around the ""New South"" did you live?",0.6666666666666666
299,299,Bowling,4,"Oh my, I didn't realize there were so many different types of bowling games. What is the most popular bowling game?",Ten-pin,In regions of the United Kingdom and Ireland the game remains a popular indoor place game.,"Ten-pin is the most popular, and it is what you played on your bowling date. Most bowling games descend from a European lawn game called Skittles though!",0.0
300,300,Thierry Henry,4,Oh okay! I couldn't recall the name association football! Thierry Henry sounds like quite an amazing player! Is he still playing?,"Thierry Henry is a retired French professional footballer. He played for Monaco, Juventus,","Under long-time mentor and coach Arsène Wenger, Henry became a prolific striker and Arsenal's all-time leading scorer with 228 goals in all competitions.","No.. in fact, he's a French association football coach now! And he was--in both 2003 and 2004, he as the runner-up for FIFA World Player of the Year, so that gives you an idea of his skill. Also won two league titles and three FA Cups. Partly why I like him is I'm part French, and he represented us well at the international level, and is our leading goalscorer, too.",0.0
302,302,Green,4,"Oh, yes, an emerald is beautiful! That color is certainly a lovely shade. I also like a pretty mint green, do you?","Wizard: Yes, I do. I like green pretty well. It's the color of",Many plants are green mainly because of a complex chemical known as chlorophyll which is involved in photosynthesis.,Me too! It's such a lovely shade. I also love the color green found in nature.,0.0
303,303,American football,4,Ok in order to score what else ?,Wizard: The defense takes the ball and tries to stop it.,"American football, referred to as football in the United States and Canada, and also known as gridiron football or simply gridiron, is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end.",Well in American football the opposing sports teams try to get the ball from each other and tackle other players,0.0
304,304,List of national parks of the United States,3,I lived in Texas for a few years and unfortunately never went.  The scenery looked breathtaking though. ,"Apprentice: I've never been to any national parks in the US, unfortunately. Wizard:",no_passages_used,"I'm from Texas and only driven through, never actually stopped to admire. I know part of it is in Mexico as well.",0.0
305,305,Game design,4,PC Nation man. But I grew up playing PlayStation and Nintendo. ,Apprentice: PC Nation man. But I grew up playing PlayStation and Nintendo.,"Originally released in March 2006 for the PlayStation 2, Xbox and Microsoft Windows, it was later released for the PlayStation Portable as The Godfather: Mob Wars, Xbox 360 as The Godfather: The Game, Wii as The Godfather: Blackhand Edition, and PlayStation 3 as The Godfather: The Don's Edition.","Awesome, Playstation was released in 1995, which version did you play?",0.0
307,307,Cardigan (sweater),3,I'm a fan of Jim Carey and his work. He has a lot of great work and is incredibly funny!,Wizard: I'm a fan of Jim Carey and his work. He has ,"From the mid-17th century to the 19th century, the uniform of most British soldiers (apart from artillery, rifles and light cavalry) included a madder red coat or coatee.","Yea he is one of the greats.  But about these cardigans, they are modelled after the knitted wool waistcoat that the Brits wore during the war.",0.0
310,310,Elvis Presley,3,"He was born in Tupelo, Miss, where I am from, but then moved to Memphis, Tenn. where he began his career singing","Elvis Presley was born in Tupelo, Mississippi, on January 8, 1935. He moved","Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.","Yes he moved with his family when he was 13 years old, and his career began there at Sun Records with Sam Phillips!",0.0
312,312,Bodybuilding supplement,3,a whey shake with water and one scoop of whey protein powder provides just 110 calories.,Apprentice: I drink protein powder with nothing but water. Wizard: I know athletes were told to,A number of herbal concoctions and tonics have been used by strong men and athletes since ancient times across cultures to try to increase their strength and stamina.,I know athletes use a number of concoctions and tonics to boost performance,0.0
313,313,Kurt Cobain,4,I was just a little bit too young at the time to really experience Nirvana has it happened. Were you old enough at the time?,"Kurt Cobain was found dead at his home in Seattle on April 8, 1994. The","On April 8, 1994, Cobain was found dead at his home in Seattle; the death was ruled a suicide by a self-inflicted shotgun wound to the head.",nah Im a early 20s college student but Nirvana has still had a pretty large lasting impact on the industry. Ever since Cobain committed suicide via shotgun though it came crumbling down sadly.,0.8933333333333333
314,314,Broken heart,3,What are some symptoms of heartbreak?,"The emotional ""pain"" of a broken heart is believed to be part of the survival","The emotional ""pain"" of a broken heart is believed to be part of the survival instinct.",Well its mostly a heavy feeling but in some rare cases it can cause physical damage to the heart.,0.6666666666666666
315,315,Kurt Cobain,4,When was Nirvana formed?,Kurt Cobain formed the band Nirvana with Krist Novose,"Born in Aberdeen, Washington, Cobain formed the band Nirvana with Krist Novoselic and Aaron Burckhard in 1987 and established it as part of the Seattle music scene which later became known as grunge.","In what year Nirvana was created, do you know it ?",0.738095238095238
316,316,Cheerleading,4,Are there any competitions where different teams cheer like in the movie bring it on or is that made up?,"Wizard: Yes, there are competitions where different teams cheer.","Cheerleading originated in the United States, and remains predominantly in America, with an estimated 1.5 million participants in all-star cheerleading.","Yeah there are a lot of competitive routines, they often last one to three minutes.",0.0
318,318,Online shopping,4,I havent been to either store in a long time. Im not really a huge fan of Walmart.,Wizard: I usually use the checkout line at walmart or target. But consuers find ,"When an online store is set up to enable businesses to buy from another businesses, the process is called business-to-business (B2B) online shopping.","well as of 2016, customers can shop online using a range of different computers and devices including desktop computers",0.0
320,320,Skiing,3,Oh really? What are the main things transported by skiing?,Skiing has a history of almost five millennia.,Skiing has a history of almost five millennia.,Just you as it is done in Australia which takes place in high country of he states,1.0
321,321,Accounting,3,"That's right!  I am called an accountant.  There are a lot of jobs in this field.  You can work in various fields, whether it's auditing, tax, bookkeeping, consulting and industry jobs.","Apprentice: Yes, I work in the field of accounting.","In the United States, a tax is imposed on income by the federal government, most state governments, and many local governments.",So you can say that you are in one of the most ancients jobs! accounting can be traced to ancient civilizations!,0.0
323,323,Harry Potter,3,It glorifies witch craft ,"Apprentice: I don't like Harry Potter, it glorifies witch craft.","The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.","of course it does, harry potter, the novel  chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley",0.0
324,324,Cardigan (sweater),4,What kind of material are they made from?,Wizard: They are made from wool.,A cardigan is a type of knitted garment (sweater) that has an open front.,When it comes to cardigan sweaters they use knitted cotton often,0.0
325,325,Harry Potter,3,What's your favorite book? I like the Goblet of Fire,Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban is a fantasy novel written by British author J. K. Rowling and the third novel in the ""Harry Potter"" series.","The Goblet of Fire is the fourth novel in the series, my favorite is the Prisoner of Azkaban.",0.5
326,326,Instagram,3,"Oh, I didn't realize that. What do you like about Instagram?","Instagram is a mobile, desktop, and Internet-based photo-sharing application and service that","Instagram is a mobile, desktop, and Internet-based photo-sharing application and service that allows users to share pictures and videos either publicly, or privately to pre-approved followers.",I like that you can easily share photos without a clunky interface. It is basically a photo and video service. ,1.0
327,327,Stock market,4,When did humans start trading equities on the stock market?,Wizard: It started in the 16th century.,no_passages_used,Humans have been trading since the beginning of time I would say.,0.0
331,331,The Walking Dead (TV series),4,What happens when he awakes? What does he do?,Rick awakens from a coma to find a world overrun by zombie,The storyline of the game dictates that players begin as Humans and try to survive a Zombie invasion.,"who awakens from a coma discovering a world overrun by zombies, they struggle to survive the territory infested with zombies",0.0
332,332,Elvis Presley,3,"Yes! so you are a fan? my mom met elvis in Las Vegas in 1954, thats why i love him so much!",Elvis Presley is a great singer.,no_passages_used,"Wow, impressive. Good chance your mom had. I have read that one of the strongest relationships Elvis had was with his mother Gladys. Moms are special",0.0
333,333,Cheerleading,3,Did it? That's really cool!,Cheerleading began during the late 18th century with the rebellion of male students.,Cheerleading began during the late 18th century with the rebellion of male students.,"Yes, and apparently it's very popular with over a million people doing it.",1.0
334,334,Discovery Channel,3,did they change it to something else?,"The Discovery Channel is the third most widely distributed cable channel in the United States, behind TBS",", Discovery Channel is the third most widely distributed cable channel in the United States, behind TBS and The Weather Channel; it is available in 409 million households worldwide, through its U.S. flagship channel and its various owned or licensed television channels internationally.",It is now simply known as Discovery sometimes,1.0
335,335,Archery,3,Yes it does take skill. I did not know what I was doing and ended up burning or scratching the inside of my arm with the tail of the arrow! Im not sure if its something you can develop with practice or not,The bow and arrow seems to have been invented in the later Paleolithic or,The bow and arrow seems to have been invented in the later Paleolithic or early Mesolithic periods.,practice makes perfect! It's interesting that historically archery has been used for combat and hunting,0.8333333333333334
336,336,Online shopping,3,Yeah same ,Wizard: I shop online for clothes quite often. It allows me to directly buy goods from ,"As of 2016, customers can shop online using a range of different computers and devices, including desktop computers, laptops, tablet computers and smartphones.",I love visiting websites of different retailers directly to see product availability and the best prices.,0.0
337,337,Dylan's Candy Bar,3,Who founded it?,"Dylan Lauren, daughter of fashion designer Ralph Lauren.","It is owned by Dylan Lauren, daughter of fashion designer Ralph Lauren.",It is owned Dylan Lauren,1.0
338,338,Guns N' Roses,4,oh!1what type of music you love????,Wizard is listening to Guns & Roses. Apprentice likes it very much.,"Guns N' Roses' debut album, ""Appetite for Destruction"" (1987), reached number one on the ""Billboard"" 200 a year after its release, on the strength of ""Sweet Child o' Mine"", the band's only single to reach number one on the ""Billboard"" Hot 100.",Guns and Roses sold more than a hundred million albums world wide,0.0
339,339,American football,3,"Which do you think is the more rougher, rugby or American football?",American football,"The NFL on CBS is the branding used for broadcasts of National Football League (NFL) games that are produced by CBS Sports, the sports division of the CBS television network in the United States.","I definetely think rugby is rougher, especially because even if a player is tackled tot he ground they can pick up the ball and keep the play going, in american football the play ends",0.0
340,340,Kurt Cobain,4,So sad.  He was a really good artist.  What was his reason for committing suicide?,Kurt Cobain shot himself with a shotgun.,"Love has drawn public attention for her uninhibited live performances and confrontational lyrics, as well as her highly publicized personal life following her marriage to Kurt Cobain.","It is a mystery, but prior to his death he was checked out of a rehab center so that must have not helped",0.0
341,341,Instagram,3,"No I don't, please tell me.",Instagram is owned by Facebook.,"Users can apply various digital filters to their images, and add locations through geotags.",it's actually owned by Facebook,0.0
342,342,Discovery Channel,3,Is it government owned?,"Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as","Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.","No actually,  it is television property of Discovery Communications, a publicly traded company",0.6666666666666666
344,344,Cheerleading,4,"Really, that is awesome, Are there any popular cheerleading teams or squads?",Wizard: The Dallas Cowboys Cheerleaders are widely regarded as one of the,The Dallas Cowboys Cheerleaders are widely regarded as one of the best cheerleading squads in the NFL.,"There are many different ones. Cheerleading gained popularity after the global presentation led by the 1997 broadcast of ESPNs International Cheer competition and the release of the movie ""Bring it On"" in 2000.",0.0
345,345,Gymnastics,3,Yes It helps me stay in really good shape.,Apprentice: I have been a gymnast for 15 years. Wizard: Wow! That',"Alertness, precision, daring, self-confidence and self-discipline are mental traits that can also be developed through gymnastics.","Oh yeah, the movement involved give a lot of exercise to the arms, legs, shoulderss and back. A total body workout!  ",0.0
347,347,Guns N' Roses,3,OH really!? thats awesome. What is your favorite song?,"GNR's ""Use Your Illusion I"" and ""Use","The twin albums ""Use Your Illusion I"" and ""Use Your Illusion II"" (1991) debuted at number two and number one on the ""Billboard"" 200 respectively and have sold a combined 35 million copies worldwide, including 14 million units in the United States.","Interestingly they had eight-song album ""G N' R Lies"" (1988) which reached number two on the ""Billboard"" 200.",0.6153846153846153
348,348,Neurosurgery,3,When did neurosurgery first get discovered?,Apprentice: I've always been interested in neurosurgery. The brain is so important,"Most, but not all, residency programs have some component of basic science or clinical research.","I am not sure, but I know that in the US neurosurgeons have to complete undergraduate, then four years of medical school, and then seven years of residency. Pretty crazy!",0.0
351,351,Harry Potter,4,Sounds soo cool! How many books are in the series?,Harry Potter is a fictional character in the Harry Potter series of books.,"The main story arc concerns Harry's struggle against Lord Voldemort, a dark wizard who intends to become immortal, overthrow the wizard governing body known as the Ministry of Magic, and subjugate all wizards and muggles, a reference term that means non-magical people.","There are around seven, and they are really popular among young adult audiences.",0.0
352,352,Dylan's Candy Bar,3,I didn't know that.  How long have they been around?,Dylan's Candy Bar is a chain of boutique candy shops and candy. Lauren was,"Lauren was inspired to create the store, which is asserted to be the ""largest unique candy store in the world"", by the Roald Dahl story of ""Willy Wonka & the Chocolate Factory"".","I'm not sure but it was founded by Dylan Lauren, daughter of fashion designer Ralph Lauren.",0.3333333333333333
354,354,Kurt Cobain,4,"Yes, Nirvana was a good band. it still a well known band","Wizard: Nirvana's ""Nevermind"" is one of my favorite songs","It is the opening track and lead single from the band's second album, ""Nevermind"" (1991), released on DGC Records.","The band consisted of Kurt Cobain, krist Novoselic, and finally Dave Grohl after going through several drummers.",0.0
355,355,Military rank,3,That is true,The highest military rank is Field Marshal.,"The military rank system incorporates the principles of exercising power and authority, and the military chain of command – the succession of commanders superior to subordinates through which command is exercised – constructs an important component for organized collective action.","Its based on dominance, authority, as well as roles and responsibility in a military hierarchy.",0.0
359,359,Kurt Cobain,4,"I didn't know she was in Sons of Anarchy.  They had a child together too, right?","Wizard: Yes, they had a child together.","Grunge (sometimes referred to as the Seattle sound) is a subgenre of alternative rock and a subculture that emerged during the in the Pacific Northwest U.S. state of Washington, particularly in Seattle and nearby towns.",They did. Her name was Francis Bean and she was very young when he died. I believe Courtney Love was only in a couple episodes of Sons of Anarchy. Do you watch the show?,0.0
361,361,Accounting,3,When did it start?,Apprentice: I'm interested in accounting. What's it about? Wizard: Y,"Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.","Account has been around form any years,formally it began in 1494 by Italian mathematician Pacioli",0.0
364,364,Green,4,Interesting. Do like to paint or know about it?,Wizard: I like to paint. I've been painting for a long time.,"Portrait of an Army Doctor (in French Portrait d'un médecin militaire) is a 1914-15 painting by the French artist, theorist and writer Albert Gleizes.","I like to body point sometimes, but it can get messy.",0.0
365,365,American football,4,That does seem like it would be fun - what teams do you like?,Wizard: I like the Dallas Cowboys and the New York Giants.,"Founded on January 30, 1960, they played their first regular-season game on September 11, 1960, as a charter member of the American Football League (AFL) which merged with the NFL in 1970.",The Raiders are my favorite team and the Steelers are my girlfriends favorite.,0.0
373,373,Cardigan (sweater),3,"I didn't know there was a modern version and an old version, what was the old version like?","Coco Chanel is credited with popularizing cardigans for women because ""she hated","Coco Chanel is credited with popularizing cardigans for women because ""she hated how tight-necked men’s sweaters messed up her hair when she pulled them over her head.""","The old version is the regular one, knitted garment that has open front and buttons!",1.0
374,374,Bowling,4,"I am sure he did, I know a few people who have, so a pro must do it pretty often!",Earl Anthony was a famous bowler. The maximum score is 300 which is 12 strikes in,"The term ""hambone"" has also been used to describe four consecutive strikes.","Yes i cant say i relate to those pros lol! Little known fact, three consecutive strikes is actually known as ""turkey."" Very silly if you ask me.",0.0
375,375,American football,4,"Wow, that sounds like an iconic game.","Wizard: I like football, the one played by eleven players on a rectangular field with goal","In sports, Rutgers is chiefly known for being the ""Birthplace of College Football"", hosting the first ever intercollegiate football game on November 6, 1869 in which Rutgers defeated a team from the College of New Jersey (now Princeton University) with a score of 6 runs to 4.","Yes, Rutgers is considered the largest institution for higher education in New Jersey.",0.0
376,376,Hunting,4,What kind of animals do you like to hunt?,"Wizard: I like hunting down wildlife or feral animals for sport, food, recreation and to","It is also not considered hunting to pursue animals without intent to kill them, as in wildlife photography, birdwatching, or scientific research activities which involve tranquilizing or tagging of animals or birds.","well i like fishing, catch and release, or catching for food is always nice and relaxing",0.0
377,377,Broken heart,4,That sounds painful. What can be done about it?,Wizard: I'm going to see a doctor.,"The concept is believed to be universal, with many cultures using the same words to describe both physical pain and the feelings associated with relationship loss.",I don't know. I guess time. The cortex in the brain gets overstimulated from the stress and and cause nausea and muscle tightening in the chest. I need to keep myself occupied.,0.0
380,380,Cod,3,oh cool! Do you have a favorite?,Apprentice: I like Pacific Cod.,"Cod livers are processed to make cod liver oil, an important source of vitamin A, vitamin D, vitamin E, and omega-3 fatty acids (EPA and DHA).","I love all cod because it has a great mild flavour and a dense, flaky white flesh! ",0.0
382,382,Motivation,3,"Oh yeah. I do not find reason to do anything, I just want to be idle and do nothing ",Apprentice has a problem getting motivated.,"Motivation is also one's direction to behavior, or what causes a person to want to repeat a behavior.",well maybe you are repeating the same behaviors and need to switch it up a bit to get you out of the rut ?,0.0
385,385,Music festival,3,"So, have you ever been to music festival?","Apprentice: Yes, I have been to a music festival.","A music festival is a community event oriented towards live performances of singing and instrument playing that is often presented with a theme such as musical genre (e.g., blues, folk,  jazz, classical music), nationality, or locality of musicians, or holiday.","Nope, but I would really like to. I'm scared of getting too hot, it's outdoors so there's a chance.",0.0
386,386,Elvis Presley,4,Me too. I remember he was very popular. Did he have a lot of big hits?,"Elvis Presley's first RCA single, ""Heartbreak Hotel"", was released in","Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.","Yes, he had tons. Rock and roll was a new thing back then, and he had a bunch of chart-topping records.",1.0
387,387,Cardigan (sweater),3,What else can you tell me about them?,The cardigan is a type of knitted garment.,"The cardigan was named after James Brudenell, 7th Earl of Cardigan, a British Army Major General who led the Charge of the Light Brigade at the Battle of Balaclava during the Crimean War.",garment has no buttons and hangs open by design,0.5
388,388,Winter,3,Me too. What about the average temperatures during the season?,Wizard: Winter is the coldest season of the year in polar and temperate zones (,Winter is the coldest season of the year in polar and temperate zones (winter does not occur in the tropical zone).,"It depends, but winter can get really cold, like below freezing.",1.0
389,389,Accounting,4,I can't say that I do.  Sounds slightly droll.  How long did it take to become an accountant?,Wizard: It took me about four years to get my CPA license.,This involves the preparation of financial statements available for public consumption.,Several years! Specifically I am in the field of financial accounting.,0.0
391,391,Auto racing,4,It is very dangerous! I heard about a death in an auto race just a few days ago. Sad.,"Wizard: Yes, I heard about a death in an auto race just a few days",Dirt track racing is the single most common form of auto racing in the United States.,"That is so sad, however this would not stop me from attempting to participating in Auto racing one day. I'll make sure I am safe",0.0
393,393,Bowling,4,"I only bowl for fun, I am not very good.",Wizard: Bowling is one of the major forms of throwing sports. Apprentice: I used to,It is one of the major forms of throwing sports.,"Yeah as simple as throws a bowling ball towards a target seems, it is hard.",0.0
396,396,Nickelback,4,I'm dead serious. Do you know what year they formed?,"Nickelback was formed in Alberta, Canada in 1994.","The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.","Wow! Nickelback formed in 1995.""Billboard"" ranked Nickelback as the most successful rock group of the 2000s!",0.0
