,episode_idx,topic,round,message,response,knowledge,gold,Q2
328,328,Green,4,True green is found all over nature.  Are you a plant enthusiast as well,Pamela Courson,A botanist or plant scientist is a scientist who specialises in this field.,I actually am! I own many myself. I am always fascinated by the fact plants green because of chlorophyll and photosynthesis,0.0
329,329,Hunting,4,That sounds vicious.  Why would one practice killing or trapping animals?,"Krauss made her recording debut in 1985 on the independent album, Different Strokes,","Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species.","Hunting wildlife or feral animals is most commonly done by humans for food, recreation.",0.0
331,331,The Walking Dead (TV series),4,What happens when he awakes? What does he do?,The show's lead character awakens from a coma discovering a world,The storyline of the game dictates that players begin as Humans and try to survive a Zombie invasion.,"who awakens from a coma discovering a world overrun by zombies, they struggle to survive the territory infested with zombies",0.0
333,333,Cheerleading,3,Did it? That's really cool!,"The Gladys Knight & the Pips version released on September 28, 1967 was on Mo",Cheerleading began during the late 18th century with the rebellion of male students.,"Yes, and apparently it's very popular with over a million people doing it.",0.0
338,338,Guns N' Roses,4,oh!1what type of music you love????,"Gilchrist reignited this debate by walking during a high-profile match, the 2003","Guns N' Roses' debut album, ""Appetite for Destruction"" (1987), reached number one on the ""Billboard"" 200 a year after its release, on the strength of ""Sweet Child o' Mine"", the band's only single to reach number one on the ""Billboard"" Hot 100.",Guns and Roses sold more than a hundred million albums world wide,0.0
340,340,Kurt Cobain,4,So sad.  He was a really good artist.  What was his reason for committing suicide?,"Love has drawn public attention for her uninhibited live performances and confrontational lyrics, as","Love has drawn public attention for her uninhibited live performances and confrontational lyrics, as well as her highly publicized personal life following her marriage to Kurt Cobain.","It is a mystery, but prior to his death he was checked out of a rehab center so that must have not helped",1.0
347,347,Guns N' Roses,3,OH really!? thats awesome. What is your favorite song?,"At $220 billion in 1990, the deficit had tripled since 1980.","The twin albums ""Use Your Illusion I"" and ""Use Your Illusion II"" (1991) debuted at number two and number one on the ""Billboard"" 200 respectively and have sold a combined 35 million copies worldwide, including 14 million units in the United States.","Interestingly they had eight-song album ""G N' R Lies"" (1988) which reached number two on the ""Billboard"" 200.",0.0
348,348,Neurosurgery,3,When did neurosurgery first get discovered?,The self-titled independent EP was well-received and brought the band to the,"Most, but not all, residency programs have some component of basic science or clinical research.","I am not sure, but I know that in the US neurosurgeons have to complete undergraduate, then four years of medical school, and then seven years of residency. Pretty crazy!",0.0
349,349,Guns N' Roses,4,I heard of their Illusion Tour,Sheila formed a female group C.O.E.D. (Chroni,"Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",The tour was splendid. It was one of their longest tout,0.0
354,354,Kurt Cobain,4,"Yes, Nirvana was a good band. it still a well known band","Despite never winning a championship Formula One Grand Prix, Amon won eight non-cham","It is the opening track and lead single from the band's second album, ""Nevermind"" (1991), released on DGC Records.","The band consisted of Kurt Cobain, krist Novoselic, and finally Dave Grohl after going through several drummers.",0.0
355,355,Military rank,3,That is true,"Day26 was founded on the Making the Band 4 Season 1 finale on August 26, 2007.","The military rank system incorporates the principles of exercising power and authority, and the military chain of command – the succession of commanders superior to subordinates through which command is exercised – constructs an important component for organized collective action.","Its based on dominance, authority, as well as roles and responsibility in a military hierarchy.",0.0
356,356,Green,4,I see. I think it is wonderful how many colors can be made from just the basic colors.,The New York Giants,no_passages_used,"Its been around since he middles ages as well, it was associated with merchants and bankers.",0.0
358,358,Bowling,4,When I was in school we used to go bowling once a week as a part of P.E. ,Black Book (2006),no_passages_used,"That sounds like it would have been fun. I used to do pretty well, scoring often over 200 points. Do you know your highest score?",0.0
359,359,Kurt Cobain,4,"I didn't know she was in Sons of Anarchy.  They had a child together too, right?",Motion City Soundtrack,"Grunge (sometimes referred to as the Seattle sound) is a subgenre of alternative rock and a subculture that emerged during the in the Pacific Northwest U.S. state of Washington, particularly in Seattle and nearby towns.",They did. Her name was Francis Bean and she was very young when he died. I believe Courtney Love was only in a couple episodes of Sons of Anarchy. Do you watch the show?,0.0
360,360,Accounting,3,"Yes, it is very important in order for businesses to see where their money is going.",Al Kaline bypassed the minor league system and joined the Tigers directly from high school,"Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.","Accounting keeps track of an organization's financial activities and report the information to investors, and the like.",0.0
361,361,Accounting,3,When did it start?,"After Annapurna, Lafaille resolved never to climb again, but during his long","Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.","Account has been around form any years,formally it began in 1494 by Italian mathematician Pacioli",0.0
364,364,Green,4,Interesting. Do like to paint or know about it?,"The French playwright Victorien Sardou wrote more than 70 plays, almost all","Portrait of an Army Doctor (in French Portrait d'un médecin militaire) is a 1914-15 painting by the French artist, theorist and writer Albert Gleizes.","I like to body point sometimes, but it can get messy.",0.0
369,369,Skiing,4,What does it mean to compete at an Olympic level? Were you in the Olympics?,"The Jam's debut single, ""In the City""","Cross-country skiing is a form of skiing where skiers rely on their own locomotion to move across snow-covered terrain, rather than using ski lifts or other forms of assistance.","I was a cross country skier and won many medals in the States, it qualified me to complete in the olympics. Some people today still use cross country skiing as a way of transportation. ",0.0
372,372,Paramedic,4,Yea . That's fair and I honestly believe that she would have been a much better president than Donald Trump.,"Yao was pressured to enter the NBA draft in 1999 by Li Yaomin, the","Colombia ( ; ), officially the Republic of Colombia (), is a sovereign state largely situated in the northwest of South America, with territories in Central America.",I agree! Trump is too caught up in his own businesses and running Trump Tower.,0.0
375,375,American football,4,"Wow, that sounds like an iconic game.","Michael Jackson was influenced by musicians including Little Richard, James Brown, Jackie Wilson, Diana Ross","In sports, Rutgers is chiefly known for being the ""Birthplace of College Football"", hosting the first ever intercollegiate football game on November 6, 1869 in which Rutgers defeated a team from the College of New Jersey (now Princeton University) with a score of 6 runs to 4.","Yes, Rutgers is considered the largest institution for higher education in New Jersey.",0.0
376,376,Hunting,4,What kind of animals do you like to hunt?,"Lesh was born in Berkeley, California, and started out as a violin player. While","It is also not considered hunting to pursue animals without intent to kill them, as in wildlife photography, birdwatching, or scientific research activities which involve tranquilizing or tagging of animals or birds.","well i like fishing, catch and release, or catching for food is always nice and relaxing",0.0
382,382,Motivation,3,"Oh yeah. I do not find reason to do anything, I just want to be idle and do nothing ",Lawrence got her start as one of the scores of hopefuls on the syndicated Johnny Mann,"Motivation is also one's direction to behavior, or what causes a person to want to repeat a behavior.",well maybe you are repeating the same behaviors and need to switch it up a bit to get you out of the rut ?,0.0
383,383,Accounting,4,"i have never heard of Luca Pacioli, so he came up with accounting?",Roberts became a fervent Democrat and was elected Davis County Delegate to the,"The terms ""accounting"" and ""financial reporting"" are often used as synonyms.","yes , and accounting has been called the language of business, meaures the results of an organization's economic acitivites and conveyes this information to a variety of users",0.0
387,387,Cardigan (sweater),3,What else can you tell me about them?,"The cardigan was named after James Brudenell, 7th Earl of Cardigan,","The cardigan was named after James Brudenell, 7th Earl of Cardigan, a British Army Major General who led the Charge of the Light Brigade at the Battle of Balaclava during the Crimean War.",garment has no buttons and hangs open by design,0.0
389,389,Accounting,4,I can't say that I do.  Sounds slightly droll.  How long did it take to become an accountant?,"The band signed a worldwide deal with Richard Branson's V2 Records in 1999,",This involves the preparation of financial statements available for public consumption.,Several years! Specifically I am in the field of financial accounting.,0.0
395,395,The Walking Dead (TV series),3,"I'm usually not into that genre of movie or TV show, but the cliffhangers keep you hooked.","Rhett and Link met on September 4th, 1984 (this is the date they","""The Walking Dead"" premiered in the United States on October 31, 2010, exclusively shown on cable television channel AMC and internationally on Fox International Channels.","it premiered on october 31, 2010 but i feel like it literally just premiered",0.0
396,396,Nickelback,4,I'm dead serious. Do you know what year they formed?,The final memo mentioned Zubaydah several times. It claimed that due to the enhanced,"The band is composed of guitarist and lead vocalist Chad Kroeger, guitarist, keyboardist and backing vocalist Ryan Peake, bassist Mike Kroeger, and drummer Daniel Adair.","Wow! Nickelback formed in 1995.""Billboard"" ranked Nickelback as the most successful rock group of the 2000s!",0.0
398,398,Harry Potter,4,"Oh yea, thats right.  What does J.K stand for?",James Clark Jr,"The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry.",It is her pen name but it stands for Joanne Rowling,0.0
399,399,Auto racing,3,I think that sounds very old fashioned. lol. What cars do you race?,Nigel Mansell was born on 8 August 1953 in Upton-upon-Sever,"Almost as soon as automobiles had been invented, races of various sorts were organised, with the first recorded as early as 1867.",I race mustang.  Another fact is that almost as soon as automobiles had been invented races were organized right away ,0.0
402,402,Green,4,Yes I do is red,"It was announced in February 2016 that Pink will cover a Beatles song, ""Lucy in",no_passages_used,"My other one is purple, red doesn't look good with my skin tone. Red used to be the color of nobility though!",0.0
403,403,Elvis Presley,4,I know. I can't believe how well known and popular he still is and has so many impersonators. ,The Aquabats! Super Show! is centered around the adventures of The Aquabats,"Contrary to popular belief, Elvis impersonators have existed since the mid-1950s, just after Elvis began his career.",What impresses me that a lot of Elvis impersonators actually sing his songs. I bet that's tough!,0.0
407,407,American football,3,Ha! That's about the extent of my knowledge! Do you know how long the NFL has been around? ,"He was minister of agriculture in the second Sonnino Cabinet (December 2, 1909 ",The television rights to broadcast National Football League (NFL) games are the most lucrative and expensive rights of any American sport.,I know history a bit better than the rules.  I believe the first game of American football took place in 1869.  It was a college game.,0.0
410,410,Popcorn,4,i guess if you going to cut out starches it would make sense not to eat popcorn,Ogre's first collaboration with Al Jourgensen was in 1987 during the recording,"The six major types of corn are dent corn, flint corn, pod corn, popcorn, flour corn, and sweet corn.",I also do not like the fact that a popcorn puff is 20 to 50 times the size of the original kernel.,0.0
412,412,Broken heart,4,What lead to the distress?where you jilted ?,Pistorius competed in T44 (single below-knee,"The concept is believed to be universal, with many cultures using the same words to describe both physical pain and the feelings associated with relationship loss.","Not really, I left, it is believed to be part of the survival instinct.",0.0
423,423,Elvis Presley,4,"No, but that be fun I think.","Hunter had a 1957 hit record with the song ""Young Love,"" which was No.",no_passages_used,"What type of music do you like? I actually agree with you, I'm more into Alternative.",0.0
425,425,Cheerleading,3,Yeah all her friends are doing it too. Hope she makes the team.,"Flo Rida's debut album, Mail on Sunday, was released in March 2008","Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting.","Is the team she trying out for one that is more chanting slogans, or is it highly physically demanding?",0.0
427,427,Dylan's Candy Bar,3,Who is Dylan Lauren?,Dylan Lauren is a fashion designer.,"Lauren said that her goal was to ""merge fashion, art and pop candy culture"".",She is an american entrepreneur!,0.6666666666666666
434,434,Instagram,3,"Yeah, I don't know. I'm a Facebook person. Been using it for about 12 years. I don't know much else. Except Twitter, but I rarely use that.",Seward was seen as the overwhelming favorite.,"Users can apply various digital filters to their images, and add locations through geotags.",I am a facebook person as well. I guess this is somewhat similar and i read that is owned by Facebook.,0.0
437,437,Skiing,4,Oh ok. How is modern day skiing different from the early days?,"McDaniel's Oscar is currently unknown. In 1992, Jet magazine reported that","The bottom of the short ski was either plain or covered with animal skin to aid this use, while the long ski supporting the weight of the skier was treated with animal fat in a similar manner to modern ski waxing.","Well long time ago, early skiers would use 1 long pole or spear instead of 2 like you see today.",0.0
441,441,Guns N' Roses,3,I'm not really a fan either. When did they form?,"After Annapurna, Lafaille resolved never to climb again, but during his long","The lineup, when first signed to Geffen Records in 1986, consisted of vocalist Axl Rose, lead guitarist Slash, rhythm guitarist Izzy Stradlin, bassist Duff McKagan, and drummer Steven Adler.","They formed in 1985, from Los Angeles!",0.0
449,449,Consulting firm,3,Yes it is..I am the owner of a small firm and am curious if you have positive or negative thoughts about it,William Hope was a fraud.,"The phenomenon is a result of the game's extremely high viewership and wide demographics: Super Bowl games have frequently been among the United States' most watched television broadcasts, with Nielsen having estimated that Super Bowl XLIX in 2015 was seen by at least 114.4 million viewers in the United States, surpassing the previous year's Super Bowl as the highest-rated television broadcast in U.S. history.",I think Marketing has a place in a business as long as they aren't pop up ads.,0.0
452,452,Harry Potter,4,Oh really? That's pretty interesting. When did Rowling start the series? I've heard of the series since I was in elementary. Has to have been a long time.,The series has been around for a long time.,"Sir James Paul McCartney, (born 18 June 1942), is an English singer-songwriter, multi-instrumentalist, and composer.","The first one released in June of 1997, seems like it was yesterday, that's so crazy. They were the talk of recess at my school as a child. Every kid wanted them for their birthday.",0.0
457,457,Cheerleading,3,"Yes, people don't realize how physical it is.  they think it is just yelling a cheer but it is alot more than that","Joel recorded his second Columbia album in Los Angeles, Streetlife Serenade. His management",Fitness culture is a sociocultural phenomenon which refers to the culture surrounding physical exercises.,For sure and it is an excellent source of physical fitness.,0.0
485,485,Accounting,3,What's that?,"Ken Burns was born on July 29, 1953, in Brookland, New York.",Play School is an Australian educational television show for children produced by the Australian Broadcasting Corporation.,It' an Australian children musical team from 1998! What all do you do?,0.0
489,489,Paramedic,4,They are so important because they see patients at critical lif or death moments before a doctor.,They are healthcare professionals in the pre-hospital environment.,In some countries 'Paramedic' is a protected title and accountable to a professional regulatory body.,Exactly! They also make autonomous decisions on the emergency care of these patients.,0.0
509,509,Bowling,4,Are there any names for getting more than three strikes? Is getting four strikes called anything?,"The number with the word ""bagger""","Further strings of strikes are referred to as the number with the word ""bagger"", such as ""four-bagger"" for four consecutive strikes.","I believe some people call four strikes in a row a ""hambone"". How odd.",0.1
515,515,Instagram,4,Yeah they have many neat features. I wonder when it was started?,"After his early career efforts, Latour shifted his research interests to focus on laboratory scientists",It is owned by Facebook.,"Well, it was originally launched in 2010 for iOS devices. A few years later, it came to Android, and then the website appeared.",0.0
519,519,Ireland,3,That is good to know.    What about the population?,The Jack Benny Program,Just under 4.8 million live in the Republic of Ireland and just over 1.8 million live in Northern Ireland.,It was about 6.6 million in 2011. It was ranked the second most populous island in Europe.,0.0
521,521,John Grisham,3,I have always heard that. Does he still write new book? Is he still alive?,"John Ray Grisham Jr. is an American bestselling writer, attorney, politician,","The book was adapted into a 1993 feature film of the same name, starring Tom Cruise, and a 2012 TV series which ""continues the story of attorney Mitchell McDeere and his family 10 years after the events of the film and novel.""","Yes hes 63 today, And as of 2012, his books have sold an astounding 275 million copies worldwide.",0.0
522,522,Broken heart,3,Yeah we where together for 4 years,"The ""social-attachment system"" uses the ""pain system"" to encourage humans to","The ""social-attachment system"" uses the ""pain system"" to encourage humans to maintain their close social relationships by causing pain when those relationships are lost.",Im sorry to hear that.  Emotion pain if severe enough can cause actual physical damage to the heart,0.5714285714285715
534,534,Green,3,Yes! Green is also one of the main colors in the RGB color model I believe. It is also a great shirt color.,"Kevin Garnett returned to Minnesota on February 19, 2015, in exchange for Thaddeus Young","In subtractive color systems, used in painting and color printing, it is created by a combination of yellow and blue, or yellow and cyan; in the RGB color model, used on television and computer screens, it is one of the additive primary colors, along with red and blue, which are mixed in different combinations to create all other colors.",I have heard Green has a dominant wavelength of roughly 495570 nm,0.0
539,539,Green,4,"That makes a lot of sense, if you correlate the color with nature a lot.I think what you associate with your favorite color has a lot to do with why someone picks it as their favorite.","Sam Harris was born on April 9, 1967 in Los Angeles, the son of actor Berkeley Harris and","Factors such as gender, age, and culture can influence how an individual perceives color.","That might be so, there are perceptions  based on color that are not really obvious like how things taste.",0.0
541,541,Paramedic,4,I did not know that! What all does your daily job entail?,Carson and his wife are members of the Seventh-day Adventist Church (SDA).,There are different models of care for EMS providers which significantly influence the scope of practice of paramedics in an area.,"It varies widely. But it's a role that finds itself closely related to other healthcare positions, especially EMS roles, where you have a higher grade role, which is to say you'll be granted both more responsibility and autonomy.",0.0
545,545,Ireland,4,That's what I thought!  What kind of government does Ireland have?,The Irish Free State,About five-sixths of the island of Ireland seceded from the United Kingdom in 1921 as the Irish Free State.,Well Ireland is divided between the Republic of Ireland and Northern Ireland.  Northern Ireland is part of the UK,0.33333333333333337
552,552,Elvis Presley,3,do you like his songs?,Sourav Ganguly was born on 8 July 1972 in Calcut.,"Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old.",Yeah ..He's referred to as the king of rock 'n' roll in the 80's,0.0
553,553,Bee,3,Yeah they give us honey and i like that atleast,"O'Donnell started a video blog, Jahero, on her website Rosie.","They are found on every continent except Antarctica, in every habitat on the planet that contains insect-pollinated flowering plants.","We research says that  Bees are a monophyletic lineage within the superfamily Apoidea and are presently considered a clade, called Anthophila",0.0
555,555,Broken heart,3,"Yeah, I am feeling both right now... :(  Do you know how to make it stop? ",Snoop signed with Master P's No Limit Records (distributed by Prior,"Emotional pain that is severe can cause 'broken heart syndrome', including physical damage to the heart.","If it is mental suffering, sometimes you just need time.",0.0
561,561,Cod,4,What do you mean?,"Bing Crosby was born on May 3, 1903 in Tacoma, Washington.","Cod is the common name for the genus ""Gadus"" of demersal fishes, belonging to the family Gadidae.","Know Nothings"" believed a ""Romanist"" conspiracy was afoot to subvert  politically organize native-born Protestants .",0.0
562,562,Harry Potter,4,That is a lot! When did the books first come out? I remember I was still in elementary school I believe.,Criss Angel performed in the ABC Family television special named Criss Angel Mindfre,no_passages_used,Harry Potter and the sorcerers stone release June 26th 1997!,0.0
570,570,Skiing,3,"Hm, alright. Do you know anything about the history of skiing?",Terrell tried out for the 2007 WWE Diva Search. She made it to the final,"The bottom of the short ski was either plain or covered with animal skin to aid this use, while the long ski supporting the weight of the skier was treated with animal fat in a similar manner to modern ski waxing.",Many types of competitive skiing events are recognized by the International Olympic Committee ,0.0
581,581,American football,4,Probably because the field used to have gridirons painted on. Now they just have the horizontal yard markings.,It was a Christian rap music group.,Points are primarily scored by advancing the ball into the opposing team's end zone for a touchdown or kicking the ball through the opponent's goalposts for a field goal.,Points are scored by getting the ball into the other teams end zone and scoring a touchdown,0.0
590,590,John Grisham,4,Politican? Where is he a politican?,London Daily Mirror newspaper,He practiced criminal law for about a decade and served in the House of Representatives in Mississippi from January 1984 to September 1990.,84-90 he served Mississippi House of Representatives,0.0
593,593,American football,4,"oh wow that sounds complex, where do they play these foot ball at ?","Greg LeMond was born in Lakewood, California, and raised in the Washoe","American football, referred to as football in the United States and Canada, and also known as gridiron football or simply gridiron, is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end.",Usually its a rectangular field some teams have stadiums,0.0
597,597,American football,4,Do you know how many teams are in the NFL?,"The Institute for Social Research, which had relocated to New York, published Theses in Benjamin","The first match of American football was played on November 6, 1869, between two college teams, Rutgers and Princeton, under rules based on the association football rules of the time.",32 total. I'm a bigger college football fan. It's hard to believe it evolved from rugby football.,0.0
598,598,Auto racing,4,"That's cool, have you ever seen a live race before?","The phrase ""God Save the King"" is much older than the song, appearing, for","Auto racing (also known as car racing, motor racing, or automobile racing) is a motorsport involving the racing of automobiles for competition.",No but auto racing is definitely intiguing to me with the competitions and fast cars and such,0.0
608,608,Skiing,4,"Yes it is. It looks hard to do. Even if you could get your balance, to actually navigate the snow would be hard.",The group began recording their follow-up in 2002 with producer Nigel Godrich (best known,"Although modern skiing has evolved from beginnings in Scandinavia, it may have been practiced more than 100 centuries ago in what is now China, according to an interpretation of ancient paintings.",I love watching all the talented sking events at the olympic games,0.0
610,610,Ireland,4,Throw in this Brexit business which only makes things worse.,"Janis Lyn Joplin was born in Port Arthur, Texas, on January 19, 1943,","The civil war was waged between two opposing groups, Irish republicans and Irish nationalists, over the Anglo-Irish Treaty.","The Irish exited in 1921, I did not know they were know as the Irish Free State then.",0.0
612,612,Auto racing,4,I bet that was exciting!  Did you cheer for anyone in particular?,Lillie Langtry was linked in the popular press to Prince Louis Esterhazy;,"A V8 engine is an eight-cylinder V configuration engine with the cylinders mounted on the crankcase in two sets (or banks) of four, with all eight pistons driving a common crankshaft.","No, I was too young to know the drivers when we went, and when I got older my mom wanted us to do something else, since the race is held over Memorial Day weekend.",0.0
614,614,Online shopping,3,isn't it amazing? and then it gets delivered right to your door,Jayan was killed in an accident on the set of the movie Kolilakkam (,"A typical online store enables the customer to browse the firm's range of products and services, view photos or images of the products, along with information about the product specifications, features and prices.",I love the search option that stores have so I can find what I need rather quickly.,0.0
615,615,Bowling,4,What is the target?,"The maximum score is 300, which is achieved by getting 12 strikes in a row.","The maximum score is 300, which is achieved by getting 12 strikes in a row.",target is usually to knock over pins at the end of a lane,1.0
618,618,American football,3,I'm sure it's a complete different game then it is today. The year the Detroit Lions will win the super bowl.,"Seabiscuit was injured during a race. Woolf, who was riding him, said","The first match of American football was played on November 6, 1869, between two college teams, Rutgers and Princeton, under rules based on the association football rules of the time.",The first match was between Rutgers and Princeton.,0.0
620,620,Goldendoodle,3,Which breeds are crossed? Is one a poodle?,"Hunter had a 1957 hit record with the song ""Young Love,"" which was No.",The Goldendoodle was first bred by Monica Dickens in 1969.,"the name  alters ""poodle"" to ""doodle"" by analogy to ""Labradoodle"", was coined in 1992",0.0
623,623,Accounting,4,No organization can do without an accountant. ,"Hed PE released their second studio album, Broke on August 22, 2000. It peaked","Financial accounting focuses on the reporting of an organization's financial information, including the preparation of financial statements, to external users of the information, such as investors, regulators and suppliers; and management accounting focuses on the measurement, analysis and reporting of information for internal use by management.","For sure. Organizations can divide accounting into several fields according to what they need, such as financial or management accounting, external auditing, etc.",0.0
625,625,Elvis Presley,3,"Yes I do!  His mansion, Graceland is amazing to tour too. ",Ranbir Kapoor was born on 28 September 1982 in Mumbai to Rishi Kapoor,"Craps is a dice game in which the players make wagers on the outcome of the roll, or a series of rolls, of a pair of dice.","I wish I could of been there for that, I bet it's amazing! It's no wonder that he is the King of Rock. With all his hit songs",0.0
629,629,Kurt Cobain,4,Tell me more about Kurt Cobain,"Following the success of ""Nevermind"", Nirvana was labeled ""the","Following the success of ""Nevermind"", Nirvana was labeled ""the flagship band"" of Generation X, and Cobain hailed as ""the spokesman of a generation"".","Well, he was born in Washington state. He formed Nirvana in 1987 with two other members, and basically established the grunge music scene in Seattle.",0.40740740740740744
630,630,Bowling,4,do you know when this game was originated? or who created bowling?,"Stockhausen, along with John Cage, is one of the few avant-garde composer","Three consecutive strikes is a known as a ""turkey"".",I have no ide! i will have to check the history of bowling!,0.0
632,632,Cheerleading,3,"yeah they are, they go to competitions all the time. Could you tell me more about cheerleading?",Khalid Sheik Mohammed traveled to the Philippines in 1994 to work with his nephew Ramzi,"Cheerleading originated in the United States, and remains predominantly in America, with an estimated 1.5 million participants in all-star cheerleading.","Yeah, the competitive routines tend to range from one to three minutes and will include various activities like dance and tumbling.  Does your sister have a specialty on the team?",0.0
637,637,Winter,4,Funny enough people in the tropical regions always wish for it as much as those in temperate wait for summer,"The cast album of the 1945 Broadway production was issued on 78s, and the score was","There is a large amount of variability in climate across the Arctic, but all regions experience extremes of solar radiation in both summer and winter.","I agree, In the Arctic for instance, they have short summers so I know they always want more. My AC is out so I know I will enjoy winter.",0.0
644,644,Instagram,3,That's what I don't get.  I can share pictures on Facebook with a narrative.  Instagram doesn't have much writing.  Is that what people want now?,Afonso arrived at Cannanore on the Malabar coast in,Instagram lets registered users upload photos or videos to the service.,"Facebook actually owns Instagram, so I don't know why it wouldn't be a bit more similar in that area.",0.0
649,649,Hot dog,4,Not normally. I usually have to go down to the docks or the fish market. They'll grill it up around there.,The Midsummer crisis,"With more than 10 million visitors annually, Pike Place Market is Seattle's most popular tourist destination and is the 33rd most visited tourist attraction in the world.",I love fish markets! So busy and vibrant. I've always wanted to go to Pike Place Fish Market in Seattle - have you ever been?,0.0
651,651,Cardigan (sweater),4,ok buddy good. it is good for cool weather,Lisa Marie Presley was indoctrinated into the Church of Scientology in 1977,"The garment is mostly associated with the college culture of the Roaring Twenties and early 1930s, being also popular throughout the 1950s, the 1970s and the 1990s.","Yeah! It's for the fresh kind of weather, where you can't be without a sweater because it's too cold nor can you be with a jacket because then it gets too hot. You know?",0.0
654,654,Hot dog,4,This type of sausage was culturally imported from Germany and popularized in the United States,"Piquet was born in Rio de Janeiro, then the capital of Brazil, the son","Typical garnishes include mustard, ketchup, onions, mayonnaise, relish, coleslaw, cheese, chili, olives, and sauerkraut.","Yea, they are also classified as sausage sandwiches",0.0
655,655,The Walking Dead (TV series),4,What other actors are in the show?,"The Jane Goodall Institute (JGI) supports the Gombe research, and she is","Together they struggle to survive and adapt in a post-apocalyptic world filled with walkers and opposing groups of survivors, who are often more dangerous than the walkers themselves.","not sure, but I know it takes place in atlanta gorgia and later virginia",0.0
658,658,American football,3,My husband loves the Giants.  My best friend is a Jet fanatic lol I am like OMG when is the season over ,"Kulwicki died in an airplane crash on Thursday April 1, 1993. He was re","In Canada, the term ""football"" may refer to Canadian football and American football collectively, or to either sport specifically, depending on context.","thats funny! i just don't like the fact that you have to advance the ball 10 yards in four downs, or they turn over the ball, its so confusing",0.0
661,661,John Grisham,3,Do you know where he lives?,John Grisham lives in Mississippi.,John Grisham graduated from Mississippi State University before attending the University of Mississippi School of Law in 1981.,"He lives outside Oxford, Mississippi. His books have been translated into 42 languages.",0.0
662,662,American football,4,Yes i do but not with full concentration so i still do not know much about it. What are the rules of the game,Lennox's debut album Panda Bear was released in 1999 on Soccer,The history of American football can be traced to early versions of rugby football and association football.,"Oh I have no clue, but within the US the college version of footballs garners high tv ratings",0.0
664,664,Skiing,4,What meaning did ski have? That's so interesting! Did they ski for recreation?,Rodney Dangerfield was born in 1894 on a small livestock and dairy farm near,"Cross-country skiing is a form of skiing where skiers rely on their own locomotion to move across snow-covered terrain, rather than using ski lifts or other forms of assistance.","I think skiing was originally a purely utilitarian activity, and it was first started in the mid-1800's as a recreational sport. ",0.0
667,667,Kurt Cobain,3,Ohh wow I didn't know that he was on Nirvana.,"Swift died, aged 44, in the Munich air disaster after reporting on Manchester United's European","The Seattle Police Department incident report states: ""Kurt Cobain was found with a shotgun across his body, had a visible head wound and there was a suicide note discovered nearby.""","Yes, Cobain was the lead singer and guitarist and the founding member of Nirvana",0.0
671,671,Cardigan (sweater),3,"I remember as a kid, watching Mr. Roger's Neighborhood.  He always wore a cardigan.  They were knitted by his mom.","Herbert Alexander Simon was born in Milwaukee, Wisconsin, on June 15, 1916. His father, Arthur","Synthetic fibers (British English: synthetic fibres) are fibers made by humans with chemical synthesis, as opposed to natural fibers that humans get from living organisms with little or no chemical changes.",Cool I didn't know that! They were actually popularized by Coco Chanel who disliked for tight-necked mens sweaters messed up her hair when removed.,0.0
678,678,Cardigan (sweater),3,"from what I understand, Cardigans have buttons, to distinguish from others",Virat Kohli is a naturally aggressive batsman with strong technical skills. He usually,A more modern version of the garment has no buttons and hangs open by design.,"Yeah, I think cardigans that don't have buttons would be considered robes.",0.0
681,681,Green,4,YES ITS VERY CORRECT,"Rodham enrolled at Wellesley College in 1965, where she majored in political","By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy.",It is used in painting and color printing ,0.0
682,682,Dylan's Candy Bar,3,"Sure, I'd love to hear about it. What kinds of things do they make?","Jumbo was born at about Christmas 1860 in the Sudan and, afte","It is owned by Dylan Lauren, daughter of fashion designer Ralph Lauren.","They claim to be the largest unique candy store in the world, which was inspired by Roald Dahl's story of the Willy Wonka Chocolate Factory.",0.0
685,685,John Grisham,4,Is it the one that had Tom Cruise? I think The Firm?,He was the first person to do a computer simulation of the behavior of a single gene,"His first novel, ""A Time to Kill,"" was published in June 1989, four years after he began writing it.","No, it was ""A Time to Kill"". It took him 4 years to write.",0.0
686,686,Genghis Khan,3,oh yea and he conquered so much so fast,Ridley Scott was married to Felicity Heywood from 1964 to 1975. The couple had,These campaigns were often accompanied by large-scale massacres of the civilian populations – especially in the Khwarazmian and Western Xia controlled lands.,"after he named himself genghis, he proceeded to capture most of uerasia",0.0
